Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -5,     0.7155533, ,            -5,     0.7155533, ,            -5,     0.7155533, ,            -5,     0.7155533, ,            -5,     0.7155533, ,            -5,     0.7155533, ,            -5,     0.7155533, ,            -5,     0.7155533, ,            -5,     0.7155533, ,            -5,     0.7155533, ,            -5,     0.7155533, ,            -5,     0.7155533, ,            -5,     0.7155533, , 
         -4.8,     0.7286266, ,          -4.8,     0.7286266, ,          -4.8,     0.7286266, ,          -4.8,     0.7286266, ,          -4.8,     0.7286266, ,          -4.8,     0.7286266, ,          -4.8,     0.7286266, ,          -4.8,     0.7286266, ,          -4.8,     0.7286266, ,          -4.8,     0.7286266, ,          -4.8,     0.7286266, ,          -4.8,     0.7286266, ,          -4.8,     0.7286266, , 
         -4.6,     0.7416838, ,          -4.6,     0.7416838, ,          -4.6,     0.7416838, ,          -4.6,     0.7416838, ,          -4.6,     0.7416838, ,          -4.6,     0.7416838, ,          -4.6,     0.7416838, ,          -4.6,     0.7416838, ,          -4.6,     0.7416838, ,          -4.6,     0.7416838, ,          -4.6,     0.7416838, ,          -4.6,     0.7416838, ,          -4.6,     0.7416838, , 
         -4.4,     0.7547246, ,          -4.4,     0.7547246, ,          -4.4,     0.7547246, ,          -4.4,     0.7547246, ,          -4.4,     0.7547246, ,          -4.4,     0.7547246, ,          -4.4,     0.7547246, ,          -4.4,     0.7547246, ,          -4.4,     0.7547246, ,          -4.4,     0.7547246, ,          -4.4,     0.7547246, ,          -4.4,     0.7547246, ,          -4.4,     0.7547246, , 
         -4.2,     0.7677486, ,          -4.2,     0.7677486, ,          -4.2,     0.7677486, ,          -4.2,     0.7677486, ,          -4.2,     0.7677486, ,          -4.2,     0.7677486, ,          -4.2,     0.7677486, ,          -4.2,     0.7677486, ,          -4.2,     0.7677486, ,          -4.2,     0.7677486, ,          -4.2,     0.7677486, ,          -4.2,     0.7677486, ,          -4.2,     0.7677486, , 
           -4,     0.7807555, ,            -4,     0.7807555, ,            -4,     0.7807555, ,            -4,     0.7807555, ,            -4,     0.7807555, ,            -4,     0.7807555, ,            -4,     0.7807555, ,            -4,     0.7807555, ,            -4,     0.7807555, ,            -4,     0.7807555, ,            -4,     0.7807555, ,            -4,     0.7807555, ,            -4,     0.7807555, , 
         -3.8,     0.7937447, ,          -3.8,     0.7937447, ,          -3.8,     0.7937447, ,          -3.8,     0.7937447, ,          -3.8,     0.7937447, ,          -3.8,     0.7937447, ,          -3.8,     0.7937447, ,          -3.8,     0.7937447, ,          -3.8,     0.7937447, ,          -3.8,     0.7937447, ,          -3.8,     0.7937447, ,          -3.8,     0.7937447, ,          -3.8,     0.7937447, , 
         -3.6,      0.806716, ,          -3.6,      0.806716, ,          -3.6,      0.806716, ,          -3.6,      0.806716, ,          -3.6,      0.806716, ,          -3.6,      0.806716, ,          -3.6,      0.806716, ,          -3.6,      0.806716, ,          -3.6,      0.806716, ,          -3.6,      0.806716, ,          -3.6,      0.806716, ,          -3.6,      0.806716, ,          -3.6,      0.806716, , 
         -3.4,     0.8196689, ,          -3.4,     0.8196689, ,          -3.4,     0.8196689, ,          -3.4,     0.8196689, ,          -3.4,     0.8196689, ,          -3.4,     0.8196689, ,          -3.4,     0.8196689, ,          -3.4,     0.8196689, ,          -3.4,     0.8196689, ,          -3.4,     0.8196689, ,          -3.4,     0.8196689, ,          -3.4,     0.8196689, ,          -3.4,     0.8196689, , 
         -3.2,      0.832603, ,          -3.2,      0.832603, ,          -3.2,      0.832603, ,          -3.2,      0.832603, ,          -3.2,      0.832603, ,          -3.2,      0.832603, ,          -3.2,      0.832603, ,          -3.2,      0.832603, ,          -3.2,      0.832603, ,          -3.2,      0.832603, ,          -3.2,      0.832603, ,          -3.2,      0.832603, ,          -3.2,      0.832603, , 
           -3,      0.845518, ,            -3,      0.845518, ,            -3,      0.845518, ,            -3,      0.845518, ,            -3,      0.845518, ,            -3,      0.845518, ,            -3,      0.845518, ,            -3,      0.845518, ,            -3,      0.845518, ,            -3,      0.845518, ,            -3,      0.845518, ,            -3,      0.845518, ,            -3,      0.845518, , 
         -2.8,     0.8584134, ,          -2.8,     0.8584134, ,          -2.8,     0.8584134, ,          -2.8,     0.8584134, ,          -2.8,     0.8584134, ,          -2.8,     0.8584134, ,          -2.8,     0.8584134, ,          -2.8,     0.8584134, ,          -2.8,     0.8584134, ,          -2.8,     0.8584134, ,          -2.8,     0.8584134, ,          -2.8,     0.8584134, ,          -2.8,     0.8584134, , 
         -2.6,     0.8712888, ,          -2.6,     0.8712888, ,          -2.6,     0.8712888, ,          -2.6,     0.8712888, ,          -2.6,     0.8712888, ,          -2.6,     0.8712888, ,          -2.6,     0.8712888, ,          -2.6,     0.8712888, ,          -2.6,     0.8712888, ,          -2.6,     0.8712888, ,          -2.6,     0.8712888, ,          -2.6,     0.8712888, ,          -2.6,     0.8712888, , 
         -2.4,      0.884144, ,          -2.4,      0.884144, ,          -2.4,      0.884144, ,          -2.4,      0.884144, ,          -2.4,      0.884144, ,          -2.4,      0.884144, ,          -2.4,      0.884144, ,          -2.4,      0.884144, ,          -2.4,      0.884144, ,          -2.4,      0.884144, ,          -2.4,      0.884144, ,          -2.4,      0.884144, ,          -2.4,      0.884144, , 
         -2.2,     0.8969784, ,          -2.2,     0.8969784, ,          -2.2,     0.8969784, ,          -2.2,     0.8969784, ,          -2.2,     0.8969784, ,          -2.2,     0.8969784, ,          -2.2,     0.8969784, ,          -2.2,     0.8969784, ,          -2.2,     0.8969784, ,          -2.2,     0.8969784, ,          -2.2,     0.8969784, ,          -2.2,     0.8969784, ,          -2.2,     0.8969784, , 
           -2,     0.9097918, ,            -2,     0.9097918, ,            -2,     0.9097918, ,            -2,     0.9097918, ,            -2,     0.9097918, ,            -2,     0.9097918, ,            -2,     0.9097918, ,            -2,     0.9097918, ,            -2,     0.9097918, ,            -2,     0.9097918, ,            -2,     0.9097918, ,            -2,     0.9097918, ,            -2,     0.9097918, , 
         -1.8,     0.9225836, ,          -1.8,     0.9225836, ,          -1.8,     0.9225836, ,          -1.8,     0.9225836, ,          -1.8,     0.9225836, ,          -1.8,     0.9225836, ,          -1.8,     0.9225836, ,          -1.8,     0.9225836, ,          -1.8,     0.9225836, ,          -1.8,     0.9225836, ,          -1.8,     0.9225836, ,          -1.8,     0.9225836, ,          -1.8,     0.9225836, , 
