Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -5,     0.6476546, ,            -5,     0.6476546, ,            -5,     0.6476546, ,            -5,     0.6476546, ,            -5,     0.6476546, , 
         -4.8,     0.6477818, ,          -4.8,     0.6477818, ,          -4.8,     0.6477818, ,          -4.8,     0.6477818, ,          -4.8,     0.6477818, , 
         -4.6,     0.6478921, ,          -4.6,     0.6478921, ,          -4.6,     0.6478921, ,          -4.6,     0.6478921, ,          -4.6,     0.6478921, , 
         -4.4,     0.6479867, ,          -4.4,     0.6479867, ,          -4.4,     0.6479867, ,          -4.4,     0.6479867, ,          -4.4,     0.6479867, , 
         -4.2,     0.6480668, ,          -4.2,     0.6480668, ,          -4.2,     0.6480668, ,          -4.2,     0.6480668, ,          -4.2,     0.6480668, , 
           -4,     0.6481333, ,            -4,     0.6481333, ,            -4,     0.6481333, ,            -4,     0.6481333, ,            -4,     0.6481333, , 
         -3.8,     0.6481871, ,          -3.8,     0.6481871, ,          -3.8,     0.6481871, ,          -3.8,     0.6481871, ,          -3.8,     0.6481871, , 
         -3.6,     0.6482292, ,          -3.6,     0.6482292, ,          -3.6,     0.6482292, ,          -3.6,     0.6482292, ,          -3.6,     0.6482292, , 
         -3.4,     0.6482603, ,          -3.4,     0.6482603, ,          -3.4,     0.6482603, ,          -3.4,     0.6482603, ,          -3.4,     0.6482603, , 
         -3.2,     0.6482811, ,          -3.2,     0.6482811, ,          -3.2,     0.6482811, ,          -3.2,     0.6482811, ,          -3.2,     0.6482811, , 
           -3,     0.6482924, ,            -3,     0.6482924, ,            -3,     0.6482924, ,            -3,     0.6482924, ,            -3,     0.6482924, , 
         -2.8,     0.6482947, ,          -2.8,     0.6482947, ,          -2.8,     0.6482947, ,          -2.8,     0.6482947, ,          -2.8,     0.6482947, , 
         -2.6,     0.6482887, ,          -2.6,     0.6482887, ,          -2.6,     0.6482887, ,          -2.6,     0.6482887, ,          -2.6,     0.6482887, , 
         -2.4,     0.6482749, ,          -2.4,     0.6482749, ,          -2.4,     0.6482749, ,          -2.4,     0.6482749, ,          -2.4,     0.6482749, , 
         -2.2,     0.6482538, ,          -2.2,     0.6482538, ,          -2.2,     0.6482538, ,          -2.2,     0.6482538, ,          -2.2,     0.6482538, , 
           -2,     0.6482258, ,            -2,     0.6482258, ,            -2,     0.6482258, ,            -2,     0.6482258, ,            -2,     0.6482258, , 
         -1.8,     0.6481915, ,          -1.8,     0.6481915, ,          -1.8,     0.6481915, ,          -1.8,     0.6481915, ,          -1.8,     0.6481915, , 
         -1.6,     0.6481513, ,          -1.6,     0.6481513, ,          -1.6,     0.6481513, ,          -1.6,     0.6481513, ,          -1.6,     0.6481513, , 
         -1.4,     0.6481055, ,          -1.4,     0.6481055, ,          -1.4,     0.6481055, ,          -1.4,     0.6481055, ,          -1.4,     0.6481055, , 
         -1.2,     0.6480545, ,          -1.2,     0.6480545, ,          -1.2,     0.6480545, ,          -1.2,     0.6480545, ,          -1.2,     0.6480545, , 
           -1,     0.6479987, ,            -1,     0.6479987, ,            -1,     0.6479987, ,            -1,     0.6479987, ,            -1,     0.6479987, , 
         -0.8,     0.6479384, ,          -0.8,     0.6479384, ,          -0.8,     0.6479384, ,          -0.8,     0.6479384, ,          -0.8,     0.6479384, , 
         -0.6,     0.6478738, ,          -0.6,     0.6478738, ,          -0.6,     0.6478738, ,          -0.6,     0.6478738, ,          -0.6,     0.6478738, , 
         -0.4,     0.6478053, ,          -0.4,     0.6478053, ,          -0.4,     0.6478053, ,          -0.4,     0.6478053, ,          -0.4,     0.6478053, , 
         -0.2,     0.6477332, ,          -0.2,     0.6477332, ,          -0.2,     0.6477332, ,          -0.2,     0.6477332, ,          -0.2,     0.6477332, , 
            0,     0.6476576, ,             0,     0.6476576, ,             0,     0.6476576, ,             0,     0.6476576, ,             0,     0.6476576, , 
          0.2,     0.6475789, ,           0.2,     0.6475789, ,           0.2,     0.6475789, ,           0.2,     0.6475789, ,           0.2,     0.6475789, , 
          0.4,     0.6474973, ,           0.4,     0.6474973, ,           0.4,     0.6474973, ,           0.4,     0.6474973, ,           0.4,     0.6474973, , 
          0.6,      0.647413, ,           0.6,      0.647413, ,           0.6,      0.647413, ,           0.6,      0.647413, ,           0.6,      0.647413, , 
          0.8,     0.6473261, ,           0.8,     0.6473261, ,           0.8,     0.6473261, ,           0.8,     0.6473261, ,           0.8,     0.6473261, , 
            1,      0.647237, ,             1,      0.647237, ,             1,      0.647237, ,             1,      0.647237, ,             1,      0.647237, , 
          1.2,     0.6471457, ,           1.2,     0.6471457, ,           1.2,     0.6471457, ,           1.2,     0.6471457, ,           1.2,     0.6471457, , 
          1.4,     0.6470525, ,           1.4,     0.6470525, ,           1.4,     0.6470525, ,           1.4,     0.6470525, ,           1.4,     0.6470525, , 
          1.6,     0.6469575, ,           1.6,     0.6469575, ,           1.6,     0.6469575, ,           1.6,     0.6469575, ,           1.6,     0.6469575, , 
          1.8,     0.6468608, ,           1.8,     0.6468608, ,           1.8,     0.6468608, ,           1.8,     0.6468608, ,           1.8,     0.6468608, , 
            2,     0.6467628, ,             2,     0.6467628, ,             2,     0.6467628, ,             2,     0.6467628, ,             2,     0.6467628, , 
          2.2,     0.6466634, ,           2.2,     0.6466634, ,           2.2,     0.6466634, ,           2.2,     0.6466634, ,           2.2,     0.6466634, , 
          2.4,     0.6465628, ,           2.4,     0.6465628, ,           2.4,     0.6465628, ,           2.4,     0.6465628, ,           2.4,     0.6465628, , 
          2.6,     0.6464611, ,           2.6,     0.6464611, ,           2.6,     0.6464611, ,           2.6,     0.6464611, ,           2.6,     0.6464611, , 
          2.8,     0.6463586, ,           2.8,     0.6463586, ,           2.8,     0.6463586, ,           2.8,     0.6463586, ,           2.8,     0.6463586, , 
            3,     0.6462552, ,             3,     0.6462552, ,             3,     0.6462552, ,             3,     0.6462552, ,             3,     0.6462552, , 
          3.2,     0.6461512, ,           3.2,     0.6461512, ,           3.2,     0.6461512, ,           3.2,     0.6461512, ,           3.2,     0.6461512, , 
          3.4,     0.6460466, ,           3.4,     0.6460466, ,           3.4,     0.6460466, ,           3.4,     0.6460466, ,           3.4,     0.6460466, , 
          3.6,     0.6459416, ,           3.6,     0.6459416, ,           3.6,     0.6459416, ,           3.6,     0.6459416, ,           3.6,     0.6459416, , 
          3.8,     0.6458362, ,           3.8,     0.6458362, ,           3.8,     0.6458362, ,           3.8,     0.6458362, ,           3.8,     0.6458362, , 
            4,     0.6457305, ,             4,     0.6457305, ,             4,     0.6457305, ,             4,     0.6457305, ,             4,     0.6457305, , 
          4.2,     0.6456247, ,           4.2,     0.6456247, ,           4.2,     0.6456247, ,           4.2,     0.6456247, ,           4.2,     0.6456247, , 
          4.4,     0.6455189, ,           4.4,     0.6455189, ,           4.4,     0.6455189, , , , ,           4.4,     0.6455189, , 
          4.6,     0.6454131, ,           4.6,     0.6454131, ,           4.6,     0.6454131, , , , , , , , 
          4.8,     0.6453074, ,           4.8,     0.6453074, ,           4.8,     0.6453074, , , , , , , , 
            5,     0.6452019, ,             5,     0.6452019, ,             5,     0.6452019, , , , , , , , 
, , ,           5.2,     0.6450967, ,           5.2,     0.6450967, , , , , , , , 
, , ,           5.4,     0.6449919, ,           5.4,     0.6449919, , , , , , , , 
, , ,           5.6,     0.6448875, ,           5.6,     0.6448875, , , , , , , , 
, , ,           5.8,     0.6447836, ,           5.8,     0.6447836, , , , , , , , 

