Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -5,     0.6227773, ,            -5,     0.6227773, ,            -5,     0.6227773, ,            -5,     0.6227773, ,            -5,     0.6227773, ,            -5,     0.6227773, ,            -5,     0.6227773, ,            -5,     0.6227773, ,            -5,     0.6227773, ,            -5,     0.6227773, ,            -5,     0.6227773, ,            -5,     0.6227773, ,            -5,     0.6227773, , 
         -4.8,     0.6227833, ,          -4.8,     0.6227833, ,          -4.8,     0.6227833, ,          -4.8,     0.6227833, ,          -4.8,     0.6227833, ,          -4.8,     0.6227833, ,          -4.8,     0.6227833, ,          -4.8,     0.6227833, ,          -4.8,     0.6227833, ,          -4.8,     0.6227833, ,          -4.8,     0.6227833, ,          -4.8,     0.6227833, ,          -4.8,     0.6227833, , 
         -4.6,     0.6227749, ,          -4.6,     0.6227749, ,          -4.6,     0.6227749, ,          -4.6,     0.6227749, ,          -4.6,     0.6227749, ,          -4.6,     0.6227749, ,          -4.6,     0.6227749, ,          -4.6,     0.6227749, ,          -4.6,     0.6227749, ,          -4.6,     0.6227749, ,          -4.6,     0.6227749, ,          -4.6,     0.6227749, ,          -4.6,     0.6227749, , 
         -4.4,     0.6227529, ,          -4.4,     0.6227529, ,          -4.4,     0.6227529, ,          -4.4,     0.6227529, ,          -4.4,     0.6227529, ,          -4.4,     0.6227529, ,          -4.4,     0.6227529, ,          -4.4,     0.6227529, ,          -4.4,     0.6227529, ,          -4.4,     0.6227529, ,          -4.4,     0.6227529, ,          -4.4,     0.6227529, ,          -4.4,     0.6227529, , 
         -4.2,     0.6227184, ,          -4.2,     0.6227184, ,          -4.2,     0.6227184, ,          -4.2,     0.6227184, ,          -4.2,     0.6227184, ,          -4.2,     0.6227184, ,          -4.2,     0.6227184, ,          -4.2,     0.6227184, ,          -4.2,     0.6227184, ,          -4.2,     0.6227184, ,          -4.2,     0.6227184, ,          -4.2,     0.6227184, ,          -4.2,     0.6227184, , 
           -4,     0.6226719, ,            -4,     0.6226719, ,            -4,     0.6226719, ,            -4,     0.6226719, ,            -4,     0.6226719, ,            -4,     0.6226719, ,            -4,     0.6226719, ,            -4,     0.6226719, ,            -4,     0.6226719, ,            -4,     0.6226719, ,            -4,     0.6226719, ,            -4,     0.6226719, ,            -4,     0.6226719, , 
         -3.8,     0.6226142, ,          -3.8,     0.6226142, ,          -3.8,     0.6226142, ,          -3.8,     0.6226142, ,          -3.8,     0.6226142, ,          -3.8,     0.6226142, ,          -3.8,     0.6226142, ,          -3.8,     0.6226142, ,          -3.8,     0.6226142, ,          -3.8,     0.6226142, ,          -3.8,     0.6226142, ,          -3.8,     0.6226142, ,          -3.8,     0.6226142, , 
         -3.6,     0.6225461, ,          -3.6,     0.6225461, ,          -3.6,     0.6225461, ,          -3.6,     0.6225461, ,          -3.6,     0.6225461, ,          -3.6,     0.6225461, ,          -3.6,     0.6225461, ,          -3.6,     0.6225461, ,          -3.6,     0.6225461, ,          -3.6,     0.6225461, ,          -3.6,     0.6225461, ,          -3.6,     0.6225461, ,          -3.6,     0.6225461, , 
         -3.4,      0.622468, ,          -3.4,      0.622468, ,          -3.4,      0.622468, ,          -3.4,      0.622468, ,          -3.4,      0.622468, ,          -3.4,      0.622468, ,          -3.4,      0.622468, ,          -3.4,      0.622468, ,          -3.4,      0.622468, ,          -3.4,      0.622468, ,          -3.4,      0.622468, ,          -3.4,      0.622468, ,          -3.4,      0.622468, , 
         -3.2,     0.6223807, ,          -3.2,     0.6223807, ,          -3.2,     0.6223807, ,          -3.2,     0.6223807, ,          -3.2,     0.6223807, ,          -3.2,     0.6223807, ,          -3.2,     0.6223807, ,          -3.2,     0.6223807, ,          -3.2,     0.6223807, ,          -3.2,     0.6223807, ,          -3.2,     0.6223807, ,          -3.2,     0.6223807, ,          -3.2,     0.6223807, , 
