Alpha,T1-15.8 m/s-VLM2, , 
           -5,      5.760054, , 
         -4.8,      5.689947, , 
         -4.6,      5.624886, , 
         -4.4,       5.56456, , 
         -4.2,      5.508688, , 
           -4,      5.456955, , 
         -3.8,      5.409136, , 
         -3.6,      5.364982, , 
         -3.4,      5.324345, , 
         -3.2,       5.28707, , 
           -3,      5.253075, , 
         -2.8,      5.222284, , 
         -2.6,      5.194623, , 
         -2.4,      5.170113, , 
         -2.2,      5.148688, , 
           -2,      5.130328, , 
         -1.8,      5.115059, , 
         -1.6,      5.102841, , 
         -1.4,      5.093654, , 
         -1.2,      5.087479, , 
           -1,      5.084315, , 
         -0.8,      5.084091, , 
         -0.6,      5.086681, , 
         -0.4,      5.091964, , 
         -0.2,       5.09989, , 
            0,      5.110287, , 
          0.2,      5.123088, , 
          0.4,      5.138301, , 
          0.6,      5.155796, , 
          0.8,      5.175459, , 
            1,      5.197237, , 
          1.2,      5.221268, , 
          1.4,      5.247619, , 
          1.6,      5.276303, , 
          1.8,      5.307574, , 
            2,      5.341443, , 
          2.2,      5.378025, , 
          2.4,      5.417672, , 
          2.6,      5.461073, , 
          2.8,      5.508406, , 
            3,      5.560725, , 
          3.2,       5.61875, , 
          3.4,      5.684694, , 
          3.6,      5.763278, , 
          3.8,      5.862015, , 
            4,      5.988227, , 
          4.2,      6.134172, , 
          4.4,      6.297188, , 
          4.6,      6.495833, , 
          4.8,      6.909696, , 

