Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -5,      7.652312, ,            -5,      7.376718, ,            -5,      11.39705, ,            -5,      7.270901, ,            -5,      7.231657, ,            -5,      7.225111, ,            -5,      7.194089, ,            -5,      7.181453, ,            -5,      7.175536, ,            -5,      10.38769, ,            -5,      8.716505, ,            -5,      8.059149, ,            -5,      7.988625, , 
         -4.8,      7.581157, ,          -4.8,      7.300706, ,          -4.8,      11.31501, ,          -4.8,      7.193268, ,          -4.8,      7.153287, ,          -4.8,      7.146208, ,          -4.8,      7.114396, ,          -4.8,      7.102384, ,          -4.8,      7.096857, ,          -4.8,      10.31271, ,          -4.8,      8.652707, ,          -4.8,      7.990696, ,          -4.8,      7.919742, , 
         -4.6,      7.515462, ,          -4.6,      7.230489, ,          -4.6,      11.24044, ,          -4.6,      7.121745, ,          -4.6,      7.081669, ,          -4.6,      7.074257, ,          -4.6,      7.042404, ,          -4.6,      7.031218, ,          -4.6,      7.025636, ,          -4.6,      10.24468, ,          -4.6,      8.594976, ,          -4.6,      7.927773, ,          -4.6,      7.856366, , 
         -4.4,      7.454856, ,          -4.4,       7.16535, ,          -4.4,      11.17278, ,          -4.4,      7.055202, ,          -4.4,      7.014674, ,          -4.4,      7.007333, ,          -4.4,      6.976617, ,          -4.4,       6.96633, ,          -4.4,      6.960815, ,          -4.4,      10.18316, ,          -4.4,      8.543036, ,          -4.4,      7.870054, ,          -4.4,      7.798166, , 
         -4.2,      7.399061, ,          -4.2,      7.104967, ,          -4.2,       11.1117, ,          -4.2,      6.993291, ,          -4.2,      6.951885, ,          -4.2,      6.944995, ,          -4.2,      6.916096, ,          -4.2,      6.906373, ,          -4.2,      6.900949, ,          -4.2,      10.12785, ,          -4.2,      8.496665, ,          -4.2,      7.817279, ,          -4.2,      7.744881, , 
           -4,      7.347849, ,            -4,      7.049849, ,            -4,       11.0572, ,            -4,      6.936966, ,            -4,      6.895319, ,            -4,      6.888521, ,            -4,      6.859388, ,            -4,      6.849203, ,            -4,      6.843653, ,            -4,       10.0787, ,            -4,      8.455704, ,            -4,      7.769266, ,            -4,      7.696319, , 
         -3.8,      7.300905, ,          -3.8,      6.999356, ,          -3.8,        11.009, ,          -3.8,      6.885351, ,          -3.8,      6.843689, ,          -3.8,      6.836921, ,          -3.8,      6.807282, ,          -3.8,      6.796536, ,          -3.8,      6.790861, ,          -3.8,      10.03541, ,          -3.8,       8.41985, ,          -3.8,      7.725742, ,          -3.8,      7.652204, , 
         -3.6,      7.258062, ,          -3.6,      6.953558, ,          -3.6,      10.96675, ,          -3.6,      6.837937, ,          -3.6,      6.796621, ,          -3.6,       6.78991, ,          -3.6,      6.759446, ,          -3.6,      6.747768, ,          -3.6,       6.74189, ,          -3.6,      9.997724, ,          -3.6,      8.388967, ,          -3.6,       7.68658, ,          -3.6,      7.612398, , 
         -3.4,      7.219061, ,          -3.4,      6.911746, ,          -3.4,      10.93031, ,          -3.4,      6.794479, ,          -3.4,      6.753685, ,          -3.4,       6.74714, ,          -3.4,      6.716421, ,          -3.4,      6.704066, ,          -3.4,      6.698054, ,          -3.4,      9.965474, ,          -3.4,      8.362865, ,          -3.4,      7.651575, ,          -3.4,      7.576691, , 
         -3.2,      7.183741, ,          -3.2,      6.873763, ,          -3.2,      10.89961, ,          -3.2,      6.754741, ,          -3.2,      6.714662, ,          -3.2,      6.708419, ,          -3.2,      6.677574, ,          -3.2,      6.664321, ,          -3.2,      6.658078, ,          -3.2,      9.938582, ,          -3.2,      8.341461, ,          -3.2,      7.620634, ,          -3.2,      7.544977, , 
           -3,      7.151961, ,            -3,       6.83939, ,            -3,      10.87461, ,            -3,      6.718759, ,            -3,       6.67797, ,            -3,      6.671521, ,            -3,      6.640575, ,            -3,      6.627758, ,            -3,      6.621534, ,            -3,      9.916982, ,            -3,      8.324624, ,            -3,      7.593658, ,            -3,      7.517148, , 
         -2.8,      7.123554, ,          -2.8,      6.808335, ,          -2.8,      10.85492, ,          -2.8,      6.686199, ,          -2.8,      6.644305, ,          -2.8,      6.637512, ,          -2.8,      6.606475, ,          -2.8,      6.594462, ,          -2.8,      6.588585, ,          -2.8,      9.900391, ,          -2.8,      8.312266, ,          -2.8,      7.570589, ,          -2.8,      7.493131, , 
