Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -3,      5.038603, ,            -3,      5.097925, ,            -3,      4.808551, , 
         -2.8,      5.063083, ,          -2.8,      5.123739, ,          -2.8,       4.82565, , 
         -2.6,      5.085375, ,          -2.6,      5.147156, ,          -2.6,      4.841188, , 
         -2.4,      5.105627, ,          -2.4,       5.16881, ,          -2.4,      4.855206, , 
         -2.2,       5.12398, ,          -2.2,      5.188772, ,          -2.2,      4.867754, , 
           -2,      5.140636, ,            -2,      5.207044, ,            -2,      4.878899, , 
         -1.8,      5.155638, ,          -1.8,      5.224459, ,          -1.8,      4.888635, , 
         -1.6,      5.169082, ,          -1.6,      5.239885, ,          -1.6,      4.897046, , 
         -1.4,      5.180981, ,          -1.4,       5.25295, ,          -1.4,      4.904173, , 
         -1.2,      5.191604, ,          -1.2,      5.264368, ,          -1.2,      4.910043, , 
           -1,      5.200769, ,            -1,      5.273942, ,            -1,      4.914722, , 
         -0.8,      5.208363, ,          -0.8,      5.281884, ,          -0.8,      4.918233, , 
         -0.6,      5.214478, ,          -0.6,       5.28825, ,          -0.6,      4.920607, , 
         -0.4,       5.21931, ,          -0.4,      5.293348, ,          -0.4,      4.921909, , 
         -0.2,      5.222829, ,          -0.2,      5.297543, ,          -0.2,      4.922155, , 
            0,      5.225147, ,             0,      5.300654, ,             0,      4.921395, , 
          0.2,      5.226324, ,           0.2,      5.302458, ,           0.2,      4.919665, , 
          0.4,      5.226442, ,           0.4,      5.302863, ,           0.4,         4.917, , 
          0.6,      5.225599, ,           0.6,      5.302222, ,           0.6,      4.913421, , 
          0.8,      5.223884, ,           0.8,      5.300799, ,           0.8,      4.908985, , 
            1,      5.221273, ,             1,      5.298306, ,             1,      4.903704, , 
          1.2,      5.217568, ,           1.2,      5.294455, ,           1.2,       4.89761, , 
          1.4,      5.212995, ,           1.4,      5.289697, ,           1.4,      4.890746, , 
          1.6,      5.207319, ,           1.6,      5.283874, ,           1.6,      4.883116, , 
          1.8,      5.200745, ,           1.8,      5.277163, ,           1.8,      4.874756, , 
            2,      5.193421, ,             2,      5.269659, ,             2,      4.865689, , 
          2.2,      5.185289, ,           2.2,       5.26142, ,           2.2,      4.855925, , 
          2.4,      5.176488, ,           2.4,      5.252523, ,           2.4,      4.845513, , 
          2.6,      5.167002, ,           2.6,      5.243445, ,           2.6,      4.834461, , 
          2.8,      5.156892, ,           2.8,      5.233972, ,           2.8,      4.822793, , 
            3,      5.146202, ,             3,      5.223821, ,             3,      4.810541, , 
          3.2,      5.134936, ,           3.2,      5.212725, ,           3.2,       4.79773, , 
          3.4,      5.123257, ,           3.4,      5.201367, ,           3.4,      4.784377, , 
          3.6,      5.111088, ,           3.6,      5.189432, ,           3.6,      4.770509, , 
          3.8,       5.09843, ,           3.8,      5.176943, ,           3.8,      4.756136, , 
            4,      5.085206, ,             4,      5.163802, ,             4,       4.74128, , 
          4.2,      5.071506, ,           4.2,      5.150148, ,           4.2,      4.725968, , 
          4.4,        5.0574, ,           4.4,      5.136115, ,           4.4,      4.710211, , 
          4.6,      5.042796, ,           4.6,      5.121662, ,           4.6,      4.694021, , 
          4.8,      5.027788, ,           4.8,      5.106848, ,           4.8,      4.677416, , 
            5,      5.012418, ,             5,       5.09171, ,             5,      4.660414, , 
          5.2,      4.996665, ,           5.2,      5.076182, ,           5.2,      4.643026, , 
          5.4,      4.980575, ,           5.4,      5.060335, ,           5.4,      4.625283, , 
          5.6,      4.964172, ,           5.6,      5.044199, ,           5.6,      4.607183, , 
          5.8,      4.947452, ,           5.8,      5.028007, ,           5.8,       4.58875, , 
            6,      4.930432, ,             6,      5.011805, ,             6,      4.569997, , 
          6.2,      4.913136, ,           6.2,      4.995339, ,           6.2,      4.550935, , 
          6.4,      4.895575, ,           6.4,      4.978544, ,           6.4,      4.531579, , 
          6.6,      4.877762, ,           6.6,      4.961321, ,           6.6,      4.511955, , 
          6.8,      4.859716, ,           6.8,      4.943848, ,           6.8,      4.492074, , 
            7,      4.841451, ,             7,      4.926138, ,             7,      4.471938, , 
          7.2,      4.822966, ,           7.2,       4.90808, ,           7.2,      4.451568, , 
          7.4,      4.804291, ,           7.4,      4.889809, ,           7.4,      4.430983, , 
          7.6,      4.785441, ,           7.6,      4.871344, ,           7.6,      4.410186, , 
          7.8,      4.766406, ,           7.8,      4.852652, ,           7.8,      4.389178, , 
            8,      4.747213, ,             8,      4.833771, ,             8,      4.367991, , 
          8.2,      4.727877, ,           8.2,      4.814719, ,           8.2,      4.346626, , 
          8.4,      4.708412, ,           8.4,      4.795509, ,           8.4,       4.32509, , 
          8.6,      4.688829, ,           8.6,      4.776151, ,           8.6,      4.303372, , 
          8.8,      4.669154, ,           8.8,      4.756676, ,           8.8,      4.281493, , 
            9,      4.649386, ,             9,      4.737083, ,             9,      4.259451, , 
          9.2,       4.62954, ,           9.2,      4.717379, ,           9.2,      4.237267, , 
          9.4,      4.609627, ,           9.4,      4.697595, ,           9.4,      4.214902, , 
          9.6,      4.589665, ,           9.6,      4.677748, ,           9.6,      4.192353, , 
          9.8,      4.569666, ,           9.8,      4.657848, ,           9.8,      4.169649, , 
           10,      4.549639, ,            10,      4.637908, ,            10,      4.146783, , 

