Alpha,T1-15.8 m/s-VLM2, , 
           -4,      9.155613, , 
         -3.8,      9.196893, , 
         -3.6,      9.233321, , 
         -3.4,      9.265061, , 
         -3.2,      9.292172, , 
           -3,      9.314868, , 
         -2.8,      9.333158, , 
         -2.6,      9.347047, , 
         -2.4,      9.356436, , 
         -2.2,      9.361396, , 
           -2,      9.362086, , 
         -1.8,      9.358478, , 
         -1.6,      9.350256, , 
         -1.4,      9.337911, , 
         -1.2,      9.321244, , 
           -1,      9.300242, , 
         -0.8,      9.275568, , 
         -0.6,      9.246102, , 
         -0.4,      9.212577, , 
         -0.2,      9.174063, , 
            0,      9.131269, , 
          0.2,       9.08415, , 
          0.4,      9.032342, , 
          0.6,      8.975844, , 
          0.8,      8.915304, , 
            1,      8.850862, , 
          1.2,      8.783464, , 
          1.4,        8.7124, , 
          1.6,      8.638248, , 
          1.8,      8.560555, , 
            2,       8.48084, , 
          2.2,      8.398402, , 
          2.4,      8.313245, , 
          2.6,        8.2256, , 
          2.8,      8.135112, , 
            3,      8.040318, , 
          3.2,      7.938883, , 
          3.4,      7.831336, , 
          3.6,      7.723912, , 

