Alpha,T1-15.8 m/s-VLM2, , 
           -2,      5.569094, , 
         -1.8,      4.359456, , 
         -1.6,       3.54916, , 
         -1.4,      2.974615, , 
         -1.2,      2.550756, , 
           -1,      2.228392, , 
         -0.8,      1.977017, , 
         -0.6,      1.776949, , 
         -0.4,      1.615024, , 
         -0.2,      1.482478, , 
            0,      1.376907, , 
          0.2,      1.302295, , 
          0.4,       1.25764, , 
          0.6,      1.228445, , 
          0.8,       1.21359, , 
            1,       1.20448, , 
          1.2,      1.199682, , 
          1.4,      1.198027, , 
          1.6,      1.196199, , 
          1.8,      1.206632, , 
            2,      1.199406, , 
          2.2,      1.202285, , 
          2.4,      1.209772, , 
          2.6,      1.217219, , 
          2.8,      1.225925, , 
            3,      1.235854, , 
          3.2,      1.247315, , 
          3.4,      1.260272, , 
          3.6,      1.274608, , 

