Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -2,      4.511069, ,            -2,      5.050225, ,            -2,      5.180833, ,            -2,      3.025825, ,            -2,      3.557755, , 
         -1.8,      5.226212, ,          -1.8,      5.842641, ,          -1.8,      5.977439, ,          -1.8,      3.518308, ,          -1.8,      4.131366, , 
         -1.6,      5.914646, ,          -1.6,      6.593632, ,          -1.6,      6.739615, ,          -1.6,      3.998274, ,          -1.6,      4.687901, , 
         -1.4,      6.573083, ,          -1.4,      7.295073, ,          -1.4,      7.466633, ,          -1.4,      4.464118, ,          -1.4,      5.225386, , 
         -1.2,      7.198517, ,          -1.2,       7.97897, ,          -1.2,      8.167026, ,          -1.2,      4.914053, ,          -1.2,      5.741402, , 
           -1,      7.788532, ,            -1,      8.622724, ,            -1,      8.839792, ,            -1,      5.347098, ,            -1,      6.234622, , 
         -0.8,       8.34372, ,          -0.8,      9.230406, ,          -0.8,       9.46153, ,          -0.8,      5.761856, ,          -0.8,       6.70404, , 
         -0.6,      8.862622, ,          -0.6,      9.790536, ,          -0.6,      10.03357, ,          -0.6,      6.157596, ,          -0.6,       7.14879, , 
         -0.4,      9.345117, ,          -0.4,      10.30359, ,          -0.4,      10.55272, ,          -0.4,      6.533534, ,          -0.4,      7.568181, , 
         -0.2,      9.790896, ,          -0.2,      10.77182, ,          -0.2,      11.02561, ,          -0.2,      6.889145, ,          -0.2,      7.961648, , 
            0,      10.20004, ,             0,      11.19715, ,             0,      11.45431, ,             0,      7.224046, ,             0,      8.328894, , 
          0.2,       10.5731, ,           0.2,      11.58099, ,           0.2,      11.84016, ,           0.2,      7.537869, ,           0.2,      8.669837, , 
          0.4,      10.91088, ,           0.4,      11.92467, ,           0.4,      12.18457, ,           0.4,      7.830482, ,           0.4,      8.984614, , 
          0.6,       11.2139, ,           0.6,      12.22544, ,           0.6,       12.4816, ,           0.6,      8.101759, ,           0.6,      9.273222, , 
          0.8,      11.47407, ,           0.8,      12.45889, ,           0.8,      12.70334, ,           0.8,      8.351552, ,           0.8,      9.535373, , 
            1,      11.67522, ,             1,      12.63799, ,             1,      12.87904, ,             1,      8.578362, ,             1,      9.765263, , 
          1.2,      11.84298, ,           1.2,      12.76428, ,           1.2,      12.98007, ,           1.2,      8.779887, ,           1.2,      9.958625, , 
          1.4,       11.9506, ,           1.4,      12.77482, ,           1.4,      12.98951, ,           1.4,       8.95141, ,           1.4,      10.11813, , 
          1.6,      11.96897, ,           1.6,      12.72624, ,           1.6,      12.92104, ,           1.6,      9.093015, ,           1.6,      10.24177, , 
          1.8,      11.92789, ,           1.8,      12.61221, ,           1.8,      12.81886, ,           1.8,      9.204096, ,           1.8,      10.31621, , 
            2,      11.81843, ,             2,      12.48799, ,             2,      12.67628, ,             2,      9.277643, ,             2,      10.34265, , 
          2.2,       11.7042, ,           2.2,      12.36195, ,           2.2,      12.52738, ,           2.2,      9.314466, ,           2.2,      10.33679, , 
          2.4,      11.60355, ,           2.4,      12.20407, ,           2.4,      12.35385, ,           2.4,      9.323463, ,           2.4,       10.3008, , 
          2.6,      11.45847, ,           2.6,      11.96546, ,           2.6,      12.14055, ,           2.6,      9.308821, ,           2.6,      10.23943, , 
          2.8,      11.26777, ,           2.8,      11.79992, ,           2.8,      11.93637, ,           2.8,      9.275489, ,           2.8,      10.15726, , 
            3,      11.06815, ,             3,      11.58389, ,             3,      11.69567, ,             3,      9.226755, ,             3,       10.0503, , 
          3.2,      10.90669, ,           3.2,      11.37395, ,           3.2,      11.50924, ,           3.2,      9.164278, ,           3.2,      9.931411, , 
          3.4,      10.72097, ,           3.4,      11.12868, ,           3.4,      11.27903, ,           3.4,      9.090313, ,           3.4,      9.796652, , 
          3.6,      10.51926, ,           3.6,      10.92591, ,           3.6,      11.04269, ,           3.6,      9.007642, ,           3.6,      9.664165, , 
          3.8,      10.34198, ,           3.8,      10.71902, ,           3.8,      10.80258, ,           3.8,        8.9189, ,           3.8,      9.546447, , 
            4,      10.16738, ,             4,      10.48954, ,             4,      10.59122, ,             4,      8.825658, ,             4,      9.420767, , 
          4.2,      9.974156, ,           4.2,      10.28649, ,           4.2,      10.36907, ,           4.2,      8.729454, ,           4.2,      9.287236, , 
          4.4,      9.798054, ,           4.4,      10.08776, ,           4.4,       10.1636, ,           4.4,      8.630485, ,           4.4,       9.14959, , 
          4.6,      9.610987, ,           4.6,      9.907829, ,           4.6,      9.973154, ,           4.6,      8.528768, ,           4.6,      9.011702, , 
          4.8,      9.447759, ,           4.8,       9.71225, ,           4.8,      9.773897, ,           4.8,      8.424004, ,           4.8,      8.875114, , 
            5,      9.260294, ,             5,      9.517434, ,             5,      9.581904, ,             5,      8.316759, ,             5,      8.735686, , 
          5.2,      9.094813, ,           5.2,      9.331769, ,           5.2,      9.390866, ,           5.2,      8.207894, ,           5.2,      8.596566, , 
          5.4,       8.93085, ,           5.4,      9.152609, ,           5.4,      9.205714, ,           5.4,      8.097729, ,           5.4,      8.462856, , 
          5.6,      8.771339, ,           5.6,       8.97387, ,           5.6,      9.040032, ,           5.6,      7.986532, ,           5.6,      8.332015, , 

