Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -2,      11.64501, ,            -2,      10.42181, ,            -2,       9.69714, ,            -2,      9.327257, ,            -2,      9.120215, ,            -2,      9.035208, ,            -2,      16.86361, ,            -2,      15.35115, ,            -2,      13.13891, , 
         -1.8,      10.00204, ,          -1.8,      8.954636, ,          -1.8,      8.335393, ,          -1.8,       8.04157, ,          -1.8,      7.859918, ,          -1.8,      7.790091, ,          -1.8,      14.50115, ,          -1.8,      13.19096, ,          -1.8,      11.28441, , 
         -1.6,      8.798972, ,          -1.6,      7.884191, ,          -1.6,      7.344439, ,          -1.6,      7.096803, ,          -1.6,      6.927101, ,          -1.6,      6.861554, ,          -1.6,      12.74652, ,          -1.6,       11.5934, ,          -1.6,      9.920805, , 
         -1.4,      7.887126, ,          -1.4,      7.076236, ,          -1.4,      6.598415, ,          -1.4,       6.36788, ,          -1.4,      6.204892, ,          -1.4,      6.142975, ,          -1.4,      11.39928, ,          -1.4,      10.37097, ,          -1.4,      8.883159, , 
         -1.2,      7.175125, ,          -1.2,      6.446703, ,          -1.2,      6.017698, ,          -1.2,      5.801715, ,          -1.2,        5.6518, ,          -1.2,      5.593861, ,          -1.2,      10.33847, ,          -1.2,      9.410812, ,          -1.2,      8.070899, , 
           -1,       6.60721, ,            -1,       5.94569, ,            -1,      5.556118, ,            -1,      5.358332, ,            -1,       5.22331, ,            -1,      5.170489, ,            -1,      9.486089, ,            -1,      8.640779, ,            -1,      7.421363, , 
         -0.8,      6.146808, ,          -0.8,      5.540694, ,          -0.8,      5.183614, ,          -0.8,      5.002577, ,          -0.8,       4.87891, ,          -0.8,      4.830525, ,          -0.8,       8.78968, ,          -0.8,      8.012835, ,          -0.8,      6.893277, , 
         -0.6,      5.768744, ,          -0.6,       5.20917, ,          -0.6,      4.879317, ,          -0.6,      4.712309, ,          -0.6,      4.598177, ,          -0.6,        4.5535, ,          -0.6,      8.212994, ,          -0.6,      7.493913, ,          -0.6,      6.458414, , 
         -0.4,      5.454984, ,          -0.4,       4.93503, ,          -0.4,      4.628258, ,          -0.4,      4.473132, ,          -0.4,       4.36708, ,          -0.4,      4.325562, ,          -0.4,      7.730079, ,          -0.4,      7.060412, ,          -0.4,      6.096391, , 
         -0.2,      5.192631, ,          -0.2,      4.706621, ,          -0.2,      4.419645, ,          -0.2,      4.274664, ,          -0.2,      4.175531, ,          -0.2,      4.136706, ,          -0.2,      7.322473, ,          -0.2,      6.695337, ,          -0.2,      5.792586, , 
            0,      4.971977, ,             0,      4.515337, ,             0,      4.245574, ,             0,      4.109766, ,             0,      4.017064, ,             0,      3.980806, ,             0,      6.975996, ,             0,      6.385786, ,             0,      5.536056, , 
          0.2,      4.786908, ,           0.2,      4.358539, ,           0.2,      4.108654, ,           0.2,      3.983509, ,           0.2,      3.899399, ,           0.2,      3.866813, ,           0.2,      6.680619, ,           0.2,      6.122652, ,           0.2,       5.31924, , 
          0.4,      4.641722, ,           0.4,      4.239945, ,           0.4,      4.005101, ,           0.4,      3.890106, ,           0.4,      3.816295, ,           0.4,      3.786828, ,           0.4,       6.42975, ,           0.4,      5.900027, ,           0.4,      5.140288, , 
          0.6,      4.528652, ,           0.6,      4.155912, ,           0.6,      3.946827, ,           0.6,      3.859944, ,           0.6,      3.789909, ,           0.6,      3.761629, ,           0.6,      6.218742, ,           0.6,      5.715712, ,           0.6,      4.998678, , 
          0.8,      4.462697, ,           0.8,      4.131859, ,           0.8,      3.940409, ,           0.8,      3.863132, ,           0.8,      3.794576, ,           0.8,       3.76267, ,           0.8,      6.046676, ,           0.8,      5.571004, ,           0.8,      4.895981, , 
            1,      4.438009, ,             1,      4.140061, ,             1,      3.963201, ,             1,      3.895512, ,             1,      3.822063, ,             1,      3.789349, ,             1,      5.912836, ,             1,      5.467899, ,             1,        4.8394, , 
          1.2,       4.44613, ,           1.2,      4.178969, ,           1.2,      4.011695, ,           1.2,      3.946534, ,           1.2,       3.88469, ,           1.2,      3.854052, ,           1.2,      5.823963, ,           1.2,      5.408033, ,           1.2,      4.815539, , 
          1.4,      4.478251, ,           1.4,       4.23207, ,           1.4,      4.081727, ,           1.4,      3.993075, ,           1.4,       3.93795, ,           1.4,       3.91304, ,           1.4,      5.774532, ,           1.4,      5.379154, ,           1.4,       4.81797, , 
          1.6,      4.531543, ,           1.6,      4.288326, ,           1.6,      4.154649, ,           1.6,      4.071128, ,           1.6,      4.012236, ,           1.6,      3.987442, ,           1.6,      5.752304, ,           1.6,      5.373647, ,           1.6,      4.843238, , 
          1.8,      4.603427, ,           1.8,      4.371155, ,           1.8,      4.234263, ,           1.8,      4.150446, ,           1.8,      4.094803, ,           1.8,      4.075817, ,           1.8,       5.75064, ,           1.8,      5.387703, ,           1.8,      4.888367, , 
            2,      4.688796, ,             2,      4.452264, ,             2,      4.314234, ,             2,      4.242457, ,             2,      4.193092, ,             2,      4.178564, ,             2,      5.766897, ,             2,      5.416628, ,             2,      4.954668, , 
          2.2,      4.757968, ,           2.2,      4.542998, ,           2.2,      4.400839, ,           2.2,      4.352304, ,           2.2,      4.277151, ,           2.2,      4.266829, ,           2.2,      5.796049, ,           2.2,      5.457206, ,           2.2,      5.031696, , 
          2.4,      4.847876, ,           2.4,      4.631732, ,           2.4,      4.495069, ,           2.4,      4.438424, ,           2.4,      4.398544, ,           2.4,      4.384703, ,           2.4,      5.834477, ,           2.4,      5.506918, ,           2.4,      5.096844, , 
          2.6,      4.927338, ,           2.6,      4.730483, ,           2.6,      4.593382, ,           2.6,      4.542935, ,           2.6,      4.496304, ,           2.6,      4.483968, ,           2.6,      5.879783, ,           2.6,      5.563245, ,           2.6,      5.165212, , 
          2.8,      5.032996, ,           2.8,      4.826468, ,           2.8,      4.703511, ,           2.8,      4.644896, ,           2.8,      4.604508, ,           2.8,      4.591421, ,           2.8,      5.930631, ,           2.8,      5.624981, ,           2.8,       5.24111, , 
            3,      5.109968, ,             3,      4.935012, ,             3,      4.817392, ,             3,      4.761232, ,             3,      4.714667, ,             3,      4.699897, ,             3,      5.985964, ,             3,      5.691473, ,             3,      5.330667, , 
          3.2,      5.212287, ,           3.2,      5.035961, ,           3.2,      4.923276, ,           3.2,      4.867769, ,           3.2,      4.830386, ,           3.2,      4.816678, ,           3.2,      6.045769, ,           3.2,      5.762883, ,           3.2,      5.419731, , 
          3.4,       5.30861, ,           3.4,      5.140209, ,           3.4,      5.038479, ,           3.4,      4.982661, ,           3.4,      4.946047, ,           3.4,      4.930307, ,           3.4,      6.111063, ,           3.4,      5.840248, ,           3.4,      5.508784, , 
          3.6,      5.427853, ,           3.6,      5.251418, ,           3.6,      5.152631, ,           3.6,      5.101003, ,           3.6,       5.06527, ,           3.6,      5.042113, ,           3.6,       6.18198, ,           3.6,      5.922923, ,           3.6,       5.60549, , 
          3.8,      5.528684, ,           3.8,      5.369876, ,           3.8,      5.272723, ,           3.8,      5.221943, ,           3.8,      5.179075, ,           3.8,      5.159396, ,           3.8,      6.259165, ,           3.8,       6.01128, ,           3.8,      5.708106, , 
            4,      5.639342, ,             4,      5.489961, ,             4,      5.395448, ,             4,      5.347501, ,             4,      5.289209, ,             4,      5.271191, ,             4,      6.341555, ,             4,      6.104264, ,             4,      5.817093, , 
          4.2,      5.758076, ,           4.2,      5.614315, ,           4.2,      5.522915, ,           4.2,        5.4697, ,           4.2,      5.420841, ,           4.2,      5.401748, ,           4.2,      6.430156, ,           4.2,      6.202797, ,           4.2,      5.929994, , 
