Alpha,T1-15.8 m/s-VLM2, , 
           -2,       11.0468, , 
         -1.8,      8.761959, , 
         -1.6,       7.20273, , 
         -1.4,      6.085941, , 
         -1.2,      5.256282, , 
           -1,      4.620065, , 
         -0.8,      4.120707, , 
         -0.6,      3.721143, , 
         -0.4,      3.396366, , 
         -0.2,      3.128815, , 
            0,      2.905818, , 
          0.2,      2.718164, , 
          0.4,      2.559968, , 
          0.6,      2.430458, , 
          0.8,      2.321847, , 
            1,      2.236475, , 
          1.2,      2.178863, , 
          1.4,      2.138276, , 
          1.6,      2.114165, , 
          1.8,      2.090983, , 
            2,      2.073087, , 
          2.2,      2.069024, , 
          2.4,      2.070127, , 
          2.6,      2.066442, , 
          2.8,       2.07307, , 
            3,      2.077623, , 
          3.2,      2.081158, , 
          3.4,      2.092737, , 
          3.6,      2.102143, , 
          3.8,      2.113018, , 
            4,      2.128513, , 
          4.2,      2.139488, , 
          4.4,      2.153202, , 
          4.6,      2.169176, , 
          4.8,       2.18582, , 

