Alpha,T1-15.8 m/s-VLM2, , 
           -1,     0.3811793, , 
         -0.8,      0.391355, , 
         -0.6,     0.4015201, , 
         -0.4,     0.4116744, , 
         -0.2,     0.4218174, , 
            0,     0.4319488, , 
          0.2,     0.4420683, , 
          0.4,     0.4521755, , 
          0.6,       0.46227, , 
          0.8,     0.4723515, , 
            1,     0.4824197, , 
          1.2,     0.4924742, , 
          1.4,     0.5025146, , 
          1.6,     0.5125405, , 
          1.8,     0.5225518, , 
            2,     0.5325479, , 
          2.2,     0.5425286, , 
          2.4,     0.5524935, , 
          2.6,     0.5624423, , 
          2.8,     0.5723746, , 
            3,     0.5822901, , 
          3.2,     0.5921884, , 
          3.4,     0.6020692, , 
          3.6,     0.6119322, , 
          3.8,     0.6217771, , 
            4,     0.6316035, , 
          4.2,      0.641411, , 
          4.4,     0.6511994, , 
          4.6,     0.6609683, , 
          4.8,     0.6707174, , 
            5,     0.6804463, , 
          5.2,     0.6901548, , 
          5.4,     0.6998425, , 
          5.6,     0.7095091, , 
          5.8,     0.7191542, , 
            6,     0.7287776, , 
          6.2,      0.738379, , 
          6.4,      0.747958, , 
          6.6,     0.7575142, , 
          6.8,     0.7670475, , 
            7,     0.7765575, , 
          7.2,     0.7860439, , 
          7.4,     0.7955063, , 
          7.6,     0.8049445, , 
          7.8,     0.8143582, , 
            8,      0.823747, , 
          8.2,     0.8331108, , 
          8.4,     0.8424491, , 
          8.6,     0.8517617, , 
          8.8,     0.8610482, , 
            9,     0.8703085, , 
          9.2,     0.8795422, , 
          9.4,      0.888749, , 
          9.6,     0.8979287, , 

