Alpha,T1-15.8 m/s-VLM2, , 
           -1,      5.682476, , 
         -0.8,      5.587612, , 
         -0.6,       5.50751, , 
         -0.4,      5.440524, , 
         -0.2,      5.386938, , 
            0,      5.345504, , 
          0.2,      5.313796, , 
          0.4,      5.290223, , 
          0.6,      5.274105, , 
          0.8,      5.264187, , 
            1,      5.259392, , 
          1.2,      5.259183, , 
          1.4,       5.26311, , 
          1.6,       5.27153, , 
          1.8,      5.283509, , 
            2,      5.298574, , 
          2.2,       5.31665, , 
          2.4,      5.337413, , 
          2.6,      5.360709, , 
          2.8,       5.38618, , 
            3,       5.41352, , 
          3.2,      5.442362, , 
          3.4,      5.472878, , 
          3.6,      5.504591, , 
          3.8,       5.53774, , 
            4,      5.572067, , 
          4.2,      5.607684, , 
          4.4,      5.644612, , 
          4.6,      5.682734, , 
          4.8,      5.722035, , 
            5,      5.762254, , 
          5.2,      5.803447, , 
          5.4,      5.845329, , 
          5.6,       5.88799, , 
          5.8,      5.931404, , 
            6,      5.975481, , 
          6.2,      6.020421, , 
          6.4,      6.066194, , 
          6.6,      6.112656, , 
          6.8,      6.159834, , 
            7,      6.207578, , 
          7.2,      6.255921, , 
          7.4,      6.304802, , 
          7.6,      6.354162, , 
          7.8,      6.404041, , 
            8,       6.45431, , 
          8.2,      6.505064, , 
          8.4,      6.556136, , 
          8.6,      6.607653, , 
          8.8,      6.659462, , 
            9,      6.711622, , 
          9.2,      6.764088, , 
          9.4,      6.816841, , 
          9.6,      6.869897, , 

