Alpha,T1-15.8 m/s-VLM2, , 
           -3,      10.38997, , 
         -2.8,      10.47134, , 
         -2.6,      10.54687, , 
         -2.4,      10.61661, , 
         -2.2,      10.68042, , 
           -2,      10.73821, , 
         -1.8,         10.79, , 
         -1.6,      10.83556, , 
         -1.4,      10.87487, , 
         -1.2,      10.90797, , 
           -1,      10.93483, , 
         -0.8,      10.95539, , 
         -0.6,      10.96982, , 
         -0.4,      10.97825, , 
         -0.2,      10.98094, , 
            0,      10.97818, , 
          0.2,      10.97033, , 
          0.4,      10.95756, , 
          0.6,      10.94034, , 
          0.8,      10.91917, , 
            1,      10.89435, , 
          1.2,      10.86607, , 
          1.4,      10.83458, , 
          1.6,          10.8, , 
          1.8,      10.76251, , 
            2,      10.72229, , 
          2.2,      10.67933, , 
          2.4,      10.63371, , 
          2.6,       10.5855, , 
          2.8,      10.53476, , 
            3,      10.48156, , 
          3.2,      10.42588, , 
          3.4,      10.36774, , 
          3.6,      10.30722, , 
          3.8,      10.24393, , 
            4,       10.1779, , 
          4.2,      10.10906, , 
          4.4,      10.03696, , 
          4.6,      9.960963, , 
          4.8,      9.880593, , 
            5,      9.794493, , 
          5.2,       9.70019, , 
          5.4,       9.59343, , 
          5.6,      9.391689, , 

