Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -2,    0.04022247, ,            -2,    0.04022247, ,            -2,    0.04022247, , 
         -1.8,    0.05041106, ,          -1.8,    0.05041106, ,          -1.8,    0.05041106, , 
         -1.6,    0.06059882, ,          -1.6,    0.06059882, ,          -1.6,    0.06059882, , 
         -1.4,    0.07078536, ,          -1.4,    0.07078536, ,          -1.4,    0.07078536, , 
         -1.2,    0.08097034, ,          -1.2,    0.08097034, ,          -1.2,    0.08097034, , 
           -1,    0.09115336, ,            -1,    0.09115336, ,            -1,    0.09115336, , 
         -0.8,     0.1013341, ,          -0.8,     0.1013341, ,          -0.8,     0.1013341, , 
         -0.6,     0.1115121, ,          -0.6,     0.1115121, ,          -0.6,     0.1115121, , 
         -0.4,     0.1216871, ,          -0.4,     0.1216871, ,          -0.4,     0.1216871, , 
         -0.2,     0.1318586, ,          -0.2,     0.1318586, ,          -0.2,     0.1318586, , 
            0,     0.1420264, ,             0,     0.1420264, ,             0,     0.1420264, , 
          0.2,     0.1521899, ,           0.2,     0.1521899, ,           0.2,     0.1521899, , 
          0.4,      0.162349, ,           0.4,      0.162349, ,           0.4,      0.162349, , 
          0.6,     0.1725032, ,           0.6,     0.1725032, ,           0.6,     0.1725032, , 
          0.8,      0.182652, ,           0.8,      0.182652, ,           0.8,      0.182652, , 
            1,     0.1927953, ,             1,     0.1927953, ,             1,     0.1927953, , 
          1.2,     0.2029326, ,           1.2,     0.2029326, ,           1.2,     0.2029326, , 
          1.4,     0.2130634, ,           1.4,     0.2130634, ,           1.4,     0.2130634, , 
          1.6,     0.2231876, ,           1.6,     0.2231876, ,           1.6,     0.2231876, , 
          1.8,     0.2333047, ,           1.8,     0.2333047, ,           1.8,     0.2333047, , 
            2,     0.2434143, ,             2,     0.2434143, ,             2,     0.2434143, , 
          2.2,      0.253516, ,           2.2,      0.253516, ,           2.2,      0.253516, , 
          2.4,     0.2636096, ,           2.4,     0.2636096, ,           2.4,     0.2636096, , 
          2.6,     0.2736947, ,           2.6,     0.2736947, ,           2.6,     0.2736947, , 
          2.8,     0.2837708, ,           2.8,     0.2837708, ,           2.8,     0.2837708, , 
            3,     0.2938376, ,             3,     0.2938376, ,             3,     0.2938376, , 
          3.2,     0.3038948, ,           3.2,     0.3038948, ,           3.2,     0.3038948, , 
          3.4,      0.313942, ,           3.4,      0.313942, ,           3.4,      0.313942, , 
          3.6,     0.3239789, ,           3.6,     0.3239789, ,           3.6,     0.3239789, , 
          3.8,     0.3340051, ,           3.8,     0.3340051, ,           3.8,     0.3340051, , 
            4,     0.3440201, ,             4,     0.3440201, ,             4,     0.3440201, , 
          4.2,     0.3540238, ,           4.2,     0.3540238, ,           4.2,     0.3540238, , 
          4.4,     0.3640156, ,           4.4,     0.3640156, ,           4.4,     0.3640156, , 
          4.6,     0.3739954, ,           4.6,     0.3739954, ,           4.6,     0.3739954, , 
          4.8,     0.3839626, ,           4.8,     0.3839626, ,           4.8,     0.3839626, , 
            5,      0.393917, ,             5,      0.393917, ,             5,      0.393917, , 
          5.2,     0.4038582, ,           5.2,     0.4038582, ,           5.2,     0.4038582, , 
          5.4,     0.4137859, ,           5.4,     0.4137859, ,           5.4,     0.4137859, , 
          5.6,     0.4236996, ,           5.6,     0.4236996, ,           5.6,     0.4236996, , 
          5.8,     0.4335991, ,           5.8,     0.4335991, ,           5.8,     0.4335991, , 
            6,     0.4434841, ,             6,     0.4434841, ,             6,     0.4434841, , 
          6.2,     0.4533541, ,           6.2,     0.4533541, ,           6.2,     0.4533541, , 
          6.4,     0.4632088, ,           6.4,     0.4632088, ,           6.4,     0.4632088, , 
          6.6,     0.4730479, ,           6.6,     0.4730479, ,           6.6,     0.4730479, , 
          6.8,      0.482871, ,           6.8,      0.482871, ,           6.8,      0.482871, , 
            7,     0.4926779, ,             7,     0.4926779, ,             7,     0.4926779, , 
          7.2,      0.502468, ,           7.2,      0.502468, ,           7.2,      0.502468, , 
          7.4,     0.5122412, ,           7.4,     0.5122412, ,           7.4,     0.5122412, , 
          7.6,     0.5219971, ,           7.6,     0.5219971, ,           7.6,     0.5219971, , 
          7.8,     0.5317354, ,           7.8,     0.5317354, , , , , 
            8,     0.5414556, ,             8,     0.5414556, , , , , 

