Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
            0,     0.6341946, ,             0,     0.6341946, ,             0,     0.6341946, ,             0,     0.6341946, ,             0,     0.6341946, ,             0,     0.6341946, ,             0,     0.6341946, ,             0,     0.6341946, ,             0,     0.6341946, ,             0,     0.6341946, ,             0,     0.6341946, ,             0,     0.6341946, ,             0,     0.6341946, ,             0,     0.6341946, ,             0,     0.6341946, ,             0,     0.6341946, ,             0,     0.6341946, ,             0,     0.6341946, ,             0,     0.6341946, , 
          0.2,      0.634147, ,           0.2,      0.634147, ,           0.2,      0.634147, ,           0.2,      0.634147, ,           0.2,      0.634147, ,           0.2,      0.634147, ,           0.2,      0.634147, ,           0.2,      0.634147, ,           0.2,      0.634147, ,           0.2,      0.634147, ,           0.2,      0.634147, ,           0.2,      0.634147, ,           0.2,      0.634147, ,           0.2,      0.634147, ,           0.2,      0.634147, ,           0.2,      0.634147, ,           0.2,      0.634147, ,           0.2,      0.634147, ,           0.2,      0.634147, , 
          0.4,     0.6340962, ,           0.4,     0.6340962, ,           0.4,     0.6340962, ,           0.4,     0.6340962, ,           0.4,     0.6340962, ,           0.4,     0.6340962, ,           0.4,     0.6340962, ,           0.4,     0.6340962, ,           0.4,     0.6340962, ,           0.4,     0.6340962, ,           0.4,     0.6340962, ,           0.4,     0.6340962, ,           0.4,     0.6340962, ,           0.4,     0.6340962, ,           0.4,     0.6340962, ,           0.4,     0.6340962, ,           0.4,     0.6340962, ,           0.4,     0.6340962, ,           0.4,     0.6340962, , 
          0.6,     0.6340426, ,           0.6,     0.6340426, ,           0.6,     0.6340426, ,           0.6,     0.6340426, ,           0.6,     0.6340426, ,           0.6,     0.6340426, ,           0.6,     0.6340426, ,           0.6,     0.6340426, ,           0.6,     0.6340426, ,           0.6,     0.6340426, ,           0.6,     0.6340426, ,           0.6,     0.6340426, ,           0.6,     0.6340426, ,           0.6,     0.6340426, ,           0.6,     0.6340426, ,           0.6,     0.6340426, ,           0.6,     0.6340426, ,           0.6,     0.6340426, ,           0.6,     0.6340426, , 
          0.8,     0.6339864, ,           0.8,     0.6339864, ,           0.8,     0.6339864, ,           0.8,     0.6339864, ,           0.8,     0.6339864, ,           0.8,     0.6339864, ,           0.8,     0.6339864, ,           0.8,     0.6339864, ,           0.8,     0.6339864, ,           0.8,     0.6339864, ,           0.8,     0.6339864, ,           0.8,     0.6339864, ,           0.8,     0.6339864, ,           0.8,     0.6339864, ,           0.8,     0.6339864, ,           0.8,     0.6339864, ,           0.8,     0.6339864, ,           0.8,     0.6339864, ,           0.8,     0.6339864, , 
            1,     0.6339278, ,             1,     0.6339278, ,             1,     0.6339278, ,             1,     0.6339278, ,             1,     0.6339278, ,             1,     0.6339278, ,             1,     0.6339278, ,             1,     0.6339278, ,             1,     0.6339278, ,             1,     0.6339278, ,             1,     0.6339278, ,             1,     0.6339278, ,             1,     0.6339278, ,             1,     0.6339278, ,             1,     0.6339278, ,             1,     0.6339278, ,             1,     0.6339278, ,             1,     0.6339278, ,             1,     0.6339278, , 
          1.2,      0.633867, ,           1.2,      0.633867, ,           1.2,      0.633867, ,           1.2,      0.633867, ,           1.2,      0.633867, ,           1.2,      0.633867, ,           1.2,      0.633867, ,           1.2,      0.633867, ,           1.2,      0.633867, ,           1.2,      0.633867, ,           1.2,      0.633867, ,           1.2,      0.633867, ,           1.2,      0.633867, ,           1.2,      0.633867, ,           1.2,      0.633867, ,           1.2,      0.633867, ,           1.2,      0.633867, ,           1.2,      0.633867, ,           1.2,      0.633867, , 
          1.4,     0.6338043, ,           1.4,     0.6338043, ,           1.4,     0.6338043, ,           1.4,     0.6338043, ,           1.4,     0.6338043, ,           1.4,     0.6338043, ,           1.4,     0.6338043, ,           1.4,     0.6338043, ,           1.4,     0.6338043, ,           1.4,     0.6338043, ,           1.4,     0.6338043, ,           1.4,     0.6338043, ,           1.4,     0.6338043, ,           1.4,     0.6338043, ,           1.4,     0.6338043, ,           1.4,     0.6338043, ,           1.4,     0.6338043, ,           1.4,     0.6338043, ,           1.4,     0.6338043, , 
          1.6,     0.6337398, ,           1.6,     0.6337398, ,           1.6,     0.6337398, ,           1.6,     0.6337398, ,           1.6,     0.6337398, ,           1.6,     0.6337398, ,           1.6,     0.6337398, ,           1.6,     0.6337398, ,           1.6,     0.6337398, ,           1.6,     0.6337398, ,           1.6,     0.6337398, ,           1.6,     0.6337398, ,           1.6,     0.6337398, ,           1.6,     0.6337398, ,           1.6,     0.6337398, ,           1.6,     0.6337398, ,           1.6,     0.6337398, ,           1.6,     0.6337398, ,           1.6,     0.6337398, , 
          1.8,     0.6336738, ,           1.8,     0.6336738, ,           1.8,     0.6336738, ,           1.8,     0.6336738, ,           1.8,     0.6336738, ,           1.8,     0.6336738, ,           1.8,     0.6336738, ,           1.8,     0.6336738, ,           1.8,     0.6336738, ,           1.8,     0.6336738, ,           1.8,     0.6336738, ,           1.8,     0.6336738, ,           1.8,     0.6336738, ,           1.8,     0.6336738, ,           1.8,     0.6336738, ,           1.8,     0.6336738, ,           1.8,     0.6336738, ,           1.8,     0.6336738, ,           1.8,     0.6336738, , 
            2,     0.6336063, ,             2,     0.6336063, ,             2,     0.6336063, ,             2,     0.6336063, ,             2,     0.6336063, ,             2,     0.6336063, ,             2,     0.6336063, ,             2,     0.6336063, ,             2,     0.6336063, ,             2,     0.6336063, , , , , , , , , , , , , ,             2,     0.6336063, ,             2,     0.6336063, ,             2,     0.6336063, ,             2,     0.6336063, ,             2,     0.6336063, , 
          2.2,     0.6335376, ,           2.2,     0.6335376, ,           2.2,     0.6335376, ,           2.2,     0.6335376, ,           2.2,     0.6335376, ,           2.2,     0.6335376, ,           2.2,     0.6335376, ,           2.2,     0.6335376, ,           2.2,     0.6335376, ,           2.2,     0.6335376, , , , , , , , , , , , , ,           2.2,     0.6335376, ,           2.2,     0.6335376, ,           2.2,     0.6335376, ,           2.2,     0.6335376, ,           2.2,     0.6335376, , 
          2.4,     0.6334677, ,           2.4,     0.6334677, ,           2.4,     0.6334677, ,           2.4,     0.6334677, ,           2.4,     0.6334677, ,           2.4,     0.6334677, ,           2.4,     0.6334677, ,           2.4,     0.6334677, ,           2.4,     0.6334677, , , , , , , , , , , , , , , , ,           2.4,     0.6334677, ,           2.4,     0.6334677, ,           2.4,     0.6334677, ,           2.4,     0.6334677, ,           2.4,     0.6334677, , 
          2.6,     0.6333968, ,           2.6,     0.6333968, ,           2.6,     0.6333968, ,           2.6,     0.6333968, ,           2.6,     0.6333968, ,           2.6,     0.6333968, ,           2.6,     0.6333968, ,           2.6,     0.6333968, ,           2.6,     0.6333968, , , , , , , , , , , , , , , , ,           2.6,     0.6333968, ,           2.6,     0.6333968, ,           2.6,     0.6333968, ,           2.6,     0.6333968, ,           2.6,     0.6333968, , 
          2.8,     0.6333251, ,           2.8,     0.6333251, ,           2.8,     0.6333251, ,           2.8,     0.6333251, ,           2.8,     0.6333251, ,           2.8,     0.6333251, ,           2.8,     0.6333251, ,           2.8,     0.6333251, ,           2.8,     0.6333251, , , , , , , , , , , , , , , , ,           2.8,     0.6333251, ,           2.8,     0.6333251, ,           2.8,     0.6333251, ,           2.8,     0.6333251, ,           2.8,     0.6333251, , 
            3,     0.6332526, ,             3,     0.6332526, ,             3,     0.6332526, ,             3,     0.6332526, ,             3,     0.6332526, ,             3,     0.6332526, ,             3,     0.6332526, ,             3,     0.6332526, ,             3,     0.6332526, , , , , , , , , , , , , , , , ,             3,     0.6332526, ,             3,     0.6332526, ,             3,     0.6332526, ,             3,     0.6332526, ,             3,     0.6332526, , 

