Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -2,      4.520059, ,            -2,       4.45446, ,            -2,      4.966408, ,            -2,      4.415178, ,            -2,      4.393723, ,            -2,      4.388412, ,            -2,      4.332775, ,            -2,      4.278327, ,            -2,       4.26062, ,            -2,      4.869999, ,            -2,      4.747011, ,            -2,      4.602506, ,            -2,      4.585801, , 
         -1.8,      4.395072, ,          -1.8,      4.330684, ,          -1.8,      4.836662, ,          -1.8,      4.292695, ,          -1.8,      4.259372, ,          -1.8,      4.252095, ,          -1.8,      4.186418, ,          -1.8,      4.131508, ,          -1.8,      4.113757, ,          -1.8,      4.741184, ,          -1.8,      4.619853, ,          -1.8,      4.476799, ,          -1.8,      4.460189, , 
         -1.6,      4.278316, ,          -1.6,      4.214807, ,          -1.6,      4.716596, ,          -1.6,      4.177853, ,          -1.6,      4.131414, ,          -1.6,      4.121761, ,          -1.6,      4.047008, ,          -1.6,      3.992176, ,          -1.6,      3.974917, ,          -1.6,      4.621788, ,          -1.6,      4.501579, ,          -1.6,      4.359639, ,          -1.6,      4.343047, , 
         -1.4,      4.169159, ,          -1.4,      4.106203, ,          -1.4,      4.605046, ,          -1.4,      4.067615, ,          -1.4,      4.007705, ,          -1.4,      3.995821, ,          -1.4,      3.916663, ,          -1.4,      3.860333, ,          -1.4,      3.843479, ,          -1.4,      4.510794, ,          -1.4,      4.391357, ,          -1.4,      4.250333, ,          -1.4,       4.23374, , 
         -1.2,         4.067, ,          -1.2,      4.004055, ,          -1.2,      4.501265, ,          -1.2,      3.957834, ,          -1.2,      3.889932, ,          -1.2,      3.876634, ,          -1.2,      3.794663, ,          -1.2,      3.737047, ,          -1.2,      3.720544, ,          -1.2,      4.407484, ,          -1.2,      4.288595, ,          -1.2,      4.148238, ,          -1.2,      4.131648, , 
           -1,      3.971439, ,            -1,       3.90757, ,            -1,      4.405937, ,            -1,      3.851503, ,            -1,      3.774867, ,            -1,      3.761168, ,            -1,      3.678939, ,            -1,      3.621661, ,            -1,      3.605493, ,            -1,      4.312205, ,            -1,      4.193015, ,            -1,      4.052821, ,            -1,      4.036234, , 
         -0.8,      3.882035, ,          -0.8,      3.815926, ,          -0.8,        4.3161, ,          -0.8,      3.747797, ,          -0.8,       3.66555, ,          -0.8,      3.652122, ,          -0.8,      3.569693, ,          -0.8,      3.513455, ,          -0.8,      3.497687, ,          -0.8,      4.222673, ,          -0.8,      4.103621, ,          -0.8,       3.96355, ,          -0.8,      3.946936, , 
         -0.6,      3.798318, ,          -0.6,      3.726694, ,          -0.6,      4.232468, ,          -0.6,      3.647815, ,          -0.6,      3.563035, ,          -0.6,      3.549866, ,          -0.6,      3.467259, ,          -0.6,      3.411954, ,          -0.6,       3.39653, ,          -0.6,      4.139281, ,          -0.6,      4.020195, ,          -0.6,      3.879997, ,          -0.6,      3.863314, , 
         -0.4,      3.719817, ,          -0.4,      3.641173, ,          -0.4,      4.154678, ,          -0.4,       3.55172, ,          -0.4,      3.466833, ,          -0.4,       3.45391, ,          -0.4,      3.371096, ,          -0.4,      3.316734, ,          -0.4,      3.301623, ,          -0.4,      4.061619, ,          -0.4,      3.942288, ,          -0.4,       3.80157, ,          -0.4,      3.784894, , 
         -0.2,      3.646066, ,          -0.2,      3.559751, ,          -0.2,      4.083688, ,          -0.2,      3.464915, ,          -0.2,       3.38146, ,          -0.2,      3.368609, ,          -0.2,         3.286, ,          -0.2,      3.232544, ,          -0.2,      3.217675, ,          -0.2,      3.990354, ,          -0.2,      3.869889, ,          -0.2,      3.727843, ,          -0.2,       3.71111, , 
