Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -2,     0.3758495, ,            -2,     0.3758495, ,            -2,     0.3758495, ,            -2,     0.3758495, ,            -2,     0.3758495, ,            -2,     0.3758495, ,            -2,     0.3758495, ,            -2,     0.3758495, ,            -2,     0.3758495, ,            -2,     0.3758495, ,            -2,     0.3758495, ,            -2,     0.3758495, ,            -2,     0.3758495, , 
         -1.8,     0.3844925, ,          -1.8,     0.3844925, ,          -1.8,     0.3844925, ,          -1.8,     0.3844925, ,          -1.8,     0.3844925, ,          -1.8,     0.3844925, ,          -1.8,     0.3844925, ,          -1.8,     0.3844925, ,          -1.8,     0.3844925, ,          -1.8,     0.3844925, ,          -1.8,     0.3844925, ,          -1.8,     0.3844925, ,          -1.8,     0.3844925, , 
         -1.6,     0.3931232, ,          -1.6,     0.3931232, ,          -1.6,     0.3931232, ,          -1.6,     0.3931232, ,          -1.6,     0.3931232, ,          -1.6,     0.3931232, ,          -1.6,     0.3931232, ,          -1.6,     0.3931232, ,          -1.6,     0.3931232, ,          -1.6,     0.3931232, ,          -1.6,     0.3931232, ,          -1.6,     0.3931232, ,          -1.6,     0.3931232, , 
         -1.4,     0.4017412, ,          -1.4,     0.4017412, ,          -1.4,     0.4017412, ,          -1.4,     0.4017412, ,          -1.4,     0.4017412, ,          -1.4,     0.4017412, ,          -1.4,     0.4017412, ,          -1.4,     0.4017412, ,          -1.4,     0.4017412, ,          -1.4,     0.4017412, ,          -1.4,     0.4017412, ,          -1.4,     0.4017412, ,          -1.4,     0.4017412, , 
         -1.2,     0.4103463, ,          -1.2,     0.4103463, ,          -1.2,     0.4103463, ,          -1.2,     0.4103463, ,          -1.2,     0.4103463, ,          -1.2,     0.4103463, ,          -1.2,     0.4103463, ,          -1.2,     0.4103463, ,          -1.2,     0.4103463, ,          -1.2,     0.4103463, ,          -1.2,     0.4103463, ,          -1.2,     0.4103463, ,          -1.2,     0.4103463, , 
           -1,      0.418938, ,            -1,      0.418938, ,            -1,      0.418938, ,            -1,      0.418938, ,            -1,      0.418938, ,            -1,      0.418938, ,            -1,      0.418938, ,            -1,      0.418938, ,            -1,      0.418938, ,            -1,      0.418938, ,            -1,      0.418938, ,            -1,      0.418938, ,            -1,      0.418938, , 
         -0.8,      0.427516, ,          -0.8,      0.427516, ,          -0.8,      0.427516, ,          -0.8,      0.427516, ,          -0.8,      0.427516, ,          -0.8,      0.427516, ,          -0.8,      0.427516, ,          -0.8,      0.427516, ,          -0.8,      0.427516, ,          -0.8,      0.427516, ,          -0.8,      0.427516, ,          -0.8,      0.427516, ,          -0.8,      0.427516, , 
         -0.6,     0.4360801, ,          -0.6,     0.4360801, ,          -0.6,     0.4360801, ,          -0.6,     0.4360801, ,          -0.6,     0.4360801, ,          -0.6,     0.4360801, ,          -0.6,     0.4360801, ,          -0.6,     0.4360801, ,          -0.6,     0.4360801, ,          -0.6,     0.4360801, ,          -0.6,     0.4360801, ,          -0.6,     0.4360801, ,          -0.6,     0.4360801, , 
         -0.4,     0.4446299, ,          -0.4,     0.4446299, ,          -0.4,     0.4446299, ,          -0.4,     0.4446299, ,          -0.4,     0.4446299, ,          -0.4,     0.4446299, ,          -0.4,     0.4446299, ,          -0.4,     0.4446299, ,          -0.4,     0.4446299, ,          -0.4,     0.4446299, ,          -0.4,     0.4446299, ,          -0.4,     0.4446299, ,          -0.4,     0.4446299, , 
         -0.2,      0.453165, ,          -0.2,      0.453165, ,          -0.2,      0.453165, ,          -0.2,      0.453165, ,          -0.2,      0.453165, ,          -0.2,      0.453165, ,          -0.2,      0.453165, ,          -0.2,      0.453165, ,          -0.2,      0.453165, ,          -0.2,      0.453165, ,          -0.2,      0.453165, ,          -0.2,      0.453165, ,          -0.2,      0.453165, , 
            0,     0.4616853, ,             0,     0.4616853, ,             0,     0.4616853, ,             0,     0.4616853, ,             0,     0.4616853, ,             0,     0.4616853, ,             0,     0.4616853, ,             0,     0.4616853, ,             0,     0.4616853, ,             0,     0.4616853, ,             0,     0.4616853, ,             0,     0.4616853, ,             0,     0.4616853, , 
          0.2,     0.4701903, ,           0.2,     0.4701903, ,           0.2,     0.4701903, ,           0.2,     0.4701903, ,           0.2,     0.4701903, ,           0.2,     0.4701903, ,           0.2,     0.4701903, ,           0.2,     0.4701903, ,           0.2,     0.4701903, ,           0.2,     0.4701903, ,           0.2,     0.4701903, ,           0.2,     0.4701903, ,           0.2,     0.4701903, , 
          0.4,     0.4786797, ,           0.4,     0.4786797, ,           0.4,     0.4786797, ,           0.4,     0.4786797, ,           0.4,     0.4786797, ,           0.4,     0.4786797, ,           0.4,     0.4786797, ,           0.4,     0.4786797, ,           0.4,     0.4786797, ,           0.4,     0.4786797, ,           0.4,     0.4786797, ,           0.4,     0.4786797, ,           0.4,     0.4786797, , 
          0.6,     0.4871532, ,           0.6,     0.4871532, ,           0.6,     0.4871532, ,           0.6,     0.4871532, ,           0.6,     0.4871532, ,           0.6,     0.4871532, ,           0.6,     0.4871532, ,           0.6,     0.4871532, ,           0.6,     0.4871532, ,           0.6,     0.4871532, ,           0.6,     0.4871532, ,           0.6,     0.4871532, ,           0.6,     0.4871532, , 
          0.8,     0.4956105, ,           0.8,     0.4956105, ,           0.8,     0.4956105, ,           0.8,     0.4956105, ,           0.8,     0.4956105, ,           0.8,     0.4956105, ,           0.8,     0.4956105, ,           0.8,     0.4956105, ,           0.8,     0.4956105, ,           0.8,     0.4956105, ,           0.8,     0.4956105, ,           0.8,     0.4956105, ,           0.8,     0.4956105, , 
            1,     0.5040513, ,             1,     0.5040513, ,             1,     0.5040513, ,             1,     0.5040513, ,             1,     0.5040513, ,             1,     0.5040513, ,             1,     0.5040513, ,             1,     0.5040513, ,             1,     0.5040513, ,             1,     0.5040513, ,             1,     0.5040513, ,             1,     0.5040513, ,             1,     0.5040513, , 
          1.2,     0.5124753, ,           1.2,     0.5124753, ,           1.2,     0.5124753, ,           1.2,     0.5124753, ,           1.2,     0.5124753, ,           1.2,     0.5124753, ,           1.2,     0.5124753, ,           1.2,     0.5124753, ,           1.2,     0.5124753, ,           1.2,     0.5124753, ,           1.2,     0.5124753, ,           1.2,     0.5124753, ,           1.2,     0.5124753, , 
          1.4,     0.5208822, ,           1.4,     0.5208822, ,           1.4,     0.5208822, ,           1.4,     0.5208822, ,           1.4,     0.5208822, ,           1.4,     0.5208822, ,           1.4,     0.5208822, ,           1.4,     0.5208822, ,           1.4,     0.5208822, ,           1.4,     0.5208822, ,           1.4,     0.5208822, ,           1.4,     0.5208822, ,           1.4,     0.5208822, , 
          1.6,     0.5292716, ,           1.6,     0.5292716, ,           1.6,     0.5292716, ,           1.6,     0.5292716, ,           1.6,     0.5292716, ,           1.6,     0.5292716, ,           1.6,     0.5292716, ,           1.6,     0.5292716, ,           1.6,     0.5292716, ,           1.6,     0.5292716, ,           1.6,     0.5292716, ,           1.6,     0.5292716, ,           1.6,     0.5292716, , 
          1.8,     0.5376433, ,           1.8,     0.5376433, ,           1.8,     0.5376433, ,           1.8,     0.5376433, ,           1.8,     0.5376433, ,           1.8,     0.5376433, ,           1.8,     0.5376433, ,           1.8,     0.5376433, ,           1.8,     0.5376433, ,           1.8,     0.5376433, ,           1.8,     0.5376433, ,           1.8,     0.5376433, ,           1.8,     0.5376433, , 
            2,     0.5459969, ,             2,     0.5459969, ,             2,     0.5459969, ,             2,     0.5459969, ,             2,     0.5459969, ,             2,     0.5459969, ,             2,     0.5459969, ,             2,     0.5459969, ,             2,     0.5459969, ,             2,     0.5459969, ,             2,     0.5459969, ,             2,     0.5459969, ,             2,     0.5459969, , 
          2.2,     0.5543321, ,           2.2,     0.5543321, ,           2.2,     0.5543321, ,           2.2,     0.5543321, ,           2.2,     0.5543321, ,           2.2,     0.5543321, ,           2.2,     0.5543321, ,           2.2,     0.5543321, ,           2.2,     0.5543321, ,           2.2,     0.5543321, ,           2.2,     0.5543321, ,           2.2,     0.5543321, ,           2.2,     0.5543321, , 
