Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -2,     0.9448605, ,            -2,     0.8828617, ,            -2,      1.261049, ,            -2,     0.8419161, ,            -2,     0.8170695, ,            -2,     0.8133093, ,            -2,     0.7954388, ,            -2,     0.7879653, ,            -2,     0.7846005, ,            -2,      1.210649, ,            -2,      1.138842, ,            -2,      1.029587, ,            -2,      1.012559, , 
         -1.8,     0.9098563, ,          -1.8,     0.8492206, ,          -1.8,      1.226193, ,          -1.8,     0.8109376, ,          -1.8,      0.790459, ,          -1.8,     0.7873364, ,          -1.8,     0.7725781, ,          -1.8,     0.7666942, ,          -1.8,     0.7634804, ,          -1.8,        1.1768, ,          -1.8,      1.106058, ,          -1.8,     0.9960135, ,          -1.8,      0.978478, , 
         -1.6,     0.8814894, ,          -1.6,     0.8216003, ,          -1.6,       1.19438, ,          -1.6,     0.7857964, ,          -1.6,      0.768683, ,          -1.6,     0.7655295, ,          -1.6,     0.7525101, ,          -1.6,     0.7471058, ,          -1.6,      0.744757, ,          -1.6,      1.146054, ,          -1.6,      1.076625, ,          -1.6,     0.9675858, ,          -1.6,      0.950054, , 
         -1.4,     0.8585716, ,          -1.4,     0.7991389, ,          -1.4,      1.165281, ,          -1.4,     0.7663184, ,          -1.4,     0.7507411, ,          -1.4,     0.7475436, ,          -1.4,     0.7366498, ,          -1.4,     0.7318579, ,          -1.4,     0.7294071, ,          -1.4,      1.118029, ,          -1.4,      1.050002, ,          -1.4,     0.9431559, ,          -1.4,      0.926078, , 
         -1.2,     0.8394877, ,          -1.2,      0.780961, ,          -1.2,      1.138651, ,          -1.2,     0.7480244, ,          -1.2,     0.7344343, ,          -1.2,     0.7319743, ,          -1.2,     0.7207232, ,          -1.2,      0.716452, ,          -1.2,     0.7142525, ,          -1.2,      1.092423, ,          -1.2,      1.025845, ,          -1.2,      0.921859, ,          -1.2,     0.9054124, , 
           -1,     0.8234747, ,            -1,     0.7653326, ,            -1,      1.114251, ,            -1,     0.7341059, ,            -1,     0.7212207, ,            -1,     0.7189008, ,            -1,     0.7082439, ,            -1,      0.704188, ,            -1,     0.7020391, ,            -1,      1.069003, ,            -1,      1.003837, ,            -1,     0.9027019, ,            -1,     0.8868487, , 
         -0.8,      0.809346, ,          -0.8,     0.7532443, ,          -0.8,      1.091898, ,          -0.8,      0.722531, ,          -0.8,     0.7101584, ,          -0.8,     0.7080368, ,          -0.8,       0.69832, ,          -0.8,     0.6944069, ,          -0.8,      0.692514, ,          -0.8,      1.047586, ,          -0.8,     0.9837516, ,          -0.8,     0.8852865, ,          -0.8,     0.8699902, , 
         -0.6,     0.7966946, ,          -0.6,     0.7430201, ,          -0.6,      1.071361, ,          -0.6,     0.7132184, ,          -0.6,      0.701136, ,          -0.6,     0.6990757, ,          -0.6,     0.6897565, ,          -0.6,     0.6860088, ,          -0.6,      0.684162, ,          -0.6,      1.027923, ,          -0.6,     0.9653895, ,          -0.6,      0.869368, ,          -0.6,      0.854598, , 
         -0.4,     0.7853585, ,          -0.4,      0.734271, ,          -0.4,      1.052538, ,          -0.4,     0.7054251, ,          -0.4,     0.6935844, ,          -0.4,     0.6915592, ,          -0.4,     0.6825377, ,          -0.4,     0.6790613, ,          -0.4,     0.6773603, ,          -0.4,      1.009924, ,          -0.4,     0.9486383, ,          -0.4,      0.854839, ,          -0.4,     0.8405486, , 
         -0.2,     0.7751825, ,          -0.2,      0.726597, ,          -0.2,      1.035274, ,          -0.2,     0.6989129, ,          -0.2,     0.6874299, ,          -0.2,     0.6854535, ,          -0.2,     0.6765202, ,          -0.2,      0.673049, ,          -0.2,     0.6713454, ,          -0.2,     0.9934239, ,          -0.2,     0.9332792, ,          -0.2,     0.8415871, ,          -0.2,     0.8277636, , 
            0,      0.766089, ,             0,     0.7198028, ,             0,      1.019444, ,             0,     0.6932883, ,             0,     0.6822511, ,             0,      0.680345, ,             0,     0.6717375, ,             0,     0.6683553, ,             0,     0.6666907, ,             0,     0.9782917, ,             0,     0.9192327, ,             0,     0.8295137, ,             0,     0.8161749, , 
          0.2,     0.7582228, ,           0.2,     0.7138186, ,           0.2,      1.009012, ,           0.2,     0.6884243, ,           0.2,     0.6778666, ,           0.2,     0.6759682, ,           0.2,      0.667544, ,           0.2,     0.6642708, ,           0.2,     0.6626631, ,           0.2,     0.9702025, ,           0.2,      0.911852, ,           0.2,     0.8191479, ,           0.2,     0.8064663, , 
          0.4,      0.750999, ,           0.4,     0.7085001, ,           0.4,     0.9957255, ,           0.4,     0.6840846, ,           0.4,     0.6739042, ,           0.4,     0.6720802, ,           0.4,      0.663958, ,           0.4,     0.6607992, ,           0.4,     0.6592453, ,           0.4,     0.9575219, ,           0.4,     0.9001614, ,           0.4,     0.8093052, ,           0.4,     0.7970963, , 
          0.6,     0.7445679, ,           0.6,     0.7038063, ,           0.6,     0.9835894, ,           0.6,     0.6802879, ,           0.6,     0.6704463, ,           0.6,     0.6686842, ,           0.6,     0.6608334, ,           0.6,     0.6577828, ,           0.6,     0.6562818, ,           0.6,     0.9459595, ,           0.6,     0.8895021, ,           0.6,     0.8004625, ,           0.6,     0.7887444, , 
          0.8,     0.7388809, ,           0.8,     0.6996751, ,           0.8,     0.9725047, ,           0.8,     0.6769659, ,           0.8,     0.6674625, ,           0.8,     0.6657619, ,           0.8,     0.6581632, ,           0.8,     0.6552051, ,           0.8,     0.6537506, ,           0.8,     0.9354107, ,           0.8,     0.8797887, ,           0.8,     0.7925562, ,           0.8,     0.7813002, , 
            1,     0.7338359, ,             1,     0.6960493, ,             1,     0.9623855, ,             1,     0.6740911, ,             1,     0.6649224, ,             1,     0.6632882, ,             1,     0.6559673, ,             1,     0.6530963, ,             1,      0.651686, ,             1,     0.9257848, ,             1,     0.8709411, ,             1,     0.7855081, ,             1,     0.7746958, , 
          1.2,     0.7293985, ,           1.2,     0.6928789, ,           1.2,     0.9531806, ,           1.2,       0.67162, ,           1.2,     0.6627221, ,           1.2,     0.6611308, ,           1.2,      0.653996, ,           1.2,     0.6512262, ,           1.2,     0.6498652, ,           1.2,     0.9170372, ,           1.2,     0.8629327, ,           1.2,     0.7792472, ,           1.2,     0.7688464, , 
          1.4,     0.7258082, ,           1.4,     0.6901056, ,           1.4,     0.9526569, ,           1.4,     0.6694978, ,           1.4,     0.6608658, ,           1.4,     0.6593228, ,           1.4,     0.6523852, ,           1.4,     0.6496781, ,           1.4,     0.6483457, ,           1.4,     0.9129117, ,           1.4,     0.8568649, ,           1.4,     0.7744393, ,           1.4,     0.7644083, , 
