Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -2,      14.10487, ,            -2,      15.09538, ,            -2,       10.5683, ,            -2,      15.82953, ,            -2,       16.3109, ,            -2,      16.38631, ,            -2,      16.75445, ,            -2,      16.91336, ,            -2,      16.98589, ,            -2,      11.00826, ,            -2,      11.70236, ,            -2,      12.94416, ,            -2,      13.16183, , 
         -1.8,      14.46257, ,          -1.8,      15.49523, ,          -1.8,      10.73148, ,          -1.8,      16.22673, ,          -1.8,      16.64712, ,          -1.8,      16.71314, ,          -1.8,      17.03241, ,          -1.8,      17.16312, ,          -1.8,      17.23537, ,          -1.8,       11.1819, ,          -1.8,      11.89708, ,          -1.8,      13.21153, ,          -1.8,       13.4483, , 
         -1.6,       14.7443, ,          -1.6,      15.81906, ,          -1.6,      10.88175, ,          -1.6,      16.53983, ,          -1.6,      16.90807, ,          -1.6,      16.97772, ,          -1.6,      17.27145, ,          -1.6,      17.39639, ,          -1.6,      17.45125, ,          -1.6,       11.3406, ,          -1.6,      12.07193, ,          -1.6,      13.43234, ,          -1.6,      13.68022, , 
         -1.4,      14.95622, ,          -1.4,      16.06853, ,          -1.4,      11.01965, ,          -1.4,      16.75673, ,          -1.4,      17.10442, ,          -1.4,      17.17758, ,          -1.4,       17.4316, ,          -1.4,      17.54574, ,          -1.4,      17.60469, ,          -1.4,      11.48538, ,          -1.4,      12.22949, ,          -1.4,      13.61492, ,          -1.4,      13.86599, , 
         -1.2,      15.11714, ,          -1.2,      16.25004, ,          -1.2,      11.14533, ,          -1.2,      16.96556, ,          -1.2,      17.27949, ,          -1.2,      17.33756, ,          -1.2,      17.60822, ,          -1.2,      17.71319, ,          -1.2,      17.76774, ,          -1.2,      11.61697, ,          -1.2,      12.37093, ,          -1.2,      13.76637, ,          -1.2,      14.01643, , 
           -1,      15.23496, ,            -1,      16.39235, ,            -1,      11.25922, ,            -1,      17.08964, ,            -1,      17.39496, ,            -1,      17.45109, ,            -1,      17.71367, ,            -1,       17.8157, ,            -1,      17.87023, ,            -1,       11.7358, ,            -1,      12.49765, ,            -1,      13.89784, ,            -1,      14.14627, , 
         -0.8,      15.32787, ,          -0.8,      16.46949, ,          -0.8,      11.36146, ,          -0.8,      17.16957, ,          -0.8,      17.46871, ,          -0.8,      17.52105, ,          -0.8,      17.76485, ,          -0.8,      17.86496, ,          -0.8,      17.91379, ,          -0.8,      11.84203, ,          -0.8,      12.61045, ,          -0.8,      14.01303, ,          -0.8,      14.25941, , 
         -0.6,       15.4014, ,          -0.6,      16.51397, ,          -0.6,      11.45292, ,          -0.6,      17.20401, ,          -0.6,      17.50048, ,          -0.6,      17.55205, ,          -0.6,       17.7892, ,          -0.6,      17.88638, ,          -0.6,      17.93466, ,          -0.6,       11.9369, ,          -0.6,      12.71012, ,          -0.6,      14.11395, ,          -0.6,      14.35788, , 
         -0.4,      15.45707, ,          -0.4,      16.53251, ,          -0.4,       11.5334, ,          -0.4,      17.20855, ,          -0.4,      17.50233, ,          -0.4,      17.55359, ,          -0.4,       17.7856, ,          -0.4,      17.87665, ,          -0.4,      17.92154, ,          -0.4,      12.02006, ,          -0.4,       12.7966, ,          -0.4,      14.20074, ,          -0.4,      14.44217, , 
         -0.2,      15.49661, ,          -0.2,      16.53283, ,          -0.2,      11.60341, ,          -0.2,      17.18769, ,          -0.2,       17.4748, ,          -0.2,      17.52519, ,          -0.2,       17.7566, ,          -0.2,      17.84818, ,          -0.2,      17.89347, ,          -0.2,      12.09222, ,          -0.2,       12.8715, ,          -0.2,      14.27387, ,          -0.2,      14.51224, , 
            0,      15.52048, ,             0,      16.51851, ,             0,      11.66329, ,             0,      17.15026, ,             0,       17.4277, ,             0,      17.47653, ,             0,      17.70047, ,             0,      17.79005, ,             0,      17.83446, ,             0,      12.15391, ,             0,      12.93478, ,             0,      14.33378, ,             0,      14.56804, , 
          0.2,      15.52479, ,           0.2,      16.49053, ,           0.2,      11.66611, ,           0.2,      17.09883, ,           0.2,      17.36514, ,           0.2,      17.41391, ,           0.2,      17.63367, ,           0.2,      17.72056, ,           0.2,      17.76355, ,           0.2,      12.13277, ,           0.2,      12.90917, ,           0.2,      14.37011, ,           0.2,      14.59608, , 
          0.4,      15.52072, ,           0.4,      16.45172, ,           0.4,      11.70608, ,           0.4,       17.0389, ,           0.4,      17.29629, ,           0.4,      17.34324, ,           0.4,       17.5554, ,           0.4,      17.63932, ,           0.4,      17.68089, ,           0.4,      12.17314, ,           0.4,      12.94884, ,           0.4,      14.40253, ,           0.4,      14.62313, , 
          0.6,      15.50468, ,           0.6,      16.40265, ,           0.6,       11.7369, ,           0.6,      16.96971, ,           0.6,      17.21881, ,           0.6,      17.26418, ,           0.6,      17.46928, ,           0.6,       17.5503, ,           0.6,      17.59044, ,           0.6,      12.20378, ,           0.6,      12.97837, ,           0.6,      14.42202, ,           0.6,      14.63628, , 
          0.8,       15.4772, ,           0.8,      16.34445, ,           0.8,      11.75913, ,           0.8,      16.89273, ,           0.8,      17.13326, ,           0.8,      17.17702, ,           0.8,      17.37533, ,           0.8,      17.45378, ,           0.8,      17.49261, ,           0.8,      12.22544, ,           0.8,      12.99835, ,           0.8,      14.42902, ,           0.8,      14.63689, , 
            1,      15.44004, ,             1,      16.27823, ,             1,       11.7733, ,             1,      16.80849, ,             1,      17.04026, ,             1,      17.08225, ,             1,      17.27289, ,             1,      17.34882, ,             1,      17.38637, ,             1,      12.23875, ,             1,      13.00944, ,             1,      14.42436, ,             1,      14.62568, , 
          1.2,      15.39362, ,           1.2,      16.20497, ,           1.2,       11.7796, ,           1.2,      16.71791, ,           1.2,      16.94237, ,           1.2,      16.98315, ,           1.2,      17.16843, ,           1.2,      17.24145, ,           1.2,      17.27756, ,           1.2,      12.24387, ,           1.2,      13.01154, ,           1.2,      14.40888, ,           1.2,      14.60381, , 
          1.4,      15.33265, ,           1.4,      16.12588, ,           1.4,      11.68161, ,           1.4,      16.62225, ,           1.4,      16.83937, ,           1.4,      16.87878, ,           1.4,      17.05827, ,           1.4,      17.12935, ,           1.4,      17.16455, ,           1.4,      12.19018, ,           1.4,      12.98753, ,           1.4,      14.36983, ,           1.4,       14.5584, , 
