Alpha,T1-10.0 m/s-VLM2, , Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.2 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-21.5 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.3 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-29.3 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-5.2 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -2,      10.08661, ,            -2,      10.19133, ,            -2,       10.3606, ,            -2,      10.66187, ,            -2,      10.98389, ,            -2,      8.235072, ,            -2,      8.375846, ,            -2,      8.571106, ,            -2,      11.22261, ,            -2,      11.38014, ,            -2,       11.6955, ,            -2,      11.76494, ,            -2,      11.91296, ,            -2,       12.0876, ,            -2,      12.17633, ,            -2,      12.45464, ,            -2,       12.4581, ,            -2,      12.46119, ,            -2,      12.47915, ,            -2,      8.850389, ,            -2,      9.250044, ,            -2,      9.372236, ,            -2,      9.615376, ,            -2,      9.804116, ,            -2,      9.876328, , 
         -1.8,      10.36892, ,          -1.8,      10.49556, ,          -1.8,      10.67985, ,          -1.8,      11.00274, ,          -1.8,      11.34567, ,          -1.8,      8.355397, ,          -1.8,      8.499654, ,          -1.8,      8.701564, ,          -1.8,      11.59474, ,          -1.8,      11.75997, ,          -1.8,      12.07698, ,          -1.8,      12.14129, ,          -1.8,      12.27826, ,          -1.8,      12.44038, ,          -1.8,      12.52125, ,          -1.8,      12.65392, ,          -1.8,      12.72201, ,          -1.8,      12.76364, ,          -1.8,       12.7787, ,          -1.8,      8.992496, ,          -1.8,       9.41637, ,          -1.8,      9.547865, ,          -1.8,      9.814929, ,          -1.8,      10.02894, ,          -1.8,      10.11328, , 
         -1.6,      10.65224, ,          -1.6,       10.8015, ,          -1.6,      11.00346, ,          -1.6,      11.34381, ,          -1.6,      11.70783, ,          -1.6,       8.46665, ,          -1.6,      8.614106, ,          -1.6,      8.821587, ,          -1.6,      11.96724, ,          -1.6,      12.13523, ,          -1.6,      12.40291, ,          -1.6,       12.4602, ,          -1.6,      12.59183, ,          -1.6,       12.7571, ,          -1.6,      12.83193, ,          -1.6,      12.97952, ,          -1.6,      13.02522, ,          -1.6,       13.0533, ,          -1.6,      13.06868, ,          -1.6,      9.122905, ,          -1.6,      9.569227, ,          -1.6,      9.709998, ,          -1.6,      10.00178, ,          -1.6,      10.24521, ,          -1.6,      10.34445, , 
         -1.4,      10.91639, ,          -1.4,      11.08577, ,          -1.4,        11.289, ,          -1.4,      11.64741, ,          -1.4,      12.02968, ,          -1.4,      8.569641, ,          -1.4,      8.719311, ,          -1.4,      8.931524, ,          -1.4,      12.23337, ,          -1.4,      12.36414, ,          -1.4,      12.60369, ,          -1.4,      12.65109, ,          -1.4,      12.75958, ,          -1.4,      12.89797, ,          -1.4,      12.95807, ,          -1.4,      13.06729, ,          -1.4,      13.12238, ,          -1.4,       13.1534, ,          -1.4,      13.17131, ,          -1.4,      9.241526, ,          -1.4,      9.707512, ,          -1.4,      9.856686, ,          -1.4,      10.17176, ,          -1.4,      10.44636, ,          -1.4,      10.56185, , 
         -1.2,      11.14808, ,          -1.2,      11.33112, ,          -1.2,      11.56078, ,          -1.2,      11.94752, ,          -1.2,      12.28977, ,          -1.2,        8.6634, ,          -1.2,      8.815455, ,          -1.2,      9.031661, ,          -1.2,      12.49331, ,          -1.2,      12.61612, ,          -1.2,      12.84308, ,          -1.2,      12.88739, ,          -1.2,      12.98438, ,          -1.2,      13.10718, ,          -1.2,      13.16239, ,          -1.2,      13.25793, ,          -1.2,      13.30937, ,          -1.2,      13.34064, ,          -1.2,      13.36029, ,          -1.2,      9.348855, ,          -1.2,      9.831262, ,          -1.2,      9.987583, ,          -1.2,      10.32301, ,          -1.2,      10.62539, ,          -1.2,      10.75548, , 
           -1,      11.35615, ,            -1,      11.54193, ,            -1,      11.78068, ,            -1,      12.18738, ,            -1,      12.54621, ,            -1,      8.748888, ,            -1,      8.902856, ,            -1,      9.122225, ,            -1,      12.71685, ,            -1,       12.8239, ,            -1,      13.03268, ,            -1,      13.07737, ,            -1,       13.1736, ,            -1,      13.27458, ,            -1,      13.31714, ,            -1,      13.41727, ,            -1,      13.45962, ,            -1,      13.48623, ,            -1,      13.50156, ,            -1,      9.445344, ,            -1,      9.941092, ,            -1,      10.10319, ,            -1,      10.45547, ,            -1,      10.78032, ,            -1,      10.92163, , 
         -0.8,      11.51519, ,          -0.8,      11.70968, ,          -0.8,      11.95619, ,          -0.8,      12.36027, ,          -0.8,      12.69123, ,          -0.8,      8.826385, ,          -0.8,      8.981766, ,          -0.8,      9.203757, ,          -0.8,      12.87066, ,          -0.8,      12.98545, ,          -0.8,      13.17595, ,          -0.8,      13.22054, ,          -0.8,      13.31742, ,          -0.8,      13.40829, ,          -0.8,       13.4434, ,          -0.8,      13.53317, ,          -0.8,      13.57168, ,          -0.8,      13.59575, ,          -0.8,       13.6113, ,          -0.8,      9.531289, ,          -0.8,      10.03752, ,          -0.8,      10.20411, ,          -0.8,      10.56944, ,          -0.8,      10.91189, ,          -0.8,      11.06102, , 
         -0.6,      11.64488, ,          -0.6,      11.84203, ,          -0.6,      12.09387, ,          -0.6,      12.53082, ,          -0.6,      12.87375, ,          -0.6,      8.896141, ,          -0.6,      9.052642, ,          -0.6,      9.276684, ,          -0.6,      13.02389, ,          -0.6,       13.1164, ,          -0.6,      13.28072, ,          -0.6,      13.32399, ,          -0.6,       13.4173, ,          -0.6,      13.50541, ,          -0.6,      13.54085, ,          -0.6,      13.62456, ,          -0.6,      13.65944, ,          -0.6,         13.68, ,          -0.6,      13.69261, ,          -0.6,      9.607613, ,          -0.6,      10.12169, ,          -0.6,      10.29175, ,          -0.6,      10.66724, ,          -0.6,      11.02295, ,          -0.6,      11.17801, , 
         -0.4,      11.74845, ,          -0.4,      11.94714, ,          -0.4,      12.20143, ,          -0.4,      12.63341, ,          -0.4,      12.96827, ,          -0.4,      8.958179, ,          -0.4,      9.115728, ,          -0.4,      9.341366, ,          -0.4,      13.10198, ,          -0.4,      13.18821, ,          -0.4,      13.34201, ,          -0.4,      13.38176, ,          -0.4,      13.46435, ,          -0.4,      13.54101, ,          -0.4,      13.57376, ,          -0.4,      13.65783, ,          -0.4,      13.69826, ,          -0.4,      13.72217, ,          -0.4,      13.73494, ,          -0.4,      9.674803, ,          -0.4,      10.19434, ,          -0.4,      10.36696, ,          -0.4,      10.75017, ,          -0.4,      11.11508, ,          -0.4,      11.27344, , 
         -0.2,       11.8257, ,          -0.2,      12.02571, ,          -0.2,       12.2798, ,          -0.2,      12.71595, ,          -0.2,      13.03425, ,          -0.2,      9.012851, ,          -0.2,      9.171091, ,          -0.2,      9.397973, ,          -0.2,      13.16475, ,          -0.2,       13.2446, ,          -0.2,      13.38969, ,          -0.2,      13.42757, ,          -0.2,      13.50516, ,          -0.2,      13.57519, ,          -0.2,      13.60412, ,          -0.2,      13.67807, ,          -0.2,      13.71758, ,          -0.2,      13.74115, ,          -0.2,      13.75525, ,          -0.2,      9.733157, ,          -0.2,      10.25639, ,          -0.2,      10.43061, ,          -0.2,      10.81888, ,          -0.2,      11.18854, ,          -0.2,      11.34937, , 
