Alpha,T1-10.0 m/s-VLM2, , Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.2 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-21.5 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.3 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-29.3 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-5.2 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -2,      0.524765, ,            -2,      0.524765, ,            -2,      0.524765, ,            -2,      0.524765, ,            -2,      0.524765, ,            -2,      0.524765, ,            -2,      0.524765, ,            -2,      0.524765, ,            -2,      0.524765, ,            -2,      0.524765, ,            -2,      0.524765, ,            -2,      0.524765, ,            -2,      0.524765, ,            -2,      0.524765, ,            -2,      0.524765, ,            -2,      0.524765, ,            -2,      0.524765, ,            -2,      0.524765, ,            -2,      0.524765, ,            -2,      0.524765, ,            -2,      0.524765, ,            -2,      0.524765, ,            -2,      0.524765, ,            -2,      0.524765, ,            -2,      0.524765, , 
         -1.8,     0.5379014, ,          -1.8,     0.5379014, ,          -1.8,     0.5379014, ,          -1.8,     0.5379014, ,          -1.8,     0.5379014, ,          -1.8,     0.5379014, ,          -1.8,     0.5379014, ,          -1.8,     0.5379014, ,          -1.8,     0.5379014, ,          -1.8,     0.5379014, ,          -1.8,     0.5379014, ,          -1.8,     0.5379014, ,          -1.8,     0.5379014, ,          -1.8,     0.5379014, ,          -1.8,     0.5379014, ,          -1.8,     0.5379014, ,          -1.8,     0.5379014, ,          -1.8,     0.5379014, ,          -1.8,     0.5379014, ,          -1.8,     0.5379014, ,          -1.8,     0.5379014, ,          -1.8,     0.5379014, ,          -1.8,     0.5379014, ,          -1.8,     0.5379014, ,          -1.8,     0.5379014, , 
         -1.6,     0.5510248, ,          -1.6,     0.5510248, ,          -1.6,     0.5510248, ,          -1.6,     0.5510248, ,          -1.6,     0.5510248, ,          -1.6,     0.5510248, ,          -1.6,     0.5510248, ,          -1.6,     0.5510248, ,          -1.6,     0.5510248, ,          -1.6,     0.5510248, ,          -1.6,     0.5510248, ,          -1.6,     0.5510248, ,          -1.6,     0.5510248, ,          -1.6,     0.5510248, ,          -1.6,     0.5510248, ,          -1.6,     0.5510248, ,          -1.6,     0.5510248, ,          -1.6,     0.5510248, ,          -1.6,     0.5510248, ,          -1.6,     0.5510248, ,          -1.6,     0.5510248, ,          -1.6,     0.5510248, ,          -1.6,     0.5510248, ,          -1.6,     0.5510248, ,          -1.6,     0.5510248, , 
         -1.4,     0.5641347, ,          -1.4,     0.5641347, ,          -1.4,     0.5641347, ,          -1.4,     0.5641347, ,          -1.4,     0.5641347, ,          -1.4,     0.5641347, ,          -1.4,     0.5641347, ,          -1.4,     0.5641347, ,          -1.4,     0.5641347, ,          -1.4,     0.5641347, ,          -1.4,     0.5641347, ,          -1.4,     0.5641347, ,          -1.4,     0.5641347, ,          -1.4,     0.5641347, ,          -1.4,     0.5641347, ,          -1.4,     0.5641347, ,          -1.4,     0.5641347, ,          -1.4,     0.5641347, ,          -1.4,     0.5641347, ,          -1.4,     0.5641347, ,          -1.4,     0.5641347, ,          -1.4,     0.5641347, ,          -1.4,     0.5641347, ,          -1.4,     0.5641347, ,          -1.4,     0.5641347, , 
         -1.2,     0.5772307, ,          -1.2,     0.5772307, ,          -1.2,     0.5772307, ,          -1.2,     0.5772307, ,          -1.2,     0.5772307, ,          -1.2,     0.5772307, ,          -1.2,     0.5772307, ,          -1.2,     0.5772307, ,          -1.2,     0.5772307, ,          -1.2,     0.5772307, ,          -1.2,     0.5772307, ,          -1.2,     0.5772307, ,          -1.2,     0.5772307, ,          -1.2,     0.5772307, ,          -1.2,     0.5772307, ,          -1.2,     0.5772307, ,          -1.2,     0.5772307, ,          -1.2,     0.5772307, ,          -1.2,     0.5772307, ,          -1.2,     0.5772307, ,          -1.2,     0.5772307, ,          -1.2,     0.5772307, ,          -1.2,     0.5772307, ,          -1.2,     0.5772307, ,          -1.2,     0.5772307, , 
           -1,     0.5903124, ,            -1,     0.5903124, ,            -1,     0.5903124, ,            -1,     0.5903124, ,            -1,     0.5903124, ,            -1,     0.5903124, ,            -1,     0.5903124, ,            -1,     0.5903124, ,            -1,     0.5903124, ,            -1,     0.5903124, ,            -1,     0.5903124, ,            -1,     0.5903124, ,            -1,     0.5903124, ,            -1,     0.5903124, ,            -1,     0.5903124, ,            -1,     0.5903124, ,            -1,     0.5903124, ,            -1,     0.5903124, ,            -1,     0.5903124, ,            -1,     0.5903124, ,            -1,     0.5903124, ,            -1,     0.5903124, ,            -1,     0.5903124, ,            -1,     0.5903124, ,            -1,     0.5903124, , 
         -0.8,     0.6033793, ,          -0.8,     0.6033793, ,          -0.8,     0.6033793, ,          -0.8,     0.6033793, ,          -0.8,     0.6033793, ,          -0.8,     0.6033793, ,          -0.8,     0.6033793, ,          -0.8,     0.6033793, ,          -0.8,     0.6033793, ,          -0.8,     0.6033793, ,          -0.8,     0.6033793, ,          -0.8,     0.6033793, ,          -0.8,     0.6033793, ,          -0.8,     0.6033793, ,          -0.8,     0.6033793, ,          -0.8,     0.6033793, ,          -0.8,     0.6033793, ,          -0.8,     0.6033793, ,          -0.8,     0.6033793, ,          -0.8,     0.6033793, ,          -0.8,     0.6033793, ,          -0.8,     0.6033793, ,          -0.8,     0.6033793, ,          -0.8,     0.6033793, ,          -0.8,     0.6033793, , 
         -0.6,     0.6164312, ,          -0.6,     0.6164312, ,          -0.6,     0.6164312, ,          -0.6,     0.6164312, ,          -0.6,     0.6164312, ,          -0.6,     0.6164312, ,          -0.6,     0.6164312, ,          -0.6,     0.6164312, ,          -0.6,     0.6164312, ,          -0.6,     0.6164312, ,          -0.6,     0.6164312, ,          -0.6,     0.6164312, ,          -0.6,     0.6164312, ,          -0.6,     0.6164312, ,          -0.6,     0.6164312, ,          -0.6,     0.6164312, ,          -0.6,     0.6164312, ,          -0.6,     0.6164312, ,          -0.6,     0.6164312, ,          -0.6,     0.6164312, ,          -0.6,     0.6164312, ,          -0.6,     0.6164312, ,          -0.6,     0.6164312, ,          -0.6,     0.6164312, ,          -0.6,     0.6164312, , 
         -0.4,     0.6294675, ,          -0.4,     0.6294675, ,          -0.4,     0.6294675, ,          -0.4,     0.6294675, ,          -0.4,     0.6294675, ,          -0.4,     0.6294675, ,          -0.4,     0.6294675, ,          -0.4,     0.6294675, ,          -0.4,     0.6294675, ,          -0.4,     0.6294675, ,          -0.4,     0.6294675, ,          -0.4,     0.6294675, ,          -0.4,     0.6294675, ,          -0.4,     0.6294675, ,          -0.4,     0.6294675, ,          -0.4,     0.6294675, ,          -0.4,     0.6294675, ,          -0.4,     0.6294675, ,          -0.4,     0.6294675, ,          -0.4,     0.6294675, ,          -0.4,     0.6294675, ,          -0.4,     0.6294675, ,          -0.4,     0.6294675, ,          -0.4,     0.6294675, ,          -0.4,     0.6294675, , 
         -0.2,     0.6424879, ,          -0.2,     0.6424879, ,          -0.2,     0.6424879, ,          -0.2,     0.6424879, ,          -0.2,     0.6424879, ,          -0.2,     0.6424879, ,          -0.2,     0.6424879, ,          -0.2,     0.6424879, ,          -0.2,     0.6424879, ,          -0.2,     0.6424879, ,          -0.2,     0.6424879, ,          -0.2,     0.6424879, ,          -0.2,     0.6424879, ,          -0.2,     0.6424879, ,          -0.2,     0.6424879, ,          -0.2,     0.6424879, ,          -0.2,     0.6424879, ,          -0.2,     0.6424879, ,          -0.2,     0.6424879, ,          -0.2,     0.6424879, ,          -0.2,     0.6424879, ,          -0.2,     0.6424879, ,          -0.2,     0.6424879, ,          -0.2,     0.6424879, ,          -0.2,     0.6424879, , 
