Alpha,T1-10.0 m/s-VLM2, , Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.2 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-21.5 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.3 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-29.3 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-5.2 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
            2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, , 
          2.2,     0.6072381, ,           2.2,     0.6072381, ,           2.2,     0.6072381, ,           2.2,     0.6072381, ,           2.2,     0.6072381, ,           2.2,     0.6072381, ,           2.2,     0.6072381, ,           2.2,     0.6072381, ,           2.2,     0.6072381, ,           2.2,     0.6072381, ,           2.2,     0.6072381, ,           2.2,     0.6072381, ,           2.2,     0.6072381, ,           2.2,     0.6072381, ,           2.2,     0.6072381, ,           2.2,     0.6072381, ,           2.2,     0.6072381, ,           2.2,     0.6072381, ,           2.2,     0.6072381, ,           2.2,     0.6072381, ,           2.2,     0.6072381, ,           2.2,     0.6072381, ,           2.2,     0.6072381, ,           2.2,     0.6072381, ,           2.2,     0.6072381, , 
          2.4,      0.607138, ,           2.4,      0.607138, ,           2.4,      0.607138, ,           2.4,      0.607138, ,           2.4,      0.607138, ,           2.4,      0.607138, ,           2.4,      0.607138, ,           2.4,      0.607138, ,           2.4,      0.607138, ,           2.4,      0.607138, ,           2.4,      0.607138, ,           2.4,      0.607138, ,           2.4,      0.607138, ,           2.4,      0.607138, ,           2.4,      0.607138, ,           2.4,      0.607138, ,           2.4,      0.607138, ,           2.4,      0.607138, ,           2.4,      0.607138, ,           2.4,      0.607138, ,           2.4,      0.607138, ,           2.4,      0.607138, ,           2.4,      0.607138, ,           2.4,      0.607138, ,           2.4,      0.607138, , 
          2.6,      0.607035, ,           2.6,      0.607035, ,           2.6,      0.607035, ,           2.6,      0.607035, ,           2.6,      0.607035, ,           2.6,      0.607035, ,           2.6,      0.607035, ,           2.6,      0.607035, ,           2.6,      0.607035, ,           2.6,      0.607035, ,           2.6,      0.607035, ,           2.6,      0.607035, ,           2.6,      0.607035, ,           2.6,      0.607035, ,           2.6,      0.607035, ,           2.6,      0.607035, ,           2.6,      0.607035, ,           2.6,      0.607035, ,           2.6,      0.607035, ,           2.6,      0.607035, ,           2.6,      0.607035, ,           2.6,      0.607035, ,           2.6,      0.607035, ,           2.6,      0.607035, ,           2.6,      0.607035, , 
          2.8,     0.6069293, ,           2.8,     0.6069293, ,           2.8,     0.6069293, ,           2.8,     0.6069293, ,           2.8,     0.6069293, ,           2.8,     0.6069293, ,           2.8,     0.6069293, ,           2.8,     0.6069293, ,           2.8,     0.6069293, ,           2.8,     0.6069293, ,           2.8,     0.6069293, ,           2.8,     0.6069293, ,           2.8,     0.6069293, ,           2.8,     0.6069293, ,           2.8,     0.6069293, ,           2.8,     0.6069293, ,           2.8,     0.6069293, ,           2.8,     0.6069293, ,           2.8,     0.6069293, ,           2.8,     0.6069293, ,           2.8,     0.6069293, ,           2.8,     0.6069293, ,           2.8,     0.6069293, ,           2.8,     0.6069293, ,           2.8,     0.6069293, , 
            3,      0.606821, ,             3,      0.606821, ,             3,      0.606821, ,             3,      0.606821, ,             3,      0.606821, ,             3,      0.606821, ,             3,      0.606821, ,             3,      0.606821, ,             3,      0.606821, ,             3,      0.606821, ,             3,      0.606821, ,             3,      0.606821, ,             3,      0.606821, ,             3,      0.606821, ,             3,      0.606821, ,             3,      0.606821, ,             3,      0.606821, ,             3,      0.606821, ,             3,      0.606821, ,             3,      0.606821, ,             3,      0.606821, ,             3,      0.606821, ,             3,      0.606821, ,             3,      0.606821, ,             3,      0.606821, , 
          3.2,     0.6067102, ,           3.2,     0.6067102, ,           3.2,     0.6067102, ,           3.2,     0.6067102, ,           3.2,     0.6067102, ,           3.2,     0.6067102, ,           3.2,     0.6067102, ,           3.2,     0.6067102, ,           3.2,     0.6067102, ,           3.2,     0.6067102, ,           3.2,     0.6067102, ,           3.2,     0.6067102, ,           3.2,     0.6067102, , , , , , , , , , , , , , , , , , , ,           3.2,     0.6067102, ,           3.2,     0.6067102, ,           3.2,     0.6067102, ,           3.2,     0.6067102, ,           3.2,     0.6067102, ,           3.2,     0.6067102, , 
          3.4,     0.6065971, ,           3.4,     0.6065971, ,           3.4,     0.6065971, ,           3.4,     0.6065971, ,           3.4,     0.6065971, ,           3.4,     0.6065971, ,           3.4,     0.6065971, ,           3.4,     0.6065971, ,           3.4,     0.6065971, ,           3.4,     0.6065971, ,           3.4,     0.6065971, ,           3.4,     0.6065971, ,           3.4,     0.6065971, , , , , , , , , , , , , , , , , , , ,           3.4,     0.6065971, ,           3.4,     0.6065971, ,           3.4,     0.6065971, ,           3.4,     0.6065971, ,           3.4,     0.6065971, ,           3.4,     0.6065971, , 
          3.6,     0.6064818, ,           3.6,     0.6064818, ,           3.6,     0.6064818, ,           3.6,     0.6064818, ,           3.6,     0.6064818, ,           3.6,     0.6064818, ,           3.6,     0.6064818, ,           3.6,     0.6064818, ,           3.6,     0.6064818, ,           3.6,     0.6064818, ,           3.6,     0.6064818, ,           3.6,     0.6064818, ,           3.6,     0.6064818, , , , , , , , , , , , , , , , , , , ,           3.6,     0.6064818, ,           3.6,     0.6064818, ,           3.6,     0.6064818, ,           3.6,     0.6064818, ,           3.6,     0.6064818, ,           3.6,     0.6064818, , 
          3.8,     0.6063644, ,           3.8,     0.6063644, ,           3.8,     0.6063644, ,           3.8,     0.6063644, ,           3.8,     0.6063644, ,           3.8,     0.6063644, ,           3.8,     0.6063644, ,           3.8,     0.6063644, ,           3.8,     0.6063644, ,           3.8,     0.6063644, ,           3.8,     0.6063644, ,           3.8,     0.6063644, , , , , , , , , , , , , , , , , , , , , , ,           3.8,     0.6063644, ,           3.8,     0.6063644, ,           3.8,     0.6063644, ,           3.8,     0.6063644, ,           3.8,     0.6063644, ,           3.8,     0.6063644, , 
            4,      0.606245, ,             4,      0.606245, ,             4,      0.606245, ,             4,      0.606245, ,             4,      0.606245, ,             4,      0.606245, ,             4,      0.606245, ,             4,      0.606245, ,             4,      0.606245, ,             4,      0.606245, ,             4,      0.606245, ,             4,      0.606245, , , , , , , , , , , , , , , , , , , , , , ,             4,      0.606245, ,             4,      0.606245, ,             4,      0.606245, ,             4,      0.606245, ,             4,      0.606245, ,             4,      0.606245, , 
, , , , , , , , , , , , , , ,           4.2,     0.6061238, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , ,           4.4,     0.6060007, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , ,           4.6,      0.605876, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , ,           4.8,     0.6057497, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 

