Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
          1.2,      7.636147, ,           1.2,      7.397817, ,           1.2,      8.796525, ,           1.2,      7.156641, ,           1.2,      6.988849, ,           1.2,      6.968183, ,           1.2,      6.831982, ,           1.2,      6.752573, ,           1.2,      6.744019, ,           1.2,      8.582104, ,           1.2,      8.291715, ,           1.2,      7.911438, ,           1.2,      7.860214, , 
          1.4,      7.581916, ,           1.4,      7.343858, ,           1.4,      8.771361, ,           1.4,      7.101723, ,           1.4,      6.954768, ,           1.4,      6.937039, ,           1.4,      6.810931, ,           1.4,      6.753602, ,           1.4,      6.736945, ,           1.4,      8.556323, ,           1.4,      8.263289, ,           1.4,      7.871786, ,           1.4,      7.817662, , 
          1.6,      7.537708, ,           1.6,      7.292754, ,           1.6,      8.750636, ,           1.6,      7.062644, ,           1.6,      6.929957, ,           1.6,      6.913812, ,           1.6,      6.796282, ,           1.6,      6.740888, ,           1.6,      6.723945, ,           1.6,      8.535137, ,           1.6,      8.239937, ,           1.6,      7.837486, ,           1.6,      7.780366, , 
          1.8,      7.499954, ,           1.8,      7.247812, ,           1.8,      8.733645, ,           1.8,       7.03467, ,           1.8,      6.900719, ,           1.8,       6.88348, ,           1.8,      6.776564, ,           1.8,      6.720063, ,           1.8,      6.710736, ,           1.8,      8.518311, ,           1.8,      8.221387, ,           1.8,      7.809279, ,           1.8,      7.749306, , 
            2,       7.47191, ,             2,      7.217413, ,             2,      8.720881, ,             2,      7.010554, ,             2,      6.880558, ,             2,       6.86698, ,             2,      6.775186, ,             2,      6.738931, ,             2,      6.723449, ,             2,      8.505498, ,             2,      8.207299, ,             2,      7.787898, ,             2,      7.725622, , 
          2.2,      7.454537, ,           2.2,      7.203287, ,           2.2,      8.711854, ,           2.2,      6.998109, ,           2.2,      6.877752, ,           2.2,      6.863277, ,           2.2,      6.770449, ,           2.2,      6.735083, ,           2.2,      6.720919, ,           2.2,      8.496556, ,           2.2,      8.197406, ,           2.2,      7.773076, ,           2.2,      7.709253, , 
          2.4,      7.432162, ,           2.4,      7.194424, ,           2.4,      8.706464, ,           2.4,      6.992422, ,           2.4,      6.884449, ,           2.4,      6.865479, ,           2.4,      6.774296, ,           2.4,      6.741752, ,           2.4,      6.730903, ,           2.4,      8.491361, ,           2.4,      8.191439, ,           2.4,      7.763497, ,           2.4,      7.699113, , 
          2.6,      7.426297, ,           2.6,      7.181814, ,           2.6,      8.704313, ,           2.6,      6.980692, ,           2.6,      6.871133, ,           2.6,      6.856003, ,           2.6,      6.770496, ,           2.6,      6.733026, ,           2.6,      6.725155, ,           2.6,      8.489517, ,           2.6,      8.189067, ,           2.6,      7.758102, ,           2.6,      7.693675, , 
          2.8,      7.425759, ,           2.8,      7.171136, ,           2.8,      8.705202, ,           2.8,      6.980508, ,           2.8,      6.882468, ,           2.8,      6.868643, ,           2.8,      6.787688, ,           2.8,      6.752259, ,           2.8,      6.744222, ,           2.8,      8.490824, ,           2.8,       8.19007, ,           2.8,       7.75652, ,           2.8,      7.691965, , 
            3,      7.430514, ,             3,       7.17401, ,             3,      8.709061, ,             3,      6.991786, ,             3,      6.902789, ,             3,       6.88939, ,             3,      6.811496, ,             3,      6.774715, ,             3,      6.767303, ,             3,      8.495132, ,             3,       8.19423, ,             3,      7.758561, ,             3,      7.693623, , 
          3.2,      7.438777, ,           3.2,      7.184913, ,           3.2,       8.71577, ,           3.2,      7.006109, ,           3.2,      6.917647, ,           3.2,      6.904971, ,           3.2,      6.831512, ,           3.2,      6.794946, ,           3.2,      6.786268, ,           3.2,      8.502337, ,           3.2,      8.201406, ,           3.2,      7.764096, ,           3.2,      7.698804, , 
          3.4,      7.444261, ,           3.4,      7.199843, ,           3.4,      8.725126, ,           3.4,      7.027115, ,           3.4,      6.940232, ,           3.4,      6.925524, ,           3.4,      6.860388, ,           3.4,      6.839147, ,           3.4,      6.822821, ,           3.4,      8.512256, ,           3.4,      8.211439, ,           3.4,      7.773115, ,           3.4,      7.707646, , 
          3.6,      7.456778, ,           3.6,      7.210964, ,           3.6,      8.737012, ,           3.6,      7.044621, ,           3.6,      6.960292, ,           3.6,       6.94784, ,           3.6,      6.881778, ,           3.6,      6.862979, ,           3.6,      6.849572, ,           3.6,      8.524693, ,           3.6,      8.224022, ,           3.6,      7.785463, ,           3.6,      7.719997, , 
          3.8,      7.473858, ,           3.8,      7.231607, ,           3.8,      8.751289, ,           3.8,       7.07114, ,           3.8,       6.98806, ,           3.8,      6.975899, ,           3.8,       6.90997, ,           3.8,      6.892515, ,           3.8,      6.879838, ,           3.8,      8.539549, ,           3.8,      8.239031, ,           3.8,      7.800521, ,           3.8,      7.735064, , 
