Alpha,T1-10.0 m/s-VLM2, , Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.2 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-21.5 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.3 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-29.3 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-5.2 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -2,      5.661879, ,            -2,      5.604072, ,            -2,       5.51308, ,            -2,      5.358223, ,            -2,      5.202006, ,            -2,      6.923634, ,            -2,      6.808369, ,            -2,      6.654673, ,            -2,       5.09194, ,            -2,      5.021817, ,            -2,      4.887075, ,            -2,      4.858367, ,            -2,      4.798285, ,            -2,      4.729275, ,            -2,      4.694969, ,            -2,      4.590508, ,            -2,       4.58924, ,            -2,      4.588106, ,            -2,      4.581531, ,            -2,      6.446474, ,            -2,      6.170146, ,            -2,      6.090311, ,            -2,      5.937421, ,            -2,      5.823913, ,            -2,       5.78162, , 
         -1.8,      5.508687, ,          -1.8,      5.442617, ,          -1.8,      5.349252, ,          -1.8,      5.193142, ,          -1.8,      5.036998, ,          -1.8,      6.824875, ,          -1.8,      6.710108, ,          -1.8,      6.555778, ,          -1.8,      4.929335, ,          -1.8,      4.860409, ,          -1.8,      4.733414, ,          -1.8,      4.708456, ,          -1.8,      4.656163, ,          -1.8,      4.595749, ,          -1.8,      4.566192, ,          -1.8,      4.518517, ,          -1.8,      4.494432, ,          -1.8,      4.479834, ,          -1.8,      4.474575, ,          -1.8,      6.345439, ,          -1.8,      6.061978, ,          -1.8,      5.979101, ,          -1.8,      5.817541, ,          -1.8,      5.694223, ,          -1.8,      5.647046, , 
         -1.6,      5.363038, ,          -1.6,      5.289351, ,          -1.6,      5.192803, ,          -1.6,      5.037817, ,          -1.6,      4.881949, ,          -1.6,      6.736025, ,          -1.6,       6.62175, ,          -1.6,      6.467344, ,          -1.6,       4.77662, ,          -1.6,      4.710799, ,          -1.6,      4.609571, ,          -1.6,      4.588469, ,          -1.6,      4.540703, ,          -1.6,       4.48212, ,          -1.6,      4.456089, ,          -1.6,      4.405619, ,          -1.6,      4.390222, ,          -1.6,      4.380814, ,          -1.6,       4.37568, ,          -1.6,      6.255458, ,          -1.6,      5.965849, ,          -1.6,       5.87997, ,          -1.6,      5.709582, ,          -1.6,      5.574786, ,          -1.6,      5.521635, , 
         -1.4,      5.233994, ,          -1.4,      5.154458, ,          -1.4,      5.062152, ,          -1.4,      4.907154, ,          -1.4,      4.751941, ,          -1.4,      6.655801, ,          -1.4,      6.542551, ,          -1.4,        6.3884, ,          -1.4,      4.673173, ,          -1.4,      4.623962, ,          -1.4,      4.536451, ,          -1.4,      4.519523, ,          -1.4,      4.481251, ,          -1.4,      4.433364, ,          -1.4,      4.412883, ,          -1.4,      4.376144, ,          -1.4,      4.357842, ,          -1.4,      4.347602, ,          -1.4,      4.341715, ,          -1.4,      6.175789, ,          -1.4,      5.881465, ,          -1.4,      5.793063, ,          -1.4,      5.614785, ,          -1.4,      5.468099, ,          -1.4,      5.408663, , 
         -1.2,      5.125801, ,          -1.2,       5.04343, ,          -1.2,      4.943745, ,          -1.2,       4.78447, ,          -1.2,      4.651823, ,          -1.2,      6.584404, ,          -1.2,      6.471804, ,          -1.2,      6.318146, ,          -1.2,      4.576361, ,          -1.2,      4.531998, ,          -1.2,      4.452234, ,          -1.2,      4.436989, ,          -1.2,      4.403977, ,          -1.2,      4.362875, ,          -1.2,      4.344646, ,          -1.2,      4.313454, ,          -1.2,      4.296848, ,          -1.2,      4.286814, ,          -1.2,      4.280532, ,          -1.2,      6.105427, ,          -1.2,      5.807942, ,          -1.2,      5.717646, ,          -1.2,      5.533036, ,          -1.2,       5.37651, ,          -1.2,      5.311854, , 
           -1,       5.03237, ,            -1,      4.951775, ,            -1,      4.851905, ,            -1,      4.690729, ,            -1,      4.557145, ,            -1,      6.520624, ,            -1,      6.408801, ,            -1,       6.25592, ,            -1,      4.496247, ,            -1,      4.458865, ,            -1,      4.387718, ,            -1,      4.372782, ,            -1,      4.340962, ,            -1,      4.308067, ,            -1,      4.294348, ,            -1,      4.262421, ,            -1,      4.249057, ,            -1,      4.240703, ,            -1,      4.235906, ,            -1,      6.043521, ,            -1,      5.744207, ,            -1,      5.652647, ,            -1,      5.463364, ,            -1,      5.299681, ,            -1,      5.231496, , 
         -0.8,      4.963219, ,          -0.8,      4.881182, ,          -0.8,      4.781017, ,          -0.8,      4.625404, ,          -0.8,      4.505286, ,          -0.8,      6.463858, ,          -0.8,      6.352958, ,          -0.8,      6.200935, ,          -0.8,      4.442733, ,          -0.8,      4.403614, ,          -0.8,       4.34019, ,          -0.8,      4.325608, ,          -0.8,      4.294259, ,          -0.8,      4.265266, ,          -0.8,      4.254165, ,          -0.8,      4.226048, ,          -0.8,        4.2141, ,          -0.8,      4.206667, ,          -0.8,      4.201878, ,          -0.8,      5.989424, ,          -0.8,      5.689385, ,          -0.8,      5.597097, ,          -0.8,      5.404804, ,          -0.8,      5.236138, ,          -0.8,      5.165928, , 
         -0.6,      4.908215, ,          -0.6,      4.826888, ,          -0.6,      4.726837, ,          -0.6,      4.562718, ,          -0.6,      4.441669, ,          -0.6,      6.413598, ,          -0.6,       6.30362, ,          -0.6,      6.152563, ,          -0.6,      4.390669, ,          -0.6,      4.359821, ,          -0.6,      4.306083, ,          -0.6,      4.292149, ,          -0.6,      4.262411, ,          -0.6,      4.234705, ,          -0.6,      4.223662, ,          -0.6,      4.197803, ,          -0.6,      4.187121, ,          -0.6,      4.180852, ,          -0.6,      4.177017, ,          -0.6,      5.942185, ,          -0.6,      5.642383, ,          -0.6,      5.549735, ,          -0.6,      5.355541, ,          -0.6,      5.183671, ,          -0.6,      5.112151, , 
         -0.4,      4.865151, ,          -0.4,       4.78462, ,          -0.4,      4.685352, ,          -0.4,      4.525823, ,          -0.4,      4.409424, ,          -0.4,      6.369548, ,          -0.4,      6.260344, ,          -0.4,      6.110285, ,          -0.4,      4.364601, ,          -0.4,      4.336173, ,          -0.4,      4.286373, ,          -0.4,      4.273688, ,          -0.4,      4.247572, ,          -0.4,      4.223612, ,          -0.4,      4.213457, ,          -0.4,      4.187615, ,          -0.4,      4.175298, ,          -0.4,      4.168049, ,          -0.4,      4.164186, ,          -0.4,      5.901209, ,          -0.4,      5.602427, ,          -0.4,      5.509721, ,          -0.4,       5.31446, ,          -0.4,      5.140937, ,          -0.4,        5.0691, , 
         -0.2,      4.833524, ,          -0.2,      4.753503, ,          -0.2,      4.655584, ,          -0.2,      4.496564, ,          -0.2,      4.387192, ,          -0.2,      6.331225, ,          -0.2,      6.222849, ,          -0.2,      6.073756, ,          -0.2,      4.343869, ,          -0.2,       4.31778, ,          -0.2,      4.271167, ,          -0.2,      4.259163, ,          -0.2,      4.234783, ,          -0.2,      4.213014, ,          -0.2,      4.204089, ,          -0.2,      4.181439, ,          -0.2,      4.169438, ,          -0.2,      4.162313, ,          -0.2,      4.158061, ,          -0.2,      5.866077, ,          -0.2,      5.568748, ,          -0.2,      5.476304, ,          -0.2,      5.280904, ,          -0.2,      5.107365, ,          -0.2,      5.035364, , 
