Alpha,T1-15.8 m/s-VLM2, , 
           -1,     0.6507454, , 
         -0.8,     0.6511292, , 
         -0.6,     0.6514327, , 
         -0.4,      0.651676, , 
         -0.2,     0.6518733, , 
            0,     0.6520346, , 
          0.2,     0.6521674, , 
          0.4,     0.6522773, , 
          0.6,     0.6523684, , 
          0.8,     0.6524443, , 
            1,     0.6525074, , 
          1.2,     0.6525598, , 
          1.4,     0.6526034, , 
          1.6,     0.6526393, , 
          1.8,     0.6526689, , 
            2,     0.6526929, , 
          2.2,     0.6527124, , 
          2.4,     0.6527278, , 
          2.6,     0.6527398, , 
          2.8,     0.6527489, , 
            3,     0.6527554, , 
          3.2,     0.6527599, , 
          3.4,     0.6527625, , 
          3.6,     0.6527636, , 
          3.8,     0.6527635, , 
            4,     0.6527623, , 
          4.2,     0.6527602, , 

