Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
          5.2,      1.763675, ,           5.2,      1.718312, ,           5.2,      2.348337, ,           5.2,      1.695331, ,           5.2,      1.685958, ,           5.2,      1.675583, ,           5.2,      1.671686, ,           5.2,      1.669649, ,           5.2,      2.163431, ,           5.2,      2.015816, ,           5.2,      1.820931, , 
          5.4,      1.763302, ,           5.4,      1.717153, ,           5.4,      2.351415, ,           5.4,      1.693878, ,           5.4,      1.684311, ,           5.4,      1.673743, ,           5.4,      1.669876, ,           5.4,      1.667897, ,           5.4,      2.166039, ,           5.4,      2.018027, ,           5.4,      1.821949, , 
          5.6,      1.763268, ,           5.6,      1.716294, ,           5.6,      2.354658, ,           5.6,      1.692749, ,           5.6,      1.683042, ,           5.6,      1.672618, ,           5.6,      1.668775, ,           5.6,      1.666847, ,           5.6,      2.168946, ,           5.6,      2.020685, ,           5.6,      1.823447, , 
          5.8,      1.763572, ,           5.8,       1.71573, ,           5.8,      2.358476, ,           5.8,      1.691933, ,           5.8,      1.682135, ,           5.8,      1.671742, ,           5.8,      1.668052, ,           5.8,      1.666075, ,           5.8,      2.172321, ,           5.8,      2.023795, ,           5.8,      1.825455, , 
            6,      1.764222, ,             6,      1.715452, ,             6,      2.362725, ,             6,      1.691407, ,             6,      1.681542, ,             6,      1.670712, ,             6,      1.666969, ,             6,      1.665551, ,             6,      2.176132, ,             6,      2.027406, ,             6,      1.828017, , 
          6.2,      1.765223, ,           6.2,      1.715449, ,           6.2,      2.367238, ,           6.2,      1.691159, ,           6.2,      1.681229, ,           6.2,      1.670436, ,           6.2,      1.666612, ,           6.2,       1.66459, ,           6.2,      2.180303, ,           6.2,      2.031542, ,           6.2,      1.831223, , 
          6.4,      1.766566, ,           6.4,      1.715704, ,           6.4,      2.372098, ,           6.4,      1.691158, ,           6.4,       1.68116, ,           6.4,      1.670389, ,           6.4,      1.666509, ,           6.4,      1.664501, ,           6.4,      2.184892, ,           6.4,       2.03621, ,           6.4,      1.835026, , 
          6.6,      1.768258, ,           6.6,      1.716207, ,           6.6,      2.377283, ,           6.6,      1.691392, ,           6.6,      1.681314, ,           6.6,      1.670513, ,           6.6,      1.666595, ,           6.6,      1.664599, ,           6.6,      2.189881, ,           6.6,      2.041389, ,           6.6,       1.83942, , 
          6.8,      1.770282, ,           6.8,      1.716946, ,           6.8,      2.382611, ,           6.8,      1.691847, ,           6.8,       1.68172, ,           6.8,      1.670835, ,           6.8,      1.666956, ,           6.8,      1.664976, ,           6.8,      2.195251, ,           6.8,      2.047066, ,           6.8,      1.844381, , 
            7,      1.772711, ,             7,      1.717916, ,             7,      2.388354, ,             7,      1.692499, ,             7,      1.682326, ,             7,      1.671472, ,             7,      1.667633, ,             7,      1.665684, ,             7,      2.201019, ,             7,      2.053342, ,             7,      1.850097, , 
