Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
            1,      2.573439, ,             1,      2.548243, ,             1,      2.542429, ,             1,      2.803536, ,             1,      2.647779, , 
          1.2,      2.557295, ,           1.2,      2.531945, ,           1.2,      2.526511, ,           1.2,      2.788271, ,           1.2,      2.632556, , 
          1.4,      2.542028, ,           1.4,      2.516584, ,           1.4,      2.511354, ,           1.4,      2.773928, ,           1.4,      2.618182, , 
          1.6,      2.527598, ,           1.6,      2.502056, ,           1.6,      2.496808, ,           1.6,      2.760464, ,           1.6,      2.604624, , 
          1.8,      2.513977, ,           1.8,       2.48836, ,           1.8,      2.483052, ,           1.8,      2.747837, ,           1.8,      2.591849, , 
            2,      2.501117, ,             2,      2.475398, ,             2,      2.470054, ,             2,      2.736016, ,             2,       2.57983, , 
          2.2,      2.488988, ,           2.2,      2.463094, ,           2.2,      2.457788, ,           2.2,      2.724982, ,           2.2,      2.568537, , 
          2.4,      2.477553, ,           2.4,      2.451503, ,           2.4,       2.44622, ,           2.4,      2.714687, ,           2.4,      2.557921, , 
          2.6,      2.466781, ,           2.6,      2.440546, ,           2.6,      2.435339, ,           2.6,      2.705096, ,           2.6,      2.547961, , 
          2.8,      2.456641, ,           2.8,      2.430277, ,           2.8,      2.425049, ,           2.8,      2.696206, ,           2.8,      2.538636, , 
            3,      2.447105, ,             3,      2.420669, ,             3,      2.415301, ,             3,      2.687963, ,             3,      2.529912, , 
          3.2,      2.438148, ,           3.2,      2.411624, ,           3.2,      2.406114, ,           3.2,      2.680356, ,           3.2,      2.521769, , 
          3.4,      2.429743, ,           3.4,      2.403114, ,           3.4,      2.397471, ,           3.4,       2.67336, ,           3.4,      2.514189, , 
          3.6,      2.421862, ,           3.6,      2.395123, ,           3.6,      2.389388, ,           3.6,      2.666935, ,           3.6,       2.50714, , 
          3.8,       2.41449, ,           3.8,      2.387634, ,           3.8,      2.381824, ,           3.8,      2.661076, ,           3.8,      2.500605, , 
            4,      2.407604, ,             4,      2.380649, ,             4,      2.374778, ,             4,      2.655766, ,             4,      2.494566, , 
          4.2,      2.401181, ,           4.2,      2.373996, ,           4.2,      2.368164, ,           4.2,      2.650983, ,           4.2,      2.489006, , 
          4.4,      2.395212, ,           4.4,      2.367803, ,           4.4,      2.361947, ,           4.4,      2.646694, ,           4.4,      2.483905, , 
          4.6,      2.389669, ,           4.6,      2.362109, ,           4.6,      2.356218, ,           4.6,      2.642901, ,           4.6,      2.479253, , 
          4.8,      2.384534, ,           4.8,      2.356805, ,           4.8,      2.350805, ,           4.8,      2.639558, ,           4.8,      2.475025, , 
            5,       2.37979, ,             5,      2.351768, ,             5,      2.345851, ,             5,      2.636668, ,             5,      2.471207, , 
          5.2,      2.375419, ,           5.2,      2.347213, ,           5.2,      2.341278, ,           5.2,      2.634221, ,           5.2,      2.467791, , 
          5.4,      2.371412, ,           5.4,      2.343005, ,           5.4,      2.336923, ,           5.4,      2.632181, ,           5.4,      2.464762, , 
          5.6,       2.36776, ,           5.6,      2.339147, ,           5.6,      2.332999, ,           5.6,       2.63054, ,           5.6,      2.462126, , 
          5.8,      2.364456, ,           5.8,      2.335605, ,           5.8,      2.329388, ,           5.8,      2.629275, ,           5.8,      2.459858, , 
            6,      2.361479, ,             6,      2.332386, ,             6,      2.326121, ,             6,       2.62829, ,             6,      2.457942, , 
          6.2,      2.358812, ,           6.2,       2.32948, ,           6.2,      2.323181, ,           6.2,      2.627518, ,           6.2,      2.456364, , 
          6.4,      2.356451, ,           6.4,      2.326867, ,           6.4,      2.320491, ,           6.4,      2.627273, ,           6.4,      2.455126, , 
          6.6,      2.354376, ,           6.6,      2.324503, ,           6.6,      2.318098, ,           6.6,      2.627411, ,           6.6,      2.454216, , 
          6.8,      2.352573, ,           6.8,      2.322381, ,           6.8,      2.315931, ,           6.8,      2.627855, ,           6.8,      2.453621, , 
            7,      2.351039, ,             7,      2.320494, ,             7,      2.313916, ,             7,      2.628619, ,             7,      2.453345, , 
          7.2,      2.349768, ,           7.2,      2.318834, ,           7.2,      2.311964, ,           7.2,      2.629712, ,           7.2,      2.453382, , 
