Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
          6.2,      2.153024, ,           6.2,      2.111879, ,           6.2,      2.090792, ,           6.2,      2.081167, ,           6.2,      2.074074, ,           6.2,      2.070805, ,           6.2,      2.540605, ,           6.2,      2.394196, ,           6.2,      2.217801, , 
          6.4,      2.152114, ,           6.4,      2.110411, ,           6.4,      2.089047, ,           6.4,      2.079189, ,           6.4,      2.071766, ,           6.4,       2.06835, ,           6.4,      2.542317, ,           6.4,      2.395288, ,           6.4,      2.217826, , 
          6.6,      2.151506, ,           6.6,      2.109219, ,           6.6,      2.087572, ,           6.6,        2.0775, ,           6.6,      2.069814, ,           6.6,      2.066251, ,           6.6,      2.544357, ,           6.6,      2.396721, ,           6.6,      2.218216, , 
          6.8,      2.151191, ,           6.8,      2.108293, ,           6.8,      2.086354, ,           6.8,      2.076076, ,           6.8,       2.06815, ,           6.8,      2.064512, ,           6.8,      2.546722, ,           6.8,      2.398488, ,           6.8,      2.218957, , 
            7,      2.151158, ,             7,      2.107624, ,             7,      2.085386, ,             7,      2.074911, ,             7,       2.06678, ,             7,      2.063048, ,             7,      2.549384, ,             7,      2.400567, ,             7,      2.220041, , 
          7.2,      2.151398, ,           7.2,      2.107207, ,           7.2,      2.084665, ,           7.2,      2.073998, ,           7.2,      2.065702, ,           7.2,       2.06196, ,           7.2,      2.552304, ,           7.2,      2.402941, ,           7.2,      2.221473, , 
          7.4,      2.151905, ,           7.4,      2.107044, ,           7.4,       2.08419, ,           7.4,      2.073326, ,           7.4,       2.06491, ,           7.4,      2.061155, ,           7.4,      2.555569, ,           7.4,      2.405668, ,           7.4,      2.223256, , 
          7.6,      2.152678, ,           7.6,      2.107125, ,           7.6,      2.083952, ,           7.6,      2.072871, ,           7.6,      2.064367, ,           7.6,      2.060554, ,           7.6,      2.559101, ,           7.6,      2.408715, ,           7.6,      2.225408, , 
          7.8,      2.153721, ,           7.8,      2.107468, ,           7.8,      2.083976, ,           7.8,      2.072649, ,           7.8,      2.064047, ,           7.8,      2.060149, ,           7.8,      2.562891, ,           7.8,      2.412066, ,           7.8,      2.227938, , 
            8,       2.15502, ,             8,      2.108042, ,             8,      2.084279, ,             8,      2.072734, ,             8,      2.063931, ,             8,      2.059943, ,             8,      2.566898, ,             8,      2.415773, ,             8,      2.230874, , 
          8.2,      2.156575, ,           8.2,      2.108834, ,           8.2,      2.084831, ,           8.2,      2.073125, ,           8.2,      2.064195, ,           8.2,      2.060199, ,           8.2,      2.571158, ,           8.2,      2.419796, ,           8.2,      2.234195, , 
          8.4,      2.158389, ,           8.4,      2.109838, ,           8.4,      2.085599, ,           8.4,      2.073791, ,           8.4,      2.065054, ,           8.4,      2.061072, ,           8.4,      2.575765, ,           8.4,      2.424181, ,           8.4,      2.237967, , 
          8.6,      2.160456, ,           8.6,      2.111044, ,           8.6,      2.086575, ,           8.6,      2.074599, ,           8.6,      2.066077, ,           8.6,      2.062279, ,           8.6,      2.580679, ,           8.6,       2.42893, ,           8.6,      2.242191, , 
          8.8,       2.16278, ,           8.8,      2.112452, ,           8.8,      2.087768, ,           8.8,      2.075742, ,           8.8,      2.066674, ,           8.8,      2.062776, ,           8.8,       2.58586, ,           8.8,      2.434057, ,           8.8,      2.246917, , 
            9,      2.165363, ,             9,      2.114056, ,             9,      2.089152, ,             9,      2.077094, ,             9,      2.067939, ,             9,      2.064064, ,             9,      2.591341, ,             9,      2.439591, ,             9,      2.252142, , 
          9.2,      2.168216, ,           9.2,       2.11584, ,           9.2,      2.090712, ,           9.2,      2.078622, ,           9.2,      2.069467, ,           9.2,      2.065591, ,           9.2,      2.597108, ,           9.2,      2.445507, ,           9.2,      2.257868, , 
          9.4,      2.171316, ,           9.4,       2.11781, ,           9.4,      2.092436, ,           9.4,      2.080301, ,           9.4,      2.071144, ,           9.4,      2.067282, ,           9.4,      2.603162, ,           9.4,      2.451797, ,           9.4,      2.264054, , 
          9.6,      2.174676, ,           9.6,      2.119949, ,           9.6,      2.094312, ,           9.6,      2.082113, ,           9.6,      2.072952, ,           9.6,      2.069099, ,           9.6,      2.609474, ,           9.6,      2.458464, ,           9.6,      2.270745, , 
          9.8,      2.178326, ,           9.8,      2.122264, ,           9.8,      2.096343, ,           9.8,      2.084053, ,           9.8,       2.07489, ,           9.8,      2.071041, ,           9.8,      2.616076, ,           9.8,      2.465547, ,           9.8,      2.278005, , 
           10,       2.18227, ,            10,      2.124742, ,            10,      2.098508, ,            10,       2.08612, ,            10,      2.076938, ,            10,      2.073081, ,            10,       2.62296, ,            10,      2.473018, ,            10,      2.285767, , 

