Alpha,T1-15.8 m/s-VLM2, , 
           -1,     0.9526829, , 
         -0.8,     0.9423297, , 
         -0.6,     0.9327722, , 
         -0.4,     0.9239703, , 
         -0.2,     0.9159019, , 
            0,     0.9085744, , 
          0.2,     0.9019389, , 
          0.4,     0.8960101, , 
          0.6,     0.8906993, , 
          0.8,     0.8859937, , 
            1,      0.881833, , 
          1.2,     0.8781997, , 
          1.4,     0.8750361, , 
          1.6,        0.8723, , 
          1.8,     0.8699572, , 
            2,     0.8679943, , 
          2.2,     0.8663873, , 
          2.4,      0.865124, , 
          2.6,     0.8641938, , 
          2.8,     0.8636226, , 
            3,     0.8633885, , 
          3.2,      0.863523, , 
          3.4,     0.8641145, , 
          3.6,     0.8652062, , 
          3.8,     0.8669317, , 
            4,     0.8695587, , 
          4.2,     0.8737239, , 
          4.4,      0.881489, , 
          4.6,     0.9082799, , 

