Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
            1,      1.003226, ,             1,     0.9685558, ,             1,     0.9596251, ,             1,       1.28704, ,             1,      1.115884, , 
          1.2,     0.9985378, ,           1.2,     0.9634263, ,           1.2,     0.9544268, ,           1.2,       1.28629, ,           1.2,       1.11367, , 
          1.4,     0.9944008, ,           1.4,     0.9588879, ,           1.4,     0.9499635, ,           1.4,      1.286274, ,           1.4,      1.112242, , 
          1.6,      0.990759, ,           1.6,     0.9548925, ,           1.6,         0.946, ,           1.6,       1.28703, ,           1.6,      1.111662, , 
          1.8,     0.9875969, ,           1.8,     0.9514635, ,           1.8,     0.9427859, ,           1.8,      1.288632, ,           1.8,         1.112, , 
            2,     0.9848733, ,             2,     0.9484505, ,             2,     0.9396546, ,             2,       1.29108, ,             2,      1.113314, , 
          2.2,     0.9825641, ,           2.2,      0.945879, ,           2.2,     0.9370889, ,           2.2,      1.294508, ,           2.2,      1.115743, , 
          2.4,     0.9806341, ,           2.4,     0.9436364, ,           2.4,     0.9349116, ,           2.4,      1.298907, ,           2.4,      1.119219, , 
          2.6,     0.9790648, ,           2.6,     0.9416895, ,           2.6,     0.9329955, ,           2.6,      1.304307, ,           2.6,      1.123801, , 
          2.8,     0.9778516, ,           2.8,     0.9401027, ,           2.8,     0.9313625, ,           2.8,      1.310834, ,           2.8,      1.129614, , 
            3,     0.9769698, ,             3,     0.9387634, ,             3,     0.9300318, ,             3,      1.318355, ,             3,      1.136454, , 
          3.2,     0.9764168, ,           3.2,     0.9376717, ,           3.2,     0.9289021, ,           3.2,       1.32717, ,           3.2,      1.144585, , 
          3.4,     0.9762234, ,           3.4,     0.9368081, ,           3.4,     0.9280274, ,           3.4,      1.336834, ,           3.4,      1.153399, , 
          3.6,      0.976358, ,           3.6,     0.9361482, ,           3.6,     0.9273631, ,           3.6,      1.348494, ,           3.6,      1.164531, , 
          3.8,      0.976839, ,           3.8,     0.9356805, ,           3.8,     0.9268965, ,           3.8,       1.36545, ,           3.8,      1.182921, , 
            4,     0.9777689, ,             4,     0.9354196, ,             4,     0.9266318, ,             4,      1.391364, ,             4,      1.214218, , 
          4.2,     0.9791561, ,           4.2,     0.9353711, ,           4.2,     0.9265877, ,           4.2,      1.405694, ,           4.2,      1.226915, , 
          4.4,     0.9811167, ,           4.4,     0.9355336, ,           4.4,     0.9267525, ,           4.4,       1.41852, ,           4.4,      1.236215, , 
          4.6,     0.9839174, ,           4.6,     0.9359026, ,           4.6,     0.9271183, ,           4.6,      1.432048, ,           4.6,      1.245087, , 
          4.8,     0.9878534, ,           4.8,     0.9365063, ,           4.8,     0.9277056, ,           4.8,       1.44689, ,           4.8,      1.253965, , 
            5,     0.9945788, ,             5,     0.9373803, ,             5,     0.9285356, ,             5,      1.463253, ,             5,      1.269765, , 
          5.2,      1.011048, ,           5.2,     0.9385257, ,           5.2,     0.9295945, ,           5.2,      1.481361, ,           5.2,      1.281698, , 
          5.4,      1.060723, ,           5.4,     0.9399636, ,           5.4,     0.9309178, ,           5.4,      1.502339, ,           5.4,       1.29236, , 

