Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
            1,      1.232208, ,             1,      1.216442, ,             1,      1.191386, ,             1,      1.175949, ,             1,      1.900395, ,             1,      1.778125, ,             1,      1.170559, ,             1,      1.162447, ,             1,      1.160881, ,             1,        1.1576, ,             1,       1.15307, ,             1,      1.149387, ,             1,      1.147343, ,             1,      1.146107, ,             1,      1.602056, ,             1,      1.462668, ,             1,       1.34411, ,             1,      1.295494, ,             1,      1.282277, , 
          1.2,      1.226691, ,           1.2,      1.210655, ,           1.2,      1.185115, ,           1.2,      1.169325, ,           1.2,      1.899383, ,           1.2,      1.776659, ,           1.2,      1.163768, ,           1.2,      1.155308, ,           1.2,      1.153675, ,           1.2,      1.150223, ,           1.2,      1.145518, ,           1.2,      1.141727, ,           1.2,      1.139702, ,           1.2,      1.138499, ,           1.2,      1.599863, ,           1.2,       1.45969, ,           1.2,      1.340264, ,           1.2,       1.29113, ,           1.2,      1.277703, , 
          1.4,       1.22175, ,           1.4,      1.205434, ,           1.4,      1.179431, ,           1.4,      1.163287, ,           1.4,      1.899232, ,           1.4,       1.77599, ,           1.4,      1.157555, ,           1.4,      1.148697, ,           1.4,      1.147002, ,           1.4,      1.143422, ,           1.4,      1.138635, ,           1.4,      1.134652, ,           1.4,       1.13254, ,           1.4,      1.131286, ,           1.4,      1.598383, ,           1.4,        1.4574, ,           1.4,      1.337114, ,           1.4,      1.287447, ,           1.4,      1.273792, , 
          1.6,      1.217359, ,           1.6,      1.200747, ,           1.6,      1.174295, ,           1.6,      1.157839, ,           1.6,      1.899772, ,           1.6,      1.775978, ,           1.6,      1.151953, ,           1.6,      1.142735, ,           1.6,      1.140957, ,           1.6,      1.137224, ,           1.6,      1.132247, ,           1.6,      1.128232, ,           1.6,      1.126128, ,           1.6,      1.124876, ,           1.6,      1.597518, ,           1.6,      1.455737, ,           1.6,      1.334626, ,           1.6,      1.284415, ,           1.6,      1.270515, , 
          1.8,      1.213528, ,           1.8,      1.196601, ,           1.8,      1.169682, ,           1.8,      1.152962, ,           1.8,       1.90095, ,           1.8,      1.776577, ,           1.8,      1.146953, ,           1.8,      1.137476, ,           1.8,      1.135732, ,           1.8,      1.132136, ,           1.8,      1.127216, ,           1.8,      1.123257, ,           1.8,      1.121285, ,           1.8,      1.120076, ,           1.8,      1.597246, ,           1.8,      1.454709, ,           1.8,      1.332836, ,           1.8,      1.282075, ,           1.8,      1.267906, , 
            2,      1.210216, ,             2,      1.192962, ,             2,      1.165576, ,             2,      1.148618, ,             2,      1.902625, ,             2,      1.777701, ,             2,      1.142512, ,             2,       1.13288, ,             2,      1.131026, ,             2,      1.127146, ,             2,       1.12245, ,             2,      1.118641, ,             2,       1.11665, ,             2,      1.115481, ,             2,      1.597563, ,             2,       1.45435, ,             2,      1.331729, ,             2,      1.280396, ,             2,      1.265933, , 
          2.2,      1.207416, ,           2.2,      1.189812, ,           2.2,      1.161954, ,           2.2,      1.144776, ,           2.2,      1.904854, ,           2.2,      1.779379, ,           2.2,      1.138586, ,           2.2,       1.12883, ,           2.2,      1.126974, ,           2.2,      1.123085, ,           2.2,      1.118028, ,           2.2,      1.114182, ,           2.2,      1.112479, ,           2.2,      1.111314, ,           2.2,      1.598448, ,           2.2,      1.454615, ,           2.2,       1.33134, ,           2.2,      1.279422, ,           2.2,      1.264632, , 
          2.4,      1.205133, ,           2.4,      1.187143, ,           2.4,      1.158803, ,           2.4,      1.141439, ,           2.4,       1.90791, ,           2.4,      1.781842, ,           2.4,      1.135178, ,           2.4,      1.125328, ,           2.4,       1.12348, ,           2.4,      1.119583, ,           2.4,      1.114527, ,           2.4,      1.110717, ,           2.4,      1.108764, ,           2.4,      1.107603, ,           2.4,      1.600053, ,           2.4,      1.455588, ,           2.4,      1.331753, ,           2.4,      1.279224, ,           2.4,      1.264062, , 
          2.6,      1.203341, ,           2.6,       1.18493, ,           2.6,      1.156091, ,           2.6,      1.138554, ,           2.6,      1.911408, ,           2.6,      1.784797, ,           2.6,      1.132226, ,           2.6,      1.122266, ,           2.6,        1.1204, ,           2.6,      1.116517, ,           2.6,      1.111526, ,           2.6,      1.107763, ,           2.6,      1.105849, ,           2.6,      1.104712, ,           2.6,      1.602237, ,           2.6,      1.457226, ,           2.6,      1.332949, ,           2.6,      1.279787, ,           2.6,      1.264204, , 
          2.8,      1.202065, ,           2.8,      1.183175, ,           2.8,      1.153788, ,           2.8,      1.136075, ,           2.8,      1.915229, ,           2.8,      1.788217, ,           2.8,      1.129682, ,           2.8,      1.119592, ,           2.8,      1.117675, ,           2.8,      1.113753, ,           2.8,      1.108865, ,           2.8,      1.105125, ,           2.8,      1.103227, ,           2.8,      1.102101, ,           2.8,      1.605096, ,           2.8,      1.459668, ,           2.8,      1.335143, ,           2.8,      1.281306, ,           2.8,      1.265227, , 
