Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
            1,     0.9556388, ,             1,     0.9100585, ,            -1,       1.54458, ,            -1,     0.9647811, ,            -1,     0.9576444, ,            -2,      1.019743, ,            -2,      1.017888, ,            -2,      1.016982, ,            -1,      1.372984, ,            -1,      1.238744, ,            -1,      1.067943, , 
          1.2,     0.9526058, ,           1.2,     0.9061784, ,          -0.8,       1.53803, ,          -0.8,     0.9536714, ,          -0.8,        0.9463, ,          -1.8,      1.004313, ,          -1.8,      1.002426, ,          -1.8,      1.001458, ,          -0.8,      1.365984, ,          -0.8,      1.231118, ,          -0.8,      1.058892, , 
          1.4,     0.9501456, ,           1.4,     0.9027919, ,          -0.6,      1.532946, ,          -0.6,     0.9432485, ,          -0.6,     0.9355666, ,          -1.6,     0.9897924, ,          -1.6,     0.9877961, ,          -1.6,     0.9864542, ,          -0.6,      1.360239, ,          -0.6,      1.224566, ,          -0.6,      1.050687, , 
          1.6,     0.9482482, ,           1.6,     0.8998626, ,          -0.4,      1.528993, ,          -0.4,     0.9335423, ,          -0.4,     0.9254482, ,          -1.4,      0.976088, ,          -1.4,     0.9735545, ,          -1.4,     0.9719998, ,          -0.4,      1.355471, ,          -0.4,      1.218908, ,          -0.4,      1.043303, , 
          1.8,     0.9469284, ,           1.8,     0.8973451, ,          -0.2,       1.52606, ,          -0.2,     0.9245476, ,          -0.2,     0.9159686, ,          -1.2,     0.9629292, ,          -1.2,     0.9599598, ,          -1.2,     0.9582667, ,          -0.2,      1.351596, ,          -0.2,      1.214083, ,          -0.2,       1.03671, , 
            2,     0.9462006, ,             2,     0.8952166, ,             0,      1.524086, ,             0,     0.9162954, ,             0,     0.9072234, ,            -1,     0.9503082, ,            -1,     0.9470617, ,            -1,     0.9452452, ,             0,       1.34856, ,             0,      1.210045, ,             0,      1.030884, , 
          2.2,     0.9460943, ,           2.2,     0.8934557, ,           0.2,      1.522974, ,           0.2,     0.9088237, ,           0.2,     0.8993906, ,          -0.8,      0.938209, ,          -0.8,     0.9347915, ,          -0.8,     0.9328324, ,           0.2,      1.346307, ,           0.2,      1.206765, ,           0.2,      1.025786, , 
          2.4,     0.9466462, ,           2.4,     0.8920458, ,           0.4,       1.52274, ,           0.4,      0.902122, ,           0.4,     0.8924164, ,          -0.6,     0.9267363, ,          -0.6,     0.9230692, ,          -0.6,      0.921067, ,           0.4,      1.344878, ,           0.4,      1.204303, ,           0.4,       1.02148, , 
          2.6,      0.947984, ,           2.6,     0.8909803, ,           0.6,      1.522957, ,           0.6,     0.8961664, ,           0.6,     0.8862832, ,          -0.4,      0.915903, ,          -0.4,     0.9120529, ,          -0.4,     0.9100011, ,           0.6,      1.344051, ,           0.6,      1.202574, ,           0.6,      1.017907, , 
          2.8,     0.9502652, ,           2.8,     0.8902536, ,           0.8,      1.524202, ,           0.8,     0.8909185, ,           0.8,     0.8808938, ,          -0.2,     0.9058962, ,          -0.2,     0.9019322, ,          -0.2,     0.8998282, ,           0.8,      1.344118, ,           0.8,      1.201633, ,           0.8,      1.015077, , 
            3,     0.9536864, ,             3,     0.8898789, ,             1,      1.526112, ,             1,     0.8862831, ,             1,     0.8761976, ,             0,     0.8967187, ,             0,     0.8926904, ,             0,     0.8905629, ,             1,      1.344951, ,             1,      1.201459, ,             1,      1.013022, , 
          3.2,     0.9588212, ,           3.2,     0.8898396, ,           1.2,      1.528774, ,           1.2,     0.8822101, ,           1.2,     0.8720264, ,           0.2,     0.8885136, ,           0.2,     0.8844823, ,           0.2,     0.8824077, ,           1.2,      1.346571, ,           1.2,      1.202133, ,           1.2,      1.011809, , 
          3.4,     0.9677303, ,           3.4,     0.8902096, ,           1.4,      1.532275, ,           1.4,     0.8786328, ,           1.4,     0.8683781, ,           0.4,     0.8818936, ,           0.4,     0.8780461, ,           0.4,     0.8760362, ,           1.4,      1.349005, ,           1.4,      1.203692, ,           1.4,      1.011477, , 
          3.6,     0.9792559, ,           3.6,     0.8910343, ,           1.6,      1.536346, ,           1.6,     0.8754946, ,           1.6,     0.8652442, ,           0.6,     0.8753591, ,           0.6,     0.8715054, ,           0.6,     0.8697103, ,           1.6,      1.352214, ,           1.6,       1.20617, ,           1.6,      1.012097, , 
          3.8,     0.9932365, ,           3.8,     0.8923613, ,           1.8,      1.541223, ,           1.8,     0.8727566, ,           1.8,     0.8624597, ,           0.8,     0.8700153, ,           0.8,     0.8662089, ,           0.8,     0.8642737, ,           1.8,      1.356355, ,           1.8,      1.209696, ,           1.8,      1.013736, , 
            4,      1.009469, ,             4,     0.8944469, ,             2,      1.546844, ,             2,     0.8703884, ,             2,     0.8601013, ,             1,     0.8654397, ,             1,       0.86173, ,             1,      0.859849, ,             2,      1.361422, ,             2,      1.214305, ,             2,      1.016423, , 
