Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
            1,      1.760953, ,             1,      1.735953, ,             1,      1.849796, , 
          1.2,      1.750917, ,           1.2,      1.725666, ,           1.2,       1.84072, , 
          1.4,      1.741518, ,           1.4,      1.716019, ,           1.4,      1.832311, , 
          1.6,      1.732718, ,           1.6,      1.706962, ,           1.6,      1.824531, , 
          1.8,      1.724483, ,           1.8,      1.698462, ,           1.8,      1.817372, , 
            2,      1.716802, ,             2,      1.690491, ,             2,      1.810821, , 
          2.2,      1.709658, ,           2.2,      1.683007, ,           2.2,      1.804838, , 
          2.4,      1.703017, ,           2.4,      1.676019, ,           2.4,      1.799405, , 
          2.6,      1.696853, ,           2.6,      1.669498, ,           2.6,      1.794515, , 
          2.8,      1.691144, ,           2.8,      1.663378, ,           2.8,      1.790144, , 
            3,       1.68587, ,             3,      1.657628, ,             3,      1.786282, , 
          3.2,      1.681037, ,           3.2,      1.652232, ,           3.2,      1.782916, , 
          3.4,       1.67664, ,           3.4,      1.647198, ,           3.4,      1.780039, , 
          3.6,      1.672635, ,           3.6,      1.642545, ,           3.6,       1.77762, , 
          3.8,      1.669016, ,           3.8,      1.638286, ,           3.8,      1.775674, , 
            4,       1.66577, ,             4,      1.634397, ,             4,      1.774208, , 
          4.2,      1.662894, ,           4.2,      1.630856, ,           4.2,      1.773212, , 
          4.4,      1.660389, ,           4.4,      1.627664, ,           4.4,      1.772709, , 
          4.6,      1.658255, ,           4.6,      1.624821, ,           4.6,      1.772684, , 
          4.8,      1.656467, ,           4.8,      1.622371, ,           4.8,      1.773144, , 
            5,      1.655009, ,             5,       1.62041, ,             5,       1.77412, , 
          5.2,      1.653871, ,           5.2,      1.618862, ,           5.2,      1.775669, , 
          5.4,      1.653045, ,           5.4,       1.61764, ,           5.4,      1.777771, , 
          5.6,      1.652516, ,           5.6,      1.616791, ,           5.6,      1.780472, , 
          5.8,      1.652273, ,           5.8,      1.616233, ,           5.8,      1.783893, , 
            6,      1.652303, ,             6,      1.615923, ,             6,      1.788015, , 
          6.2,      1.652587, ,           6.2,      1.615846, ,           6.2,      1.792805, , 
          6.4,      1.653117, ,           6.4,       1.61603, ,           6.4,      1.798237, , 
          6.6,      1.653887, ,           6.6,      1.616431, ,           6.6,      1.804532, , 
          6.8,      1.654892, ,           6.8,       1.61695, ,           6.8,      1.811548, , 
            7,      1.656124, ,             7,      1.617704, ,             7,      1.819181, , 
          7.2,      1.657576, ,           7.2,      1.618639, ,           7.2,      1.827489, , 
          7.4,      1.659255, ,           7.4,      1.619784, ,           7.4,      1.836746, , 
          7.6,      1.661171, ,           7.6,      1.621105, ,           7.6,      1.846218, , 
          7.8,      1.663305, ,           7.8,      1.622499, ,           7.8,      1.856756, , 
            8,       1.66565, ,             8,      1.624102, ,             8,      1.869738, , 
          8.2,      1.668241, ,           8.2,      1.625843, ,           8.2,      1.889871, , 
          8.4,      1.671119, ,           8.4,      1.627709, ,           8.4,      1.921839, , 
          8.6,      1.674295, ,           8.6,      1.629696, ,           8.6,      1.936787, , 
          8.8,      1.677784, ,           8.8,      1.631797, ,           8.8,      1.947471, , 
            9,      1.681662, ,             9,       1.63402, ,             9,      1.956916, , 
          9.2,      1.686046, ,           9.2,      1.636372, ,           9.2,      1.966091, , 
          9.4,      1.691096, ,           9.4,      1.638913, ,           9.4,      1.974965, , 
          9.6,      1.697124, ,           9.6,       1.64162, ,           9.6,      1.984209, , 
          9.8,      1.705078, ,           9.8,      1.644389, ,           9.8,      1.999296, , 
           10,      1.716169, ,            10,      1.647374, ,            10,      2.012682, , 

