Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,      0.665867, ,            -1,      0.665867, ,            -1,      0.665867, , 
         -0.8,     0.6662891, ,          -0.8,     0.6662891, ,          -0.8,     0.6662891, , 
         -0.6,     0.6666454, ,          -0.6,     0.6666454, ,          -0.6,     0.6666454, , 
         -0.4,     0.6669491, ,          -0.4,     0.6669491, ,          -0.4,     0.6669491, , 
         -0.2,     0.6672099, ,          -0.2,     0.6672099, ,          -0.2,     0.6672099, , 
            0,     0.6674355, ,             0,     0.6674355, ,             0,     0.6674355, , 
          0.2,      0.667632, ,           0.2,      0.667632, ,           0.2,      0.667632, , 
          0.4,     0.6678042, ,           0.4,     0.6678042, ,           0.4,     0.6678042, , 
          0.6,     0.6679559, ,           0.6,     0.6679559, ,           0.6,     0.6679559, , 
          0.8,     0.6680903, ,           0.8,     0.6680903, ,           0.8,     0.6680903, , 
            1,     0.6682101, ,             1,     0.6682101, ,             1,     0.6682101, , 
          1.2,     0.6683173, ,           1.2,     0.6683173, ,           1.2,     0.6683173, , 
          1.4,     0.6684138, ,           1.4,     0.6684138, ,           1.4,     0.6684138, , 
          1.6,     0.6685012, ,           1.6,     0.6685012, ,           1.6,     0.6685012, , 
          1.8,     0.6685807, ,           1.8,     0.6685807, ,           1.8,     0.6685807, , 
            2,     0.6686535, ,             2,     0.6686535, ,             2,     0.6686535, , 
          2.2,     0.6687204, ,           2.2,     0.6687204, ,           2.2,     0.6687204, , 
          2.4,     0.6687824, ,           2.4,     0.6687824, ,           2.4,     0.6687824, , 
          2.6,     0.6688401, ,           2.6,     0.6688401, ,           2.6,     0.6688401, , 
          2.8,     0.6688942, ,           2.8,     0.6688942, ,           2.8,     0.6688942, , 
            3,     0.6689452, ,             3,     0.6689452, ,             3,     0.6689452, , 
          3.2,     0.6689936, ,           3.2,     0.6689936, ,           3.2,     0.6689936, , 
          3.4,     0.6690399, ,           3.4,     0.6690399, ,           3.4,     0.6690399, , 
          3.6,     0.6690844, ,           3.6,     0.6690844, ,           3.6,     0.6690844, , 
          3.8,     0.6691275, ,           3.8,     0.6691275, ,           3.8,     0.6691275, , 
            4,     0.6691694, ,             4,     0.6691694, ,             4,     0.6691694, , 
          4.2,     0.6692105, ,           4.2,     0.6692105, ,           4.2,     0.6692105, , 
          4.4,      0.669251, ,           4.4,      0.669251, ,           4.4,      0.669251, , 
          4.6,     0.6692911, ,           4.6,     0.6692911, ,           4.6,     0.6692911, , 
          4.8,     0.6693311, ,           4.8,     0.6693311, ,           4.8,     0.6693311, , 
            5,     0.6693711, ,             5,     0.6693711, ,             5,     0.6693711, , 
          5.2,     0.6694112, ,           5.2,     0.6694112, ,           5.2,     0.6694112, , 
          5.4,     0.6694518, ,           5.4,     0.6694518, , , , , 
          5.6,     0.6694928, , , , , , , , 

