Alpha,T1-15.8 m/s-VLM2, , 
           -1,      4.095699, , 
         -0.8,      3.909527, , 
         -0.6,      3.751479, , 
         -0.4,       3.61672, , 
         -0.2,      3.501478, , 
            0,      3.402836, , 
          0.2,      3.318478, , 
          0.4,      3.246611, , 
          0.6,      3.186248, , 
          0.8,      3.149942, , 
            1,      3.175487, , 
          1.2,      3.239794, , 
          1.4,      3.329156, , 
          1.6,      3.429154, , 
          1.8,      3.540403, , 
            2,      3.682796, , 
          2.2,      3.775288, , 
          2.4,       3.90476, , 
          2.6,      4.031251, , 
          2.8,      4.156653, , 
            3,      4.277489, , 
          3.2,      4.406652, , 
          3.4,      4.534176, , 
          3.6,       4.67234, , 
          3.8,      4.815007, , 
            4,      4.970737, , 
          4.2,      5.135551, , 
          4.4,      5.299713, , 
          4.6,       5.48454, , 
          4.8,      5.683908, , 
            5,       5.89662, , 
          5.2,      6.130843, , 
          5.4,       8.19329, , 

