Alpha,T1-15.8 m/s-VLM2, , 
           -1,     0.1589342, , 
         -0.8,     0.1694193, , 
         -0.6,        0.1799, , 
         -0.4,     0.1903761, , 
         -0.2,     0.2008471, , 
            0,     0.2113127, , 
          0.2,     0.2217724, , 
          0.4,     0.2322261, , 
          0.6,     0.2426731, , 
          0.8,     0.2531133, , 
            1,     0.2635463, , 
          1.2,     0.2739716, , 
          1.4,      0.284389, , 
          1.6,      0.294798, , 
          1.8,     0.3051983, , 
            2,     0.3155895, , 
          2.2,     0.3259713, , 
          2.4,     0.3363434, , 
          2.6,     0.3467052, , 
          2.8,     0.3570566, , 
            3,     0.3673972, , 
          3.2,     0.3777265, , 
          3.4,     0.3880442, , 
          3.6,       0.39835, , 
          3.8,     0.4086436, , 
            4,     0.4189245, , 
          4.2,     0.4291924, , 
          4.4,      0.439447, , 
          4.6,     0.4496879, , 
          4.8,     0.4599148, , 
            5,     0.4701273, , 
          5.2,      0.480325, , 
          5.4,     0.4905077, , 
          5.6,      0.500675, , 
          5.8,     0.5108265, , 
            6,      0.520962, , 
          6.2,      0.531081, , 
          6.4,     0.5411832, , 
          6.6,     0.5512683, , 
          6.8,     0.5613359, , 
            7,     0.5713858, , 
          7.2,     0.5814175, , 
          7.4,     0.5914308, , 
          7.6,     0.6014253, , 
          7.8,     0.6114007, , 
            8,     0.6213567, , 
          8.2,     0.6312928, , 
          8.4,     0.6412089, , 
          8.6,     0.6511046, , 
          8.8,     0.6609796, , 

