Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,      0.339944, ,            -1,      0.339944, ,            -1,      0.339944, ,            -1,      0.339944, ,            -1,      0.339944, ,            -1,      0.339944, ,            -1,      0.339944, ,            -1,      0.339944, ,            -1,      0.339944, ,            -1,      0.339944, , 
         -0.8,     0.3547828, ,          -0.8,     0.3547828, ,          -0.8,     0.3547828, ,          -0.8,     0.3547828, ,          -0.8,     0.3547828, ,          -0.8,     0.3547828, ,          -0.8,     0.3547828, ,          -0.8,     0.3547828, ,          -0.8,     0.3547828, ,          -0.8,     0.3547828, , 
         -0.6,      0.369614, ,          -0.6,      0.369614, ,          -0.6,      0.369614, ,          -0.6,      0.369614, ,          -0.6,      0.369614, ,          -0.6,      0.369614, ,          -0.6,      0.369614, ,          -0.6,      0.369614, ,          -0.6,      0.369614, ,          -0.6,      0.369614, , 
         -0.4,     0.3844373, ,          -0.4,     0.3844373, ,          -0.4,     0.3844373, ,          -0.4,     0.3844373, ,          -0.4,     0.3844373, ,          -0.4,     0.3844373, ,          -0.4,     0.3844373, ,          -0.4,     0.3844373, ,          -0.4,     0.3844373, ,          -0.4,     0.3844373, , 
         -0.2,     0.3992522, ,          -0.2,     0.3992522, ,          -0.2,     0.3992522, ,          -0.2,     0.3992522, ,          -0.2,     0.3992522, ,          -0.2,     0.3992522, ,          -0.2,     0.3992522, ,          -0.2,     0.3992522, ,          -0.2,     0.3992522, ,          -0.2,     0.3992522, , 
            0,     0.4140584, ,             0,     0.4140584, ,             0,     0.4140584, ,             0,     0.4140584, ,             0,     0.4140584, ,             0,     0.4140584, ,             0,     0.4140584, ,             0,     0.4140584, ,             0,     0.4140584, ,             0,     0.4140584, , 
          0.2,     0.4288555, ,           0.2,     0.4288555, ,           0.2,     0.4288555, ,           0.2,     0.4288555, ,           0.2,     0.4288555, ,           0.2,     0.4288555, ,           0.2,     0.4288555, ,           0.2,     0.4288555, ,           0.2,     0.4288555, ,           0.2,     0.4288555, , 
          0.4,     0.4436431, ,           0.4,     0.4436431, ,           0.4,     0.4436431, ,           0.4,     0.4436431, ,           0.4,     0.4436431, ,           0.4,     0.4436431, ,           0.4,     0.4436431, ,           0.4,     0.4436431, ,           0.4,     0.4436431, ,           0.4,     0.4436431, , 
          0.6,     0.4584207, ,           0.6,     0.4584207, ,           0.6,     0.4584207, ,           0.6,     0.4584207, ,           0.6,     0.4584207, ,           0.6,     0.4584207, ,           0.6,     0.4584207, ,           0.6,     0.4584207, ,           0.6,     0.4584207, ,           0.6,     0.4584207, , 
          0.8,      0.473188, ,           0.8,      0.473188, ,           0.8,      0.473188, ,           0.8,      0.473188, ,           0.8,      0.473188, ,           0.8,      0.473188, ,           0.8,      0.473188, ,           0.8,      0.473188, ,           0.8,      0.473188, ,           0.8,      0.473188, , 
