Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,     0.5956943, ,            -1,     0.5956943, ,            -1,     0.5956943, ,            -1,     0.5956943, ,            -1,     0.5956943, ,            -1,     0.5956943, ,            -1,     0.5956943, ,            -1,     0.5956943, ,            -1,     0.5956943, ,            -1,     0.5956943, ,            -1,     0.5956943, , 
         -0.8,     0.5957358, ,          -0.8,     0.5957358, ,          -0.8,     0.5957358, ,          -0.8,     0.5957358, ,          -0.8,     0.5957358, ,          -0.8,     0.5957358, ,          -0.8,     0.5957358, ,          -0.8,     0.5957358, ,          -0.8,     0.5957358, ,          -0.8,     0.5957358, ,          -0.8,     0.5957358, , 
         -0.6,     0.5957582, ,          -0.6,     0.5957582, ,          -0.6,     0.5957582, ,          -0.6,     0.5957582, ,          -0.6,     0.5957582, ,          -0.6,     0.5957582, ,          -0.6,     0.5957582, ,          -0.6,     0.5957582, ,          -0.6,     0.5957582, ,          -0.6,     0.5957582, ,          -0.6,     0.5957582, , 
         -0.4,     0.5957639, ,          -0.4,     0.5957639, ,          -0.4,     0.5957639, ,          -0.4,     0.5957639, ,          -0.4,     0.5957639, ,          -0.4,     0.5957639, ,          -0.4,     0.5957639, ,          -0.4,     0.5957639, ,          -0.4,     0.5957639, ,          -0.4,     0.5957639, ,          -0.4,     0.5957639, , 
         -0.2,     0.5957549, ,          -0.2,     0.5957549, ,          -0.2,     0.5957549, ,          -0.2,     0.5957549, ,          -0.2,     0.5957549, ,          -0.2,     0.5957549, ,          -0.2,     0.5957549, ,          -0.2,     0.5957549, ,          -0.2,     0.5957549, ,          -0.2,     0.5957549, ,          -0.2,     0.5957549, , 
            0,     0.5957328, ,             0,     0.5957328, ,             0,     0.5957328, ,             0,     0.5957328, ,             0,     0.5957328, ,             0,     0.5957328, ,             0,     0.5957328, ,             0,     0.5957328, ,             0,     0.5957328, ,             0,     0.5957328, ,             0,     0.5957328, , 
          0.2,      0.595699, ,           0.2,      0.595699, ,           0.2,      0.595699, ,           0.2,      0.595699, ,           0.2,      0.595699, ,           0.2,      0.595699, ,           0.2,      0.595699, ,           0.2,      0.595699, ,           0.2,      0.595699, ,           0.2,      0.595699, ,           0.2,      0.595699, , 
          0.4,     0.5956546, ,           0.4,     0.5956546, ,           0.4,     0.5956546, ,           0.4,     0.5956546, ,           0.4,     0.5956546, ,           0.4,     0.5956546, ,           0.4,     0.5956546, ,           0.4,     0.5956546, ,           0.4,     0.5956546, ,           0.4,     0.5956546, ,           0.4,     0.5956546, , 
          0.6,     0.5956005, ,           0.6,     0.5956005, ,           0.6,     0.5956005, ,           0.6,     0.5956005, ,           0.6,     0.5956005, ,           0.6,     0.5956005, ,           0.6,     0.5956005, ,           0.6,     0.5956005, ,           0.6,     0.5956005, ,           0.6,     0.5956005, ,           0.6,     0.5956005, , 
          0.8,     0.5955378, ,           0.8,     0.5955378, ,           0.8,     0.5955378, ,           0.8,     0.5955378, ,           0.8,     0.5955378, ,           0.8,     0.5955378, ,           0.8,     0.5955378, ,           0.8,     0.5955378, ,           0.8,     0.5955378, ,           0.8,     0.5955378, ,           0.8,     0.5955378, , 
