Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,      5.388248, ,            -1,      4.991988, ,            -1,      7.885827, ,            -1,      4.769949, ,            -1,      4.678052, ,            -1,      4.582013, ,            -1,      4.548903, ,            -1,       4.53245, ,            -1,      7.422619, ,            -1,       6.62597, ,            -1,       5.78886, , 
         -0.8,      5.283741, ,          -0.8,      4.897311, ,          -0.8,      7.691669, ,          -0.8,      4.679311, ,          -0.8,      4.588879, ,          -0.8,      4.497192, ,          -0.8,       4.46688, ,          -0.8,      4.451563, ,          -0.8,      7.245472, ,          -0.8,      6.478202, ,          -0.8,      5.671588, , 
         -0.6,      5.195175, ,          -0.6,      4.819602, ,          -0.6,      7.519263, ,          -0.6,      4.606159, ,          -0.6,       4.51726, ,          -0.6,      4.428048, ,          -0.6,      4.398708, ,          -0.6,      4.383922, ,          -0.6,      7.088679, ,          -0.6,      6.348406, ,          -0.6,       5.57053, , 
         -0.4,      5.120188, ,          -0.4,      4.755726, ,          -0.4,      7.366069, ,          -0.4,      4.547547, ,          -0.4,      4.460757, ,          -0.4,       4.37372, ,          -0.4,      4.344675, ,          -0.4,      4.330173, ,          -0.4,      6.949992, ,          -0.4,      6.234783, ,          -0.4,      5.483582, , 
         -0.2,      5.057148, ,          -0.2,      4.703502, ,          -0.2,      7.230122, ,          -0.2,      4.500818, ,          -0.2,      4.416359, ,          -0.2,      4.332099, ,          -0.2,      4.303847, ,          -0.2,      4.289609, ,          -0.2,      6.827542, ,          -0.2,      6.135641, ,          -0.2,      5.409233, , 
            0,      5.004352, ,             0,       4.66112, ,             0,      7.109118, ,             0,      4.463875, ,             0,      4.381765, ,             0,      4.300337, ,             0,      4.273049, ,             0,      4.259151, ,             0,      6.719152, ,             0,      6.049026, ,             0,      5.345749, , 
          0.2,      4.960702, ,           0.2,      4.627462, ,           0.2,      7.001982, ,           0.2,      4.435453, ,           0.2,      4.355502, ,           0.2,      4.276129, ,           0.2,      4.249283, ,           0.2,      4.235677, ,           0.2,      6.623687, ,           0.2,      5.973713, ,           0.2,      5.292046, , 
          0.4,      4.925011, ,           0.4,      4.601317, ,           0.4,      6.906929, ,           0.4,      4.414312, ,           0.4,      4.336501, ,           0.4,      4.259036, ,           0.4,      4.232426, ,           0.4,      4.219053, ,           0.4,      6.539509, ,           0.4,      5.908319, ,           0.4,      5.246942, , 
          0.6,      4.896452, ,           0.6,      4.581865, ,           0.6,       6.82278, ,           0.6,      4.399603, ,           0.6,      4.323808, ,           0.6,      4.248381, ,           0.6,      4.222329, ,           0.6,      4.209268, ,           0.6,      6.465605, ,           0.6,      5.852091, ,           0.6,      5.209578, , 
          0.8,      4.874327, ,           0.8,      4.568293, ,           0.8,      6.748658, ,           0.8,      4.390623, ,           0.8,      4.316807, ,           0.8,      4.243341, ,           0.8,      4.217799, ,           0.8,      4.205036, ,           0.8,      6.401047, ,           0.8,      5.804035, ,           0.8,        5.1792, , 
