Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,      15.15697, ,            -1,      16.55723, ,            -1,      17.48914, ,            -1,      17.91111, ,            -1,      18.35345, ,            -1,      18.50699, ,            -1,      18.58479, ,            -1,      10.66979, ,            -1,      12.06892, ,            -1,      13.98422, , 
         -0.8,      15.47441, ,          -0.8,        16.875, ,          -0.8,      17.80862, ,          -0.8,      18.23106, ,          -0.8,      18.67229, ,          -0.8,      18.82374, ,          -0.8,      18.90058, ,          -0.8,       10.9531, ,          -0.8,       12.3682, ,          -0.8,      14.29691, , 
         -0.6,      15.75841, ,          -0.6,      17.15386, ,          -0.6,      18.08513, ,          -0.6,      18.50591, ,          -0.6,      18.94448, ,          -0.6,      19.09353, ,          -0.6,       19.1692, ,          -0.6,      11.21573, ,          -0.6,      12.64272, ,          -0.6,      14.57956, , 
         -0.4,      16.01055, ,          -0.4,      17.39664, ,          -0.4,      18.32162, ,          -0.4,      18.73891, ,          -0.4,      19.17399, ,          -0.4,      19.32144, ,          -0.4,      19.39618, ,          -0.4,      11.45815, ,          -0.4,      12.89349, ,          -0.4,      14.83348, , 
         -0.2,      16.23273, ,          -0.2,      17.60614, ,          -0.2,      18.52207, ,          -0.2,      18.93449, ,          -0.2,      19.36363, ,          -0.2,      19.50876, ,          -0.2,      19.58237, ,          -0.2,      11.68052, ,          -0.2,      13.12113, ,          -0.2,      15.06024, , 
            0,      16.42618, ,             0,      17.78418, ,             0,      18.68916, ,             0,      19.09621, ,             0,      19.51791, ,             0,      19.66007, ,             0,      19.73217, ,             0,      11.88225, ,             0,      13.32629, ,             0,      15.26069, , 
          0.2,      16.59205, ,           0.2,      17.93217, ,           0.2,      18.82494, ,           0.2,      19.22629, ,           0.2,       19.6398, ,           0.2,      19.77887, ,           0.2,       19.8494, ,           0.2,      12.06295, ,           0.2,      13.50956, ,           0.2,       15.4358, , 
          0.4,      16.73269, ,           0.4,      18.05303, ,           0.4,      18.93194, ,           0.4,      19.32713, ,           0.4,      19.73206, ,           0.4,      19.86839, ,           0.4,      19.93744, ,           0.4,      12.22399, ,           0.4,      13.67274, ,           0.4,      15.58754, , 
          0.6,      16.84966, ,           0.6,      18.14837, ,           0.6,      19.01273, ,           0.6,      19.40128, ,           0.6,      19.79727, ,           0.6,      19.93082, ,           0.6,      19.99845, ,           0.6,      12.36687, ,           0.6,      13.81638, ,           0.6,      15.71717, , 
          0.8,      16.94442, ,           0.8,       18.2198, ,           0.8,      19.06895, ,           0.8,      19.45097, ,           0.8,      19.83774, ,           0.8,      19.96799, ,           0.8,      20.03396, ,           0.8,      12.49255, ,           0.8,      13.94107, ,           0.8,      15.82576, , 
            1,      17.01829, ,             1,      18.26905, ,             1,      19.10216, ,             1,      19.47746, ,             1,      19.85487, ,             1,      19.98198, ,             1,      20.04635, ,             1,      12.60199, ,             1,      14.04772, ,             1,      15.91417, , 
          1.2,      17.07242, ,           1.2,      18.29792, ,           1.2,      19.11423, ,           1.2,      19.48256, ,           1.2,      19.85107, ,           1.2,       19.9753, ,           1.2,      20.03815, ,           1.2,      12.69556, ,           1.2,      14.13701, ,           1.2,      15.98358, , 
          1.4,      17.10811, ,           1.4,      18.30808, ,           1.4,        19.107, ,           1.4,      19.46795, ,           1.4,      19.82786, ,           1.4,      19.94915, ,           1.4,      20.01053, ,           1.4,      12.77314, ,           1.4,      14.20963, ,           1.4,      16.03528, , 
          1.6,      17.12627, ,           1.6,      18.30092, ,           1.6,      19.08209, ,           1.6,      19.43533, ,           1.6,      19.78696, ,           1.6,      19.90523, ,           1.6,       19.9651, ,           1.6,      12.83571, ,           1.6,      14.26636, ,           1.6,      16.07009, , 
          1.8,      17.12795, ,           1.8,       18.2776, ,           1.8,      19.04103, ,           1.8,      19.38645, ,           1.8,      19.72994, ,           1.8,      19.84521, ,           1.8,      19.90356, ,           1.8,      12.88354, ,           1.8,      14.30753, ,           1.8,      16.08885, , 
            2,      17.11432, ,             2,      18.23919, ,             2,       18.9853, ,             2,        19.323, ,             2,      19.65856, ,             2,      19.77087, ,             2,      19.82773, ,             2,      12.91736, ,             2,      14.33399, ,             2,      16.09254, , 
          2.2,      17.08614, ,           2.2,      18.18635, ,           2.2,      18.91558, ,           2.2,       19.2457, ,           2.2,      19.57356, ,           2.2,      19.68293, ,           2.2,       19.7383, ,           2.2,      12.93732, ,           2.2,      14.34623, ,           2.2,      16.08188, , 
          2.4,      17.04391, ,           2.4,      18.11961, ,           2.4,      18.83256, ,           2.4,      19.15549, ,           2.4,      19.47601, ,           2.4,       19.5824, ,           2.4,      19.63629, ,           2.4,      12.94318, ,           2.4,      14.34419, ,           2.4,       16.0572, , 
          2.6,      16.98839, ,           2.6,      18.03985, ,           2.6,      18.73688, ,           2.6,      19.05287, ,           2.6,       19.3664, ,           2.6,      19.47013, ,           2.6,      19.52266, ,           2.6,      12.93533, ,           2.6,       14.3285, ,           2.6,      16.01909, , 
          2.8,      16.91961, ,           2.8,      17.94708, ,           2.8,       18.6284, ,           2.8,      18.93752, ,           2.8,      19.24432, ,           2.8,      19.34561, ,           2.8,      19.39688, ,           2.8,       12.9139, ,           2.8,      14.29928, ,           2.8,      15.96761, , 
            3,      16.83669, ,             3,      17.83973, ,             3,      18.50459, ,             3,      18.80621, ,             3,      19.10558, ,             3,      19.20429, ,             3,       19.2542, ,             3,      12.87852, ,             3,      14.25604, ,             3,       15.9024, , 
          3.2,      16.73668, ,           3.2,      17.71205, ,           3.2,      18.35527, ,           3.2,      18.64522, ,           3.2,      18.93103, ,           3.2,      19.02473, ,           3.2,      19.07196, ,           3.2,      12.82856, ,           3.2,      14.19769, ,           3.2,      15.82163, , 
          3.4,      16.61321, ,           3.4,      17.55177, ,           3.4,      18.16133, ,           3.4,      18.43171, ,           3.4,      18.69431, ,           3.4,      18.77952, ,           3.4,       18.8224, ,           3.4,      12.76245, ,           3.4,      14.12188, ,           3.4,      15.72132, , 
          3.6,      16.45671, ,           3.6,      17.34459, ,           3.6,      17.90566, ,           3.6,      18.14722, ,           3.6,      18.37734, ,           3.6,      18.45199, ,           3.6,      18.48847, ,           3.6,      12.67748, ,           3.6,      14.02542, ,           3.6,      15.59562, , 
          3.8,      16.25787, ,           3.8,      17.07849, ,           3.8,      17.57632, ,           3.8,      17.79098, ,           3.8,      17.99065, ,           3.8,      18.04562, ,           3.8,      18.07798, ,           3.8,      12.57052, ,           3.8,      13.90373, ,           3.8,      15.43721, , 
            4,      16.01212, ,             4,       16.7543, ,             4,      17.20248, ,             4,      17.39233, ,             4,      17.58327, ,             4,      17.65533, ,             4,      17.69572, ,             4,      12.44006, ,             4,      13.75405, ,             4,      15.24231, , 
          4.2,      15.72269, ,           4.2,      16.39825, ,           4.2,      16.81581, ,           4.2,      16.97212, ,           4.2,      17.13791, ,           4.2,      17.24886, ,           4.2,      17.30536, ,           4.2,       12.2862, ,           4.2,      13.57643, ,           4.2,      15.01158, , 
          4.4,      15.40249, ,           4.4,      16.02691, ,           4.4,      16.41886, ,           4.4,      16.57173, ,           4.4,      16.76515, ,           4.4,      16.89901, ,           4.4,      16.96421, ,           4.4,      12.11043, ,           4.4,       13.3738, ,           4.4,      14.74911, , 
          4.6,      15.06446, ,           4.6,      15.64023, ,           4.6,      15.98943, ,           4.6,      16.19651, ,           4.6,      16.45087, ,           4.6,      16.55121, ,           4.6,       16.6063, ,           4.6,      11.91877, ,           4.6,      13.15576, ,           4.6,       14.4633, , 
          4.8,      14.70987, ,           4.8,      15.22477, ,           4.8,       15.5684, ,           4.8,      15.81032, ,           4.8,      16.12344, ,           4.8,      16.26096, ,           4.8,      16.32424, ,           4.8,      11.71465, ,           4.8,      12.92761, ,           4.8,      14.15915, , 
            5,      14.33326, ,             5,       14.7732, ,             5,      15.14731, ,             5,      15.44178, ,             5,      15.74346, ,             5,      15.81788, ,             5,      15.86083, ,             5,      11.49504, ,             5,       12.6899, ,             5,      13.83647, , 
          5.2,      13.93332, ,           5.2,      14.29157, ,           5.2,       14.7584, ,           5.2,      15.05474, ,           5.2,      15.25815, ,           5.2,      15.35159, ,           5.2,      15.40293, ,           5.2,      11.25546, ,           5.2,      12.43276, ,           5.2,      13.49328, , 
          5.4,       13.5123, ,           5.4,      13.79292, ,           5.4,      14.34396, ,           5.4,      14.63153, ,           5.4,      14.81711, ,           5.4,       14.8841, ,           5.4,      14.92333, ,           5.4,      10.98999, ,           5.4,      12.15604, ,           5.4,      13.11625, , 

