Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,       3.77469, ,            -1,      3.456271, ,            -1,      3.272514, ,            -1,      3.195578, ,            -1,      3.118714, ,            -1,      3.092893, ,            -1,      3.079969, ,            -1,      5.354268, ,            -1,      4.736562, ,            -1,       4.09021, , 
         -0.8,      3.697474, ,          -0.8,       3.39134, ,          -0.8,      3.213932, ,          -0.8,      3.139611, ,          -0.8,      3.065563, ,          -0.8,      3.040945, ,          -0.8,      3.028606, ,          -0.8,      5.216547, ,          -0.8,      4.622454, ,          -0.8,      4.001049, , 
         -0.6,      3.631018, ,          -0.6,      3.336334, ,          -0.6,      3.164893, ,          -0.6,      3.093071, ,          -0.6,      3.021601, ,          -0.6,      2.998056, ,          -0.6,      2.986243, ,          -0.6,      5.095046, ,          -0.6,      4.522502, ,          -0.6,      3.923724, , 
         -0.4,      3.573985, ,          -0.4,      3.289877, ,          -0.4,      3.124122, ,          -0.4,      3.054685, ,          -0.4,      2.985498, ,          -0.4,      2.962756, ,          -0.4,       2.95136, ,          -0.4,        4.9878, ,          -0.4,      4.434897, ,          -0.4,      3.856762, , 
         -0.2,      3.525191, ,          -0.2,      3.250813, ,          -0.2,      3.090379, ,          -0.2,      3.023192, ,          -0.2,      2.956312, ,          -0.2,      2.934357, ,          -0.2,      2.923346, ,          -0.2,      4.893311, ,          -0.2,      4.358256, ,          -0.2,      3.798864, , 
            0,      3.483778, ,             0,      3.218338, ,             0,      3.062803, ,             0,      2.997636, ,             0,      2.932985, ,             0,      2.911813, ,             0,      2.901191, ,             0,      4.810627, ,             0,      4.291411, ,             0,      3.749108, , 
          0.2,      3.449035, ,           0.2,      3.191833, ,           0.2,      3.040752, ,           0.2,      2.977392, ,           0.2,      2.914813, ,           0.2,      2.894353, ,           0.2,      2.884086, ,           0.2,      4.738897, ,           0.2,      4.233409, ,           0.2,      3.706696, , 
          0.4,      3.420114, ,           0.4,      3.170508, ,           0.4,      3.023598, ,           0.4,      2.961884, ,           0.4,      2.901207, ,           0.4,      2.881335, ,           0.4,      2.871372, ,           0.4,      4.676746, ,           0.4,      4.183063, ,           0.4,      3.670712, , 
          0.6,      3.396427, ,           0.6,      3.153887, ,           0.6,      3.010773, ,           0.6,      2.950584, ,           0.6,      2.891668, ,           0.6,      2.872324, ,           0.6,      2.862627, ,           0.6,      4.622946, ,           0.6,      4.139726, ,           0.6,      3.640519, , 
          0.8,      3.377478, ,           0.8,      3.141547, ,           0.8,      3.001914, ,           0.8,      2.943061, ,           0.8,      2.885778, ,           0.8,      2.866986, ,           0.8,      2.857561, ,           0.8,      4.576637, ,           0.8,      4.102829, ,           0.8,      3.615605, , 
            1,       3.36285, ,             1,      3.133094, ,             1,      2.996704, ,             1,      2.939064, ,             1,      2.883293, ,             1,      2.864982, ,             1,      2.855798, ,             1,       4.53706, ,             1,      4.071784, ,             1,      3.595572, , 
          1.2,      3.352214, ,           1.2,      3.128162, ,           1.2,      2.994816, ,           1.2,      2.938297, ,           1.2,      2.883844, ,           1.2,      2.865939, ,           1.2,      2.856964, ,           1.2,      4.503759, ,           1.2,      4.046153, ,           1.2,      3.579999, , 
          1.4,      3.345237, ,           1.4,      3.126429, ,           1.4,      2.995947, ,           1.4,      2.940497, ,           1.4,      2.887214, ,           1.4,      2.869689, ,           1.4,      2.860901, ,           1.4,      4.476515, ,           1.4,      4.025544, ,           1.4,      3.568486, , 
          1.6,      3.341697, ,           1.6,      3.127649, ,           1.6,       2.99985, ,           1.6,      2.945424, ,           1.6,      2.893172, ,           1.6,       2.87601, ,           1.6,      2.867401, ,           1.6,      4.454781, ,           1.6,      4.009589, ,           1.6,      3.560776, , 
          1.8,       3.34137, ,           1.8,      3.131632, ,           1.8,      3.006307, ,           1.8,      2.952837, ,           1.8,      2.901518, ,           1.8,      2.884694, ,           1.8,      2.876251, ,           1.8,      4.438308, ,           1.8,      3.998087, ,           1.8,      3.556634, , 
            2,      3.344024, ,             2,      3.138213, ,             2,      3.015115, ,             2,      2.962517, ,             2,      2.912036, ,             2,      2.895522, ,             2,      2.887234, ,             2,      4.426734, ,             2,      3.990731, ,             2,      3.555821, , 
