Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
          3.2,     0.6586029, ,           3.2,     0.6586029, ,           3.2,     0.6586029, ,           3.2,     0.6586029, ,           3.2,     0.6586029, ,           3.2,     0.6586029, ,           3.2,     0.6586029, ,           3.2,     0.6586029, ,           3.2,     0.6586029, ,           3.2,     0.6586029, , 
          3.4,     0.6586226, ,           3.4,     0.6586226, ,           3.4,     0.6586226, ,           3.4,     0.6586226, ,           3.4,     0.6586226, ,           3.4,     0.6586226, ,           3.4,     0.6586226, ,           3.4,     0.6586226, ,           3.4,     0.6586226, ,           3.4,     0.6586226, , 
          3.6,     0.6586398, ,           3.6,     0.6586398, ,           3.6,     0.6586398, ,           3.6,     0.6586398, ,           3.6,     0.6586398, ,           3.6,     0.6586398, ,           3.6,     0.6586398, ,           3.6,     0.6586398, ,           3.6,     0.6586398, ,           3.6,     0.6586398, , 
          3.8,     0.6586548, ,           3.8,     0.6586548, ,           3.8,     0.6586548, ,           3.8,     0.6586548, ,           3.8,     0.6586548, ,           3.8,     0.6586548, ,           3.8,     0.6586548, ,           3.8,     0.6586548, ,           3.8,     0.6586548, ,           3.8,     0.6586548, , 
            4,     0.6586679, ,             4,     0.6586679, ,             4,     0.6586679, ,             4,     0.6586679, ,             4,     0.6586679, ,             4,     0.6586679, ,             4,     0.6586679, ,             4,     0.6586679, ,             4,     0.6586679, ,             4,     0.6586679, , 
          4.2,     0.6586794, ,           4.2,     0.6586794, ,           4.2,     0.6586794, ,           4.2,     0.6586794, ,           4.2,     0.6586794, ,           4.2,     0.6586794, ,           4.2,     0.6586794, ,           4.2,     0.6586794, ,           4.2,     0.6586794, ,           4.2,     0.6586794, , 
          4.4,     0.6586895, ,           4.4,     0.6586895, ,           4.4,     0.6586895, ,           4.4,     0.6586895, ,           4.4,     0.6586895, ,           4.4,     0.6586895, ,           4.4,     0.6586895, ,           4.4,     0.6586895, ,           4.4,     0.6586895, ,           4.4,     0.6586895, , 
          4.6,     0.6586983, ,           4.6,     0.6586983, ,           4.6,     0.6586983, ,           4.6,     0.6586983, ,           4.6,     0.6586983, ,           4.6,     0.6586983, ,           4.6,     0.6586983, ,           4.6,     0.6586983, ,           4.6,     0.6586983, ,           4.6,     0.6586983, , 
          4.8,     0.6587062, ,           4.8,     0.6587062, ,           4.8,     0.6587062, ,           4.8,     0.6587062, ,           4.8,     0.6587062, ,           4.8,     0.6587062, ,           4.8,     0.6587062, ,           4.8,     0.6587062, ,           4.8,     0.6587062, ,           4.8,     0.6587062, , 
            5,     0.6587132, ,             5,     0.6587132, ,             5,     0.6587132, ,             5,     0.6587132, ,             5,     0.6587132, ,             5,     0.6587132, ,             5,     0.6587132, ,             5,     0.6587132, ,             5,     0.6587132, ,             5,     0.6587132, , 
          5.2,     0.6587196, ,           5.2,     0.6587196, ,           5.2,     0.6587196, ,           5.2,     0.6587196, ,           5.2,     0.6587196, ,           5.2,     0.6587196, ,           5.2,     0.6587196, ,           5.2,     0.6587196, ,           5.2,     0.6587196, ,           5.2,     0.6587196, , 
          5.4,     0.6587255, ,           5.4,     0.6587255, ,           5.4,     0.6587255, ,           5.4,     0.6587255, ,           5.4,     0.6587255, ,           5.4,     0.6587255, ,           5.4,     0.6587255, ,           5.4,     0.6587255, ,           5.4,     0.6587255, ,           5.4,     0.6587255, , 

