Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,     0.2185744, ,            -1,     0.2185744, ,            -1,     0.2185744, ,            -1,     0.2185744, ,            -1,     0.2185744, ,            -1,     0.2185744, ,            -1,     0.2185744, ,            -1,     0.2185744, ,            -1,     0.2185744, , 
         -0.8,     0.2274261, ,          -0.8,     0.2274261, ,          -0.8,     0.2274261, ,          -0.8,     0.2274261, ,          -0.8,     0.2274261, ,          -0.8,     0.2274261, ,          -0.8,     0.2274261, ,          -0.8,     0.2274261, ,          -0.8,     0.2274261, , 
         -0.6,     0.2362715, ,          -0.6,     0.2362715, ,          -0.6,     0.2362715, ,          -0.6,     0.2362715, ,          -0.6,     0.2362715, ,          -0.6,     0.2362715, ,          -0.6,     0.2362715, ,          -0.6,     0.2362715, ,          -0.6,     0.2362715, , 
         -0.4,     0.2451102, ,          -0.4,     0.2451102, ,          -0.4,     0.2451102, ,          -0.4,     0.2451102, ,          -0.4,     0.2451102, ,          -0.4,     0.2451102, ,          -0.4,     0.2451102, ,          -0.4,     0.2451102, ,          -0.4,     0.2451102, , 
         -0.2,     0.2539419, ,          -0.2,     0.2539419, ,          -0.2,     0.2539419, ,          -0.2,     0.2539419, ,          -0.2,     0.2539419, ,          -0.2,     0.2539419, ,          -0.2,     0.2539419, ,          -0.2,     0.2539419, ,          -0.2,     0.2539419, , 
            0,     0.2627663, ,             0,     0.2627663, ,             0,     0.2627663, ,             0,     0.2627663, ,             0,     0.2627663, ,             0,     0.2627663, ,             0,     0.2627663, ,             0,     0.2627663, ,             0,     0.2627663, , 
          0.2,      0.271583, ,           0.2,      0.271583, ,           0.2,      0.271583, ,           0.2,      0.271583, ,           0.2,      0.271583, ,           0.2,      0.271583, ,           0.2,      0.271583, ,           0.2,      0.271583, ,           0.2,      0.271583, , 
          0.4,     0.2803917, ,           0.4,     0.2803917, ,           0.4,     0.2803917, ,           0.4,     0.2803917, ,           0.4,     0.2803917, ,           0.4,     0.2803917, ,           0.4,     0.2803917, ,           0.4,     0.2803917, ,           0.4,     0.2803917, , 
          0.6,     0.2891921, ,           0.6,     0.2891921, ,           0.6,     0.2891921, ,           0.6,     0.2891921, ,           0.6,     0.2891921, ,           0.6,     0.2891921, ,           0.6,     0.2891921, ,           0.6,     0.2891921, ,           0.6,     0.2891921, , 
          0.8,     0.2979839, ,           0.8,     0.2979839, ,           0.8,     0.2979839, ,           0.8,     0.2979839, ,           0.8,     0.2979839, ,           0.8,     0.2979839, ,           0.8,     0.2979839, ,           0.8,     0.2979839, ,           0.8,     0.2979839, , 
            1,     0.3067666, ,             1,     0.3067666, ,             1,     0.3067666, ,             1,     0.3067666, ,             1,     0.3067666, ,             1,     0.3067666, ,             1,     0.3067666, ,             1,     0.3067666, ,             1,     0.3067666, , 
          1.2,     0.3155401, ,           1.2,     0.3155401, ,           1.2,     0.3155401, ,           1.2,     0.3155401, ,           1.2,     0.3155401, ,           1.2,     0.3155401, ,           1.2,     0.3155401, ,           1.2,     0.3155401, ,           1.2,     0.3155401, , 
          1.4,     0.3243039, ,           1.4,     0.3243039, ,           1.4,     0.3243039, ,           1.4,     0.3243039, ,           1.4,     0.3243039, ,           1.4,     0.3243039, ,           1.4,     0.3243039, ,           1.4,     0.3243039, ,           1.4,     0.3243039, , 
          1.6,     0.3330578, ,           1.6,     0.3330578, ,           1.6,     0.3330578, ,           1.6,     0.3330578, ,           1.6,     0.3330578, ,           1.6,     0.3330578, ,           1.6,     0.3330578, ,           1.6,     0.3330578, ,           1.6,     0.3330578, , 
          1.8,     0.3418013, ,           1.8,     0.3418013, ,           1.8,     0.3418013, ,           1.8,     0.3418013, ,           1.8,     0.3418013, ,           1.8,     0.3418013, ,           1.8,     0.3418013, ,           1.8,     0.3418013, ,           1.8,     0.3418013, , 
            2,     0.3505343, ,             2,     0.3505343, ,             2,     0.3505343, ,             2,     0.3505343, ,             2,     0.3505343, ,             2,     0.3505343, ,             2,     0.3505343, ,             2,     0.3505343, ,             2,     0.3505343, , 
          2.2,     0.3592563, ,           2.2,     0.3592563, ,           2.2,     0.3592563, ,           2.2,     0.3592563, ,           2.2,     0.3592563, ,           2.2,     0.3592563, ,           2.2,     0.3592563, ,           2.2,     0.3592563, ,           2.2,     0.3592563, , 
          2.4,      0.367967, ,           2.4,      0.367967, ,           2.4,      0.367967, ,           2.4,      0.367967, ,           2.4,      0.367967, ,           2.4,      0.367967, ,           2.4,      0.367967, ,           2.4,      0.367967, ,           2.4,      0.367967, , 
          2.6,     0.3766662, ,           2.6,     0.3766662, ,           2.6,     0.3766662, ,           2.6,     0.3766662, ,           2.6,     0.3766662, ,           2.6,     0.3766662, ,           2.6,     0.3766662, ,           2.6,     0.3766662, ,           2.6,     0.3766662, , 
          2.8,     0.3853535, ,           2.8,     0.3853535, ,           2.8,     0.3853535, ,           2.8,     0.3853535, ,           2.8,     0.3853535, ,           2.8,     0.3853535, ,           2.8,     0.3853535, ,           2.8,     0.3853535, ,           2.8,     0.3853535, , 
            3,     0.3940285, ,             3,     0.3940285, ,             3,     0.3940285, ,             3,     0.3940285, ,             3,     0.3940285, ,             3,     0.3940285, ,             3,     0.3940285, ,             3,     0.3940285, ,             3,     0.3940285, , 
          3.2,      0.402691, ,           3.2,      0.402691, ,           3.2,      0.402691, ,           3.2,      0.402691, ,           3.2,      0.402691, ,           3.2,      0.402691, ,           3.2,      0.402691, ,           3.2,      0.402691, ,           3.2,      0.402691, , 
          3.4,     0.4113407, ,           3.4,     0.4113407, ,           3.4,     0.4113407, ,           3.4,     0.4113407, ,           3.4,     0.4113407, ,           3.4,     0.4113407, ,           3.4,     0.4113407, ,           3.4,     0.4113407, ,           3.4,     0.4113407, , 
          3.6,     0.4199771, ,           3.6,     0.4199771, ,           3.6,     0.4199771, ,           3.6,     0.4199771, ,           3.6,     0.4199771, ,           3.6,     0.4199771, ,           3.6,     0.4199771, ,           3.6,     0.4199771, ,           3.6,     0.4199771, , 
          3.8,     0.4286001, ,           3.8,     0.4286001, ,           3.8,     0.4286001, ,           3.8,     0.4286001, ,           3.8,     0.4286001, ,           3.8,     0.4286001, ,           3.8,     0.4286001, ,           3.8,     0.4286001, ,           3.8,     0.4286001, , 
            4,     0.4372092, ,             4,     0.4372092, ,             4,     0.4372092, ,             4,     0.4372092, ,             4,     0.4372092, ,             4,     0.4372092, ,             4,     0.4372092, ,             4,     0.4372092, ,             4,     0.4372092, , 
          4.2,     0.4458043, ,           4.2,     0.4458043, ,           4.2,     0.4458043, ,           4.2,     0.4458043, ,           4.2,     0.4458043, ,           4.2,     0.4458043, ,           4.2,     0.4458043, ,           4.2,     0.4458043, ,           4.2,     0.4458043, , 
          4.4,     0.4543849, ,           4.4,     0.4543849, ,           4.4,     0.4543849, ,           4.4,     0.4543849, ,           4.4,     0.4543849, ,           4.4,     0.4543849, ,           4.4,     0.4543849, ,           4.4,     0.4543849, ,           4.4,     0.4543849, , 
          4.6,     0.4629507, ,           4.6,     0.4629507, ,           4.6,     0.4629507, ,           4.6,     0.4629507, ,           4.6,     0.4629507, ,           4.6,     0.4629507, ,           4.6,     0.4629507, ,           4.6,     0.4629507, ,           4.6,     0.4629507, , 
          4.8,     0.4715015, ,           4.8,     0.4715015, ,           4.8,     0.4715015, ,           4.8,     0.4715015, ,           4.8,     0.4715015, ,           4.8,     0.4715015, ,           4.8,     0.4715015, ,           4.8,     0.4715015, ,           4.8,     0.4715015, , 
            5,     0.4800369, ,             5,     0.4800369, ,             5,     0.4800369, ,             5,     0.4800369, ,             5,     0.4800369, ,             5,     0.4800369, ,             5,     0.4800369, ,             5,     0.4800369, ,             5,     0.4800369, , 
          5.2,     0.4885567, ,           5.2,     0.4885567, ,           5.2,     0.4885567, ,           5.2,     0.4885567, ,           5.2,     0.4885567, ,           5.2,     0.4885567, ,           5.2,     0.4885567, ,           5.2,     0.4885567, ,           5.2,     0.4885567, , 
