Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
            1,     0.6350965, ,             1,     0.6350965, ,             1,     0.6350965, ,             1,     0.6350965, ,             1,     0.6350965, ,             1,     0.6350965, ,             1,     0.6350965, ,             1,     0.6350965, ,             1,     0.6350965, ,             1,     0.6350965, ,             1,     0.6350965, ,             1,     0.6350965, ,             1,     0.6350965, ,             1,     0.6350965, ,             1,     0.6350965, ,             1,     0.6350965, ,             1,     0.6350965, ,             1,     0.6350965, ,             1,     0.6350965, , 
          1.2,     0.6351082, ,           1.2,     0.6351082, ,           1.2,     0.6351082, ,           1.2,     0.6351082, ,           1.2,     0.6351082, ,           1.2,     0.6351082, ,           1.2,     0.6351082, ,           1.2,     0.6351082, ,           1.2,     0.6351082, ,           1.2,     0.6351082, ,           1.2,     0.6351082, ,           1.2,     0.6351082, ,           1.2,     0.6351082, ,           1.2,     0.6351082, ,           1.2,     0.6351082, ,           1.2,     0.6351082, ,           1.2,     0.6351082, ,           1.2,     0.6351082, ,           1.2,     0.6351082, , 
          1.4,     0.6351119, ,           1.4,     0.6351119, ,           1.4,     0.6351119, ,           1.4,     0.6351119, ,           1.4,     0.6351119, ,           1.4,     0.6351119, ,           1.4,     0.6351119, ,           1.4,     0.6351119, ,           1.4,     0.6351119, ,           1.4,     0.6351119, ,           1.4,     0.6351119, ,           1.4,     0.6351119, ,           1.4,     0.6351119, ,           1.4,     0.6351119, ,           1.4,     0.6351119, ,           1.4,     0.6351119, ,           1.4,     0.6351119, ,           1.4,     0.6351119, ,           1.4,     0.6351119, , 
          1.6,     0.6351082, ,           1.6,     0.6351082, ,           1.6,     0.6351082, ,           1.6,     0.6351082, ,           1.6,     0.6351082, ,           1.6,     0.6351082, ,           1.6,     0.6351082, ,           1.6,     0.6351082, ,           1.6,     0.6351082, ,           1.6,     0.6351082, ,           1.6,     0.6351082, ,           1.6,     0.6351082, ,           1.6,     0.6351082, ,           1.6,     0.6351082, ,           1.6,     0.6351082, ,           1.6,     0.6351082, ,           1.6,     0.6351082, ,           1.6,     0.6351082, ,           1.6,     0.6351082, , 
          1.8,     0.6350978, ,           1.8,     0.6350978, ,           1.8,     0.6350978, ,           1.8,     0.6350978, ,           1.8,     0.6350978, ,           1.8,     0.6350978, ,           1.8,     0.6350978, ,           1.8,     0.6350978, ,           1.8,     0.6350978, ,           1.8,     0.6350978, ,           1.8,     0.6350978, ,           1.8,     0.6350978, ,           1.8,     0.6350978, ,           1.8,     0.6350978, ,           1.8,     0.6350978, ,           1.8,     0.6350978, ,           1.8,     0.6350978, ,           1.8,     0.6350978, ,           1.8,     0.6350978, , 
            2,     0.6350814, ,             2,     0.6350814, ,             2,     0.6350814, ,             2,     0.6350814, ,             2,     0.6350814, ,             2,     0.6350814, ,             2,     0.6350814, ,             2,     0.6350814, ,             2,     0.6350814, ,             2,     0.6350814, ,             2,     0.6350814, ,             2,     0.6350814, ,             2,     0.6350814, ,             2,     0.6350814, ,             2,     0.6350814, ,             2,     0.6350814, ,             2,     0.6350814, ,             2,     0.6350814, ,             2,     0.6350814, , 
          2.2,     0.6350595, ,           2.2,     0.6350595, ,           2.2,     0.6350595, ,           2.2,     0.6350595, ,           2.2,     0.6350595, ,           2.2,     0.6350595, ,           2.2,     0.6350595, ,           2.2,     0.6350595, ,           2.2,     0.6350595, ,           2.2,     0.6350595, ,           2.2,     0.6350595, ,           2.2,     0.6350595, ,           2.2,     0.6350595, ,           2.2,     0.6350595, ,           2.2,     0.6350595, ,           2.2,     0.6350595, ,           2.2,     0.6350595, ,           2.2,     0.6350595, ,           2.2,     0.6350595, , 
          2.4,     0.6350327, ,           2.4,     0.6350327, ,           2.4,     0.6350327, ,           2.4,     0.6350327, ,           2.4,     0.6350327, ,           2.4,     0.6350327, ,           2.4,     0.6350327, ,           2.4,     0.6350327, ,           2.4,     0.6350327, ,           2.4,     0.6350327, ,           2.4,     0.6350327, ,           2.4,     0.6350327, ,           2.4,     0.6350327, ,           2.4,     0.6350327, ,           2.4,     0.6350327, ,           2.4,     0.6350327, ,           2.4,     0.6350327, ,           2.4,     0.6350327, ,           2.4,     0.6350327, , 
          2.6,     0.6350012, ,           2.6,     0.6350012, ,           2.6,     0.6350012, ,           2.6,     0.6350012, ,           2.6,     0.6350012, ,           2.6,     0.6350012, ,           2.6,     0.6350012, ,           2.6,     0.6350012, ,           2.6,     0.6350012, ,           2.6,     0.6350012, ,           2.6,     0.6350012, ,           2.6,     0.6350012, ,           2.6,     0.6350012, ,           2.6,     0.6350012, ,           2.6,     0.6350012, ,           2.6,     0.6350012, ,           2.6,     0.6350012, ,           2.6,     0.6350012, ,           2.6,     0.6350012, , 
          2.8,     0.6349657, ,           2.8,     0.6349657, ,           2.8,     0.6349657, ,           2.8,     0.6349657, ,           2.8,     0.6349657, ,           2.8,     0.6349657, ,           2.8,     0.6349657, ,           2.8,     0.6349657, ,           2.8,     0.6349657, ,           2.8,     0.6349657, ,           2.8,     0.6349657, ,           2.8,     0.6349657, ,           2.8,     0.6349657, ,           2.8,     0.6349657, ,           2.8,     0.6349657, ,           2.8,     0.6349657, ,           2.8,     0.6349657, ,           2.8,     0.6349657, ,           2.8,     0.6349657, , 
