Alpha,T1-15.8 m/s-VLM2, , 
           -5,      5.110337, , 
         -4.8,       5.14478, , 
         -4.6,      5.177316, , 
         -4.4,      5.208191, , 
         -4.2,      5.237072, , 
           -4,      5.263149, , 
         -3.8,      5.287137, , 
         -3.6,      5.309286, , 
         -3.4,      5.329651, , 
         -3.2,      5.348665, , 
           -3,      5.366396, , 
         -2.8,      5.383161, , 
         -2.6,      5.399946, , 
         -2.4,      5.415137, , 
         -2.2,      5.427996, , 
           -2,      5.439374, , 
         -1.8,       5.44702, , 
         -1.6,      5.452601, , 
         -1.4,      5.456858, , 
         -1.2,      5.460303, , 
           -1,      5.462649, , 
         -0.8,      5.464086, , 
         -0.6,      5.465626, , 
         -0.4,      5.466019, , 
         -0.2,       5.46535, , 
            0,      5.463637, , 
          0.2,      5.460945, , 
          0.4,      5.455315, , 
          0.6,      5.448571, , 
          0.8,       5.44102, , 
            1,      5.432631, , 
          1.2,      5.423528, , 
          1.4,      5.413709, , 
          1.6,      5.403215, , 
          1.8,      5.392114, , 
            2,       5.38038, , 
          2.2,      5.368085, , 
          2.4,      5.355243, , 
          2.6,       5.34186, , 
          2.8,      5.327987, , 
            3,      5.313636, , 
          3.2,      5.298801, , 
          3.4,      5.283504, , 
          3.6,      5.267763, , 
          3.8,      5.251573, , 
            4,       5.23496, , 
          4.2,      5.217928, , 
          4.4,      5.200497, , 
          4.6,      5.182678, , 
          4.8,      5.164466, , 
            5,      5.145886, , 
          5.2,      5.126963, , 
          5.4,      5.107694, , 
          5.6,      5.088108, , 
          5.8,      5.068192, , 
            6,      5.047944, , 
          6.2,      5.027379, , 
          6.4,      5.006496, , 
          6.6,      4.985307, , 
          6.8,      4.963851, , 
            7,      4.942156, , 
          7.2,      4.920218, , 
          7.4,      4.898046, , 
          7.6,      4.875662, , 
          7.8,      4.853056, , 
            8,       4.83025, , 

