Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,      16.44355, ,            -1,      17.82247, ,            -1,      13.70927, , 
         -0.8,      16.76848, ,          -0.8,      18.15257, ,          -0.8,      14.02197, , 
         -0.6,      17.05367, ,          -0.6,      18.43714, ,          -0.6,      14.30518, , 
         -0.4,      17.30111, ,          -0.4,      18.67988, ,          -0.4,      14.56006, , 
         -0.2,      17.51397, ,          -0.2,      18.88362, ,          -0.2,      14.78769, , 
            0,      17.69524, ,             0,      19.04899, ,             0,      14.98965, , 
          0.2,       17.8473, ,           0.2,      19.18209, ,           0.2,      15.16739, , 
          0.4,       17.9714, ,           0.4,      19.28528, ,           0.4,      15.32207, , 
          0.6,      18.06944, ,           0.6,      19.36181, ,           0.6,      15.45492, , 
          0.8,      18.14399, ,           0.8,      19.41403, ,           0.8,      15.56719, , 
            1,      18.19655, ,             1,      19.44284, ,             1,      15.66004, , 
          1.2,      18.22857, ,           1.2,      19.45042, ,           1.2,      15.73461, , 
          1.4,      18.24154, ,           1.4,      19.43878, ,           1.4,      15.79167, , 
          1.6,      18.23734, ,           1.6,      19.40951, ,           1.6,      15.83251, , 
          1.8,      18.21745, ,           1.8,      19.36325, ,           1.8,      15.85788, , 
            2,      18.18311, ,             2,      19.30231, ,             2,      15.86889, , 
          2.2,      18.13557, ,           2.2,      19.22844, ,           2.2,      15.86647, , 
          2.4,      18.07583, ,           2.4,      19.14308, ,           2.4,      15.85141, , 
          2.6,      18.00462, ,           2.6,      19.04726, ,           2.6,      15.82434, , 
          2.8,      17.92241, ,           2.8,       18.9414, ,           2.8,      15.78591, , 
            3,      17.83005, ,             3,       18.8265, ,             3,      15.73664, , 
          3.2,      17.72805, ,           3.2,       18.7028, ,           3.2,      15.67708, , 
          3.4,      17.61652, ,           3.4,      18.57023, ,           3.4,      15.60732, , 
          3.6,      17.49463, ,           3.6,       18.4266, ,           3.6,        15.527, , 
          3.8,       17.3599, ,           3.8,      18.26636, ,           3.8,      15.43544, , 
            4,      17.20595, ,             4,      18.07502, ,             4,      15.33049, , 
          4.2,      17.02291, ,           4.2,      17.83872, ,           4.2,      15.20895, , 
          4.4,      16.80366, ,           4.4,      17.55923, ,           4.4,      15.06643, , 
          4.6,        16.545, ,           4.6,      17.24204, ,           4.6,      14.89781, , 
          4.8,      16.24833, ,           4.8,      16.89038, ,           4.8,      14.70285, , 
            5,      15.91665, ,             5,      16.52722, ,             5,      14.48283, , 
          5.2,      15.55507, ,           5.2,      16.14549, ,           5.2,       14.2384, , 

