Alpha,T1-15.8 m/s-VLM2, , 
           -2,      2.650314, , 
         -1.8,      2.627872, , 
         -1.6,      2.606403, , 
         -1.4,      2.586284, , 
         -1.2,      2.567478, , 
           -1,      2.550013, , 
         -0.8,      2.533512, , 
         -0.6,      2.518001, , 
         -0.4,      2.503211, , 
         -0.2,      2.489502, , 
            0,      2.476497, , 
          0.2,      2.464295, , 
          0.4,      2.453016, , 
          0.6,      2.442408, , 
          0.8,      2.432422, , 
            1,      2.423004, , 
          1.2,      2.414233, , 
          1.4,      2.406093, , 
          1.6,      2.398489, , 
          1.8,      2.391446, , 
            2,       2.38493, , 
          2.2,      2.378904, , 
          2.4,      2.373367, , 
          2.6,      2.368286, , 
          2.8,      2.363611, , 
            3,      2.359336, , 
          3.2,      2.355453, , 
          3.4,      2.351951, , 
          3.6,      2.348827, , 
          3.8,       2.34607, , 
            4,      2.343632, , 
          4.2,      2.341554, , 
          4.4,      2.339812, , 
          4.6,      2.338403, , 
          4.8,      2.337345, , 
            5,      2.336614, , 
          5.2,      2.336179, , 
          5.4,       2.33602, , 
          5.6,      2.336134, , 
          5.8,      2.336559, , 
            6,      2.337283, , 
          6.2,      2.338262, , 
          6.4,        2.3395, , 
          6.6,      2.341033, , 
          6.8,      2.342804, , 
            7,       2.34479, , 

