Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -4,     0.7641544, ,            -4,     0.7641544, ,            -4,     0.7641544, ,            -4,     0.7641544, ,            -4,     0.7641544, ,            -4,     0.7641544, ,            -4,     0.7641544, ,            -4,     0.7641544, ,            -4,     0.7641544, ,            -4,     0.7641544, ,            -4,     0.7641544, , 
         -3.8,     0.7792866, ,          -3.8,     0.7792866, ,          -3.8,     0.7792866, ,          -3.8,     0.7792866, ,          -3.8,     0.7792866, ,          -3.8,     0.7792866, ,          -3.8,     0.7792866, ,          -3.8,     0.7792866, ,          -3.8,     0.7792866, ,          -3.8,     0.7792866, ,          -3.8,     0.7792866, , 
         -3.6,     0.7944022, ,          -3.6,     0.7944022, ,          -3.6,     0.7944022, ,          -3.6,     0.7944022, ,          -3.6,     0.7944022, ,          -3.6,     0.7944022, ,          -3.6,     0.7944022, ,          -3.6,     0.7944022, ,          -3.6,     0.7944022, ,          -3.6,     0.7944022, ,          -3.6,     0.7944022, , 
         -3.4,      0.809501, ,          -3.4,      0.809501, ,          -3.4,      0.809501, ,          -3.4,      0.809501, ,          -3.4,      0.809501, ,          -3.4,      0.809501, ,          -3.4,      0.809501, ,          -3.4,      0.809501, ,          -3.4,      0.809501, ,          -3.4,      0.809501, ,          -3.4,      0.809501, , 
         -3.2,     0.8245824, ,          -3.2,     0.8245824, ,          -3.2,     0.8245824, ,          -3.2,     0.8245824, ,          -3.2,     0.8245824, ,          -3.2,     0.8245824, ,          -3.2,     0.8245824, ,          -3.2,     0.8245824, ,          -3.2,     0.8245824, ,          -3.2,     0.8245824, ,          -3.2,     0.8245824, , 
           -3,     0.8396461, ,            -3,     0.8396461, ,            -3,     0.8396461, ,            -3,     0.8396461, ,            -3,     0.8396461, ,            -3,     0.8396461, ,            -3,     0.8396461, ,            -3,     0.8396461, ,            -3,     0.8396461, ,            -3,     0.8396461, ,            -3,     0.8396461, , 
         -2.8,     0.8546915, ,          -2.8,     0.8546915, ,          -2.8,     0.8546915, ,          -2.8,     0.8546915, ,          -2.8,     0.8546915, ,          -2.8,     0.8546915, ,          -2.8,     0.8546915, ,          -2.8,     0.8546915, ,          -2.8,     0.8546915, ,          -2.8,     0.8546915, ,          -2.8,     0.8546915, , 
         -2.6,     0.8697184, ,          -2.6,     0.8697184, ,          -2.6,     0.8697184, ,          -2.6,     0.8697184, ,          -2.6,     0.8697184, ,          -2.6,     0.8697184, ,          -2.6,     0.8697184, ,          -2.6,     0.8697184, ,          -2.6,     0.8697184, ,          -2.6,     0.8697184, ,          -2.6,     0.8697184, , 
         -2.4,     0.8847263, ,          -2.4,     0.8847263, ,          -2.4,     0.8847263, ,          -2.4,     0.8847263, ,          -2.4,     0.8847263, ,          -2.4,     0.8847263, ,          -2.4,     0.8847263, ,          -2.4,     0.8847263, ,          -2.4,     0.8847263, ,          -2.4,     0.8847263, ,          -2.4,     0.8847263, , 
         -2.2,     0.8997148, ,          -2.2,     0.8997148, ,          -2.2,     0.8997148, ,          -2.2,     0.8997148, ,          -2.2,     0.8997148, ,          -2.2,     0.8997148, ,          -2.2,     0.8997148, ,          -2.2,     0.8997148, ,          -2.2,     0.8997148, ,          -2.2,     0.8997148, ,          -2.2,     0.8997148, , 
