Alpha,T1-15.8 m/s-VLM2, , 
           -4,     0.6387999, , 
         -3.8,      0.638723, , 
         -3.6,     0.6386407, , 
         -3.4,     0.6385532, , 
         -3.2,      0.638461, , 
           -3,     0.6383645, , 
         -2.8,      0.638264, , 
         -2.6,     0.6381598, , 
         -2.4,     0.6380522, , 
         -2.2,     0.6379414, , 
           -2,     0.6378278, , 
         -1.8,     0.6377114, , 
         -1.6,     0.6375927, , 
         -1.4,     0.6374716, , 
         -1.2,     0.6373486, , 
           -1,     0.6372236, , 
         -0.8,     0.6370969, , 
         -0.6,     0.6369687, , 
         -0.4,      0.636839, , 
         -0.2,     0.6367081, , 
            0,     0.6365761, , 
          0.2,      0.636443, , 
          0.4,      0.636309, , 
          0.6,     0.6361742, , 
          0.8,     0.6360388, , 
            1,     0.6359028, , 
          1.2,     0.6357663, , 
          1.4,     0.6356293, , 
          1.6,     0.6354921, , 
          1.8,     0.6353547, , 
            2,     0.6352171, , 
          2.2,     0.6350795, , 
          2.4,     0.6349419, , 
          2.6,     0.6348043, , 
          2.8,     0.6346669, , 
            3,     0.6345297, , 
          3.2,     0.6343928, , 
          3.4,     0.6342563, , 
          3.6,     0.6341201, , 
          3.8,     0.6339844, , 
            4,     0.6338493, , 
          4.2,     0.6337147, , 
          4.4,     0.6335807, , 
          4.6,     0.6334474, , 

