Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -4,      1.280885, ,            -4,      1.250114, ,            -4,      1.798203, ,            -4,      1.234883, ,            -4,      1.229135, ,            -4,      1.223904, ,            -4,      1.222335, ,            -4,       1.22158, ,            -4,      1.610695, ,            -4,      1.475627, ,            -4,      1.318721, , 
         -3.8,      1.252438, ,          -3.8,      1.221294, ,          -3.8,      1.765229, ,          -3.8,      1.205915, ,          -3.8,      1.200114, ,          -3.8,      1.194816, ,          -3.8,      1.193232, ,          -3.8,      1.192469, ,          -3.8,      1.580928, ,          -3.8,      1.447167, ,          -3.8,      1.290633, , 
         -3.6,      1.225895, ,          -3.6,      1.194399, ,          -3.6,      1.734904, ,          -3.6,      1.178866, ,          -3.6,      1.173008, ,          -3.6,      1.167654, ,          -3.6,       1.16605, ,          -3.6,      1.165277, ,          -3.6,      1.553464, ,          -3.6,      1.420797, ,          -3.6,      1.264438, , 
         -3.4,      1.201129, ,          -3.4,      1.169288, ,          -3.4,       1.70705, ,          -3.4,        1.1536, ,          -3.4,       1.14769, ,          -3.4,      1.142268, ,          -3.4,      1.140639, ,          -3.4,      1.139854, ,          -3.4,       1.52814, ,          -3.4,      1.396384, ,          -3.4,      1.240023, , 
         -3.2,      1.177998, ,          -3.2,      1.145827, ,          -3.2,      1.681493, ,          -3.2,      1.129977, ,          -3.2,      1.124011, ,          -3.2,      1.118524, ,          -3.2,      1.116872, ,          -3.2,      1.116074, ,          -3.2,      1.504812, ,          -3.2,      1.373797, ,          -3.2,      1.217256, , 
           -3,       1.15639, ,            -3,      1.123891, ,            -3,      1.658097, ,            -3,      1.107877, ,            -3,      1.101853, ,            -3,      1.096295, ,            -3,      1.094616, ,            -3,      1.093804, ,            -3,      1.483357, ,            -3,      1.352922, ,            -3,      1.196034, , 
         -2.8,      1.136202, ,          -2.8,      1.103366, ,          -2.8,      1.636771, ,          -2.8,      1.087195, ,          -2.8,      1.081098, ,          -2.8,      1.075464, ,          -2.8,      1.073759, ,          -2.8,      1.072932, ,          -2.8,      1.463684, ,          -2.8,      1.333669, ,          -2.8,      1.176263, , 
         -2.6,      1.117338, ,          -2.6,      1.084156, ,          -2.6,      1.617391, ,          -2.6,      1.067808, ,          -2.6,      1.061653, ,          -2.6,      1.055939, ,          -2.6,      1.054203, ,          -2.6,      1.053361, ,          -2.6,      1.445684, ,          -2.6,      1.315939, ,          -2.6,      1.157853, , 
         -2.4,      1.099728, ,          -2.4,      1.066167, ,          -2.4,      1.599859, ,          -2.4,      1.049634, ,          -2.4,      1.043411, ,          -2.4,      1.037618, ,          -2.4,      1.035854, ,          -2.4,      1.034996, ,          -2.4,      1.429271, ,          -2.4,      1.299656, ,          -2.4,      1.140737, , 
         -2.2,      1.083292, ,          -2.2,      1.049325, ,          -2.2,      1.584066, ,          -2.2,      1.032586, ,          -2.2,      1.026282, ,          -2.2,      1.020405, ,          -2.2,      1.018611, ,          -2.2,      1.017738, ,          -2.2,      1.414354, ,          -2.2,      1.284739, ,          -2.2,      1.124836, , 
