Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -4,     0.7361449, ,            -4,     0.7361449, ,            -4,     0.7361449, ,            -4,     0.7361449, ,            -4,     0.7361449, , 
         -3.8,     0.7505927, ,          -3.8,     0.7505927, ,          -3.8,     0.7505927, ,          -3.8,     0.7505927, ,          -3.8,     0.7505927, , 
         -3.6,     0.7650238, ,          -3.6,     0.7650238, ,          -3.6,     0.7650238, ,          -3.6,     0.7650238, ,          -3.6,     0.7650238, , 
         -3.4,      0.779438, ,          -3.4,      0.779438, ,          -3.4,      0.779438, ,          -3.4,      0.779438, ,          -3.4,      0.779438, , 
         -3.2,     0.7938348, ,          -3.2,     0.7938348, ,          -3.2,     0.7938348, ,          -3.2,     0.7938348, ,          -3.2,     0.7938348, , 
           -3,     0.8082138, ,            -3,     0.8082138, ,            -3,     0.8082138, ,            -3,     0.8082138, ,            -3,     0.8082138, , 
         -2.8,     0.8225746, ,          -2.8,     0.8225746, ,          -2.8,     0.8225746, ,          -2.8,     0.8225746, ,          -2.8,     0.8225746, , 
         -2.6,     0.8369167, ,          -2.6,     0.8369167, ,          -2.6,     0.8369167, ,          -2.6,     0.8369167, ,          -2.6,     0.8369167, , 
         -2.4,     0.8512398, ,          -2.4,     0.8512398, ,          -2.4,     0.8512398, ,          -2.4,     0.8512398, ,          -2.4,     0.8512398, , 
         -2.2,     0.8655434, ,          -2.2,     0.8655434, ,          -2.2,     0.8655434, ,          -2.2,     0.8655434, ,          -2.2,     0.8655434, , 
           -2,     0.8798272, ,            -2,     0.8798272, ,            -2,     0.8798272, ,            -2,     0.8798272, ,            -2,     0.8798272, , 
         -1.8,     0.8940907, ,          -1.8,     0.8940907, ,          -1.8,     0.8940907, ,          -1.8,     0.8940907, ,          -1.8,     0.8940907, , 
         -1.6,     0.9083335, ,          -1.6,     0.9083335, ,          -1.6,     0.9083335, ,          -1.6,     0.9083335, ,          -1.6,     0.9083335, , 
         -1.4,     0.9225553, ,          -1.4,     0.9225553, ,          -1.4,     0.9225553, ,          -1.4,     0.9225553, ,          -1.4,     0.9225553, , 
         -1.2,     0.9367555, ,          -1.2,     0.9367555, ,          -1.2,     0.9367555, ,          -1.2,     0.9367555, ,          -1.2,     0.9367555, , 
           -1,     0.9509339, ,            -1,     0.9509339, ,            -1,     0.9509339, ,            -1,     0.9509339, ,            -1,     0.9509339, , 
         -0.8,       0.96509, ,          -0.8,       0.96509, ,          -0.8,       0.96509, ,          -0.8,       0.96509, ,          -0.8,       0.96509, , 
         -0.6,     0.9792233, ,          -0.6,     0.9792233, ,          -0.6,     0.9792233, ,          -0.6,     0.9792233, ,          -0.6,     0.9792233, , 
         -0.4,     0.9933336, ,          -0.4,     0.9933336, ,          -0.4,     0.9933336, ,          -0.4,     0.9933336, ,          -0.4,     0.9933336, , 
         -0.2,       1.00742, ,          -0.2,       1.00742, ,          -0.2,       1.00742, ,          -0.2,       1.00742, ,          -0.2,       1.00742, , 
            0,      1.021483, ,             0,      1.021483, ,             0,      1.021483, ,             0,      1.021483, ,             0,      1.021483, , 
          0.2,      1.035522, ,           0.2,      1.035522, ,           0.2,      1.035522, ,           0.2,      1.035522, ,           0.2,      1.035522, , 
          0.4,      1.049536, ,           0.4,      1.049536, ,           0.4,      1.049536, ,           0.4,      1.049536, ,           0.4,      1.049536, , 
          0.6,      1.063525, ,           0.6,      1.063525, ,           0.6,      1.063525, ,           0.6,      1.063525, ,           0.6,      1.063525, , 
          0.8,      1.077488, ,           0.8,      1.077488, ,           0.8,      1.077488, ,           0.8,      1.077488, ,           0.8,      1.077488, , 
            1,      1.091426, ,             1,      1.091426, ,             1,      1.091426, ,             1,      1.091426, ,             1,      1.091426, , 
          1.2,      1.105337, ,           1.2,      1.105337, ,           1.2,      1.105337, ,           1.2,      1.105337, ,           1.2,      1.105337, , 
          1.4,      1.119222, ,           1.4,      1.119222, ,           1.4,      1.119222, ,           1.4,      1.119222, ,           1.4,      1.119222, , 
          1.6,       1.13308, ,           1.6,       1.13308, ,           1.6,       1.13308, ,           1.6,       1.13308, ,           1.6,       1.13308, , 
          1.8,      1.146911, ,           1.8,      1.146911, ,           1.8,      1.146911, ,           1.8,      1.146911, ,           1.8,      1.146911, , 
            2,      1.160713, ,             2,      1.160713, ,             2,      1.160713, ,             2,      1.160713, ,             2,      1.160713, , 
          2.2,      1.174488, ,           2.2,      1.174488, ,           2.2,      1.174488, ,           2.2,      1.174488, ,           2.2,      1.174488, , 
          2.4,      1.188234, ,           2.4,      1.188234, ,           2.4,      1.188234, ,           2.4,      1.188234, ,           2.4,      1.188234, , 
          2.6,      1.201951, ,           2.6,      1.201951, ,           2.6,      1.201951, ,           2.6,      1.201951, ,           2.6,      1.201951, , 
          2.8,      1.215639, ,           2.8,      1.215639, ,           2.8,      1.215639, ,           2.8,      1.215639, ,           2.8,      1.215639, , 
            3,      1.229298, ,             3,      1.229298, ,             3,      1.229298, ,             3,      1.229298, ,             3,      1.229298, , 
          3.2,      1.242926, ,           3.2,      1.242926, ,           3.2,      1.242926, ,           3.2,      1.242926, ,           3.2,      1.242926, , 
          3.4,      1.256524, ,           3.4,      1.256524, ,           3.4,      1.256524, ,           3.4,      1.256524, ,           3.4,      1.256524, , 
          3.6,      1.270091, ,           3.6,      1.270091, ,           3.6,      1.270091, ,           3.6,      1.270091, ,           3.6,      1.270091, , 
          3.8,      1.283628, ,           3.8,      1.283628, ,           3.8,      1.283628, ,           3.8,      1.283628, ,           3.8,      1.283628, , 
            4,      1.297133, ,             4,      1.297133, ,             4,      1.297133, ,             4,      1.297133, ,             4,      1.297133, , 
          4.2,      1.310606, ,           4.2,      1.310606, ,           4.2,      1.310606, ,           4.2,      1.310606, ,           4.2,      1.310606, , 
          4.4,      1.324047, ,           4.4,      1.324047, ,           4.4,      1.324047, ,           4.4,      1.324047, ,           4.4,      1.324047, , 
          4.6,      1.337455, ,           4.6,      1.337455, ,           4.6,      1.337455, ,           4.6,      1.337455, ,           4.6,      1.337455, , 
          4.8,      1.350831, ,           4.8,      1.350831, ,           4.8,      1.350831, ,           4.8,      1.350831, ,           4.8,      1.350831, , 
            5,      1.364174, ,             5,      1.364174, ,             5,      1.364174, ,             5,      1.364174, ,             5,      1.364174, , 
          5.2,      1.377482, ,           5.2,      1.377482, ,           5.2,      1.377482, ,           5.2,      1.377482, ,           5.2,      1.377482, , 
          5.4,      1.390758, ,           5.4,      1.390758, ,           5.4,      1.390758, ,           5.4,      1.390758, ,           5.4,      1.390758, , 

