Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -4,     0.6456372, ,            -4,     0.6456372, ,            -4,     0.6456372, ,            -4,     0.6456372, ,            -4,     0.6456372, , 
         -3.8,     0.6455535, ,          -3.8,     0.6455535, ,          -3.8,     0.6455535, ,          -3.8,     0.6455535, ,          -3.8,     0.6455535, , 
         -3.6,     0.6454651, ,          -3.6,     0.6454651, ,          -3.6,     0.6454651, ,          -3.6,     0.6454651, ,          -3.6,     0.6454651, , 
         -3.4,     0.6453724, ,          -3.4,     0.6453724, ,          -3.4,     0.6453724, ,          -3.4,     0.6453724, ,          -3.4,     0.6453724, , 
         -3.2,     0.6452758, ,          -3.2,     0.6452758, ,          -3.2,     0.6452758, ,          -3.2,     0.6452758, ,          -3.2,     0.6452758, , 
           -3,     0.6451755, ,            -3,     0.6451755, ,            -3,     0.6451755, ,            -3,     0.6451755, ,            -3,     0.6451755, , 
         -2.8,      0.645072, ,          -2.8,      0.645072, ,          -2.8,      0.645072, ,          -2.8,      0.645072, ,          -2.8,      0.645072, , 
         -2.6,     0.6449654, ,          -2.6,     0.6449654, ,          -2.6,     0.6449654, ,          -2.6,     0.6449654, ,          -2.6,     0.6449654, , 
         -2.4,     0.6448562, ,          -2.4,     0.6448562, ,          -2.4,     0.6448562, ,          -2.4,     0.6448562, ,          -2.4,     0.6448562, , 
         -2.2,     0.6447444, ,          -2.2,     0.6447444, ,          -2.2,     0.6447444, ,          -2.2,     0.6447444, ,          -2.2,     0.6447444, , 
           -2,     0.6446305, ,            -2,     0.6446305, ,            -2,     0.6446305, ,            -2,     0.6446305, ,            -2,     0.6446305, , 
         -1.8,     0.6445144, ,          -1.8,     0.6445144, ,          -1.8,     0.6445144, ,          -1.8,     0.6445144, ,          -1.8,     0.6445144, , 
         -1.6,     0.6443966, ,          -1.6,     0.6443966, ,          -1.6,     0.6443966, ,          -1.6,     0.6443966, ,          -1.6,     0.6443966, , 
