Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -4,      9.637152, ,            -4,      9.874364, ,            -4,      6.864676, ,            -4,      9.996156, ,            -4,      10.04291, ,            -4,      10.08583, ,            -4,      10.09878, ,            -4,      10.10502, ,            -4,      7.663826, ,            -4,      8.365315, ,            -4,      9.360647, , 
         -3.8,      9.759879, ,          -3.8,      10.00876, ,          -3.8,       6.92468, ,          -3.8,      10.13641, ,          -3.8,      10.18541, ,          -3.8,      10.23057, ,          -3.8,      10.24415, ,          -3.8,      10.25071, ,          -3.8,      7.731944, ,          -3.8,      8.446603, ,          -3.8,      9.471052, , 
         -3.6,      9.875886, ,          -3.6,      10.13631, ,          -3.6,      6.978364, ,          -3.6,      10.26987, ,          -3.6,      10.32116, ,          -3.6,      10.36848, ,          -3.6,      10.38274, ,          -3.6,      10.38963, ,          -3.6,       7.79342, ,          -3.6,      8.521128, ,          -3.6,      9.574844, , 
         -3.4,      9.985073, ,          -3.4,      10.25697, ,          -3.4,      7.025778, ,          -3.4,      10.39646, ,          -3.4,      10.44999, ,          -3.4,       10.4996, ,          -3.4,       10.5146, ,          -3.4,      10.52183, ,          -3.4,      7.848334, ,          -3.4,      8.588866, ,          -3.4,      9.671878, , 
         -3.2,       10.0876, ,          -3.2,      10.37082, ,          -3.2,      7.067035, ,          -3.2,       10.5163, ,          -3.2,      10.57211, ,          -3.2,      10.62398, ,          -3.2,      10.63969, ,          -3.2,       10.6473, ,          -3.2,       7.89678, ,          -3.2,      8.649876, ,          -3.2,      9.762262, , 
           -3,       10.1835, ,            -3,      10.47797, ,            -3,      7.102176, ,            -3,      10.62942, ,            -3,      10.68754, ,            -3,      10.74172, ,            -3,       10.7582, ,            -3,      10.76618, ,            -3,      7.938815, ,            -3,      8.704193, ,            -3,      9.845951, , 
         -2.8,      10.27281, ,          -2.8,      10.57852, ,          -2.8,      7.131103, ,          -2.8,      10.73587, ,          -2.8,      10.79641, ,          -2.8,      10.85298, ,          -2.8,      10.87021, ,          -2.8,      10.87859, ,          -2.8,      7.974388, ,          -2.8,      8.751787, ,          -2.8,      9.922935, , 
         -2.6,      10.35561, ,          -2.6,      10.67255, ,          -2.6,      7.153938, ,          -2.6,      10.83595, ,          -2.6,      10.89877, ,          -2.6,      10.95774, ,          -2.6,      10.97579, ,          -2.6,      10.98457, ,          -2.6,      8.003626, ,          -2.6,      8.792745, ,          -2.6,      9.993246, , 
         -2.4,      10.43181, ,          -2.4,      10.76018, ,          -2.4,      7.170728, ,          -2.4,      10.92967, ,          -2.4,      10.99485, ,          -2.4,      11.05624, ,          -2.4,      11.07507, ,          -2.4,      11.08424, ,          -2.4,      8.026577, ,          -2.4,      8.827071, ,          -2.4,      10.05679, , 
         -2.2,       10.5015, ,          -2.2,      10.84144, ,          -2.2,      7.181643, ,          -2.2,      11.01719, ,          -2.2,      11.08486, ,          -2.2,      11.14871, ,          -2.2,      11.16834, ,          -2.2,      11.17792, ,          -2.2,      8.043383, ,          -2.2,      8.854868, ,          -2.2,      10.11364, , 
