Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -4,      1.050347, ,            -4,      1.029485, ,            -4,      1.125258, , 
         -3.8,      1.025119, ,          -3.8,      1.004063, ,          -3.8,      1.100729, , 
         -3.6,      1.001586, ,          -3.6,     0.9803291, ,          -3.6,      1.077909, , 
         -3.4,     0.9796113, ,          -3.4,     0.9581507, ,          -3.4,      1.056676, , 
         -3.2,     0.9590727, ,          -3.2,     0.9373936, ,          -3.2,      1.036925, , 
           -3,     0.9398691, ,            -3,     0.9179632, ,            -3,       1.01858, , 
         -2.8,        0.9219, ,          -2.8,     0.8997534, ,          -2.8,      1.001553, , 
         -2.6,     0.9050835, ,          -2.6,     0.8826572, ,          -2.6,     0.9857652, , 
         -2.4,     0.8893428, ,          -2.4,     0.8666172, ,          -2.4,      0.971163, , 
         -2.2,     0.8746089, ,          -2.2,     0.8515469, ,          -2.2,     0.9576621, , 
           -2,     0.8608283, ,            -2,     0.8373714, ,            -2,     0.9452171, , 
         -1.8,     0.8479643, ,          -1.8,     0.8240078, ,          -1.8,     0.9337745, , 
         -1.6,     0.8359499, ,          -1.6,     0.8114317, ,          -1.6,     0.9232855, , 
         -1.4,      0.824777, ,          -1.4,     0.7995351, ,          -1.4,       0.91372, , 
         -1.2,     0.8143833, ,          -1.2,     0.7882754, ,          -1.2,     0.9050228, , 
           -1,     0.8047775, ,            -1,     0.7775817, ,            -1,     0.8971693, , 
         -0.8,     0.7959185, ,          -0.8,     0.7675033, ,          -0.8,      0.890109, , 
         -0.6,     0.7878008, ,          -0.6,     0.7581093, ,          -0.6,      0.883831, , 
         -0.4,     0.7804046, ,          -0.4,     0.7496373, ,          -0.4,     0.8783035, , 
         -0.2,      0.773718, ,          -0.2,     0.7420537, ,          -0.2,     0.8735129, , 
            0,     0.7677059, ,             0,     0.7354474, ,             0,     0.8694722, , 
          0.2,     0.7623255, ,           0.2,     0.7296666, ,           0.2,     0.8661584, , 
          0.4,     0.7575439, ,           0.4,     0.7245468, ,           0.4,      0.863588, , 
          0.6,       0.75331, ,           0.6,     0.7200921, ,           0.6,     0.8617937, , 
          0.8,     0.7495831, ,           0.8,     0.7162799, ,           0.8,     0.8608598, , 
            1,     0.7463106, ,             1,     0.7128545, ,             1,     0.8608235, , 
          1.2,     0.7434475, ,           1.2,     0.7099018, ,           1.2,     0.8617852, , 
          1.4,      0.740962, ,           1.4,     0.7073189, ,           1.4,     0.8638283, , 
          1.6,     0.7388219, ,           1.6,     0.7050246, ,           1.6,     0.8669202, , 
          1.8,     0.7370213, ,           1.8,     0.7029746, ,           1.8,     0.8712572, , 
            2,     0.7355425, ,             2,     0.7011309, ,             2,     0.8766786, , 
          2.2,     0.7343678, ,           2.2,     0.6994841, ,           2.2,     0.8832444, , 
          2.4,     0.7335023, ,           2.4,     0.6980278, ,           2.4,     0.8908293, , 
          2.6,     0.7329769, ,           2.6,     0.6967633, ,           2.6,     0.8998082, , 
          2.8,     0.7327849, ,           2.8,     0.6956942, ,           2.8,     0.9141734, , 
            3,     0.7329745, ,             3,     0.6948274, ,             3,     0.9431777, , 
          3.2,     0.7336181, ,           3.2,     0.6941724, ,           3.2,     0.9562645, , 
          3.4,     0.7348543, ,           3.4,     0.6937549, ,           3.4,     0.9650302, , 
          3.6,     0.7368843, ,           3.6,       0.69356, ,           3.6,      0.973463, , 
          3.8,     0.7400988, ,           3.8,     0.6936228, ,           3.8,     0.9821783, , 
            4,     0.7461309, ,             4,     0.6939648, ,             4,     0.9987903, , 
          4.2,     0.7666202, ,           4.2,     0.6946152, ,           4.2,      1.008986, , 
, , ,           4.4,     0.6955842, , , , , 

