Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -4,       3.52297, ,            -2,      2.967006, ,            -2,      3.804755, ,            -2,      2.946115, ,            -2,      2.938039, ,            -2,      2.929672, ,            -2,      2.926339, ,            -2,      2.924447, ,            -2,      3.498644, ,            -2,      3.292465, ,            -2,      3.056482, , 
         -3.8,      3.455643, ,          -1.8,      2.929994, ,          -1.8,       3.76216, ,          -1.8,      2.908891, ,          -1.8,      2.900751, ,          -1.8,      2.892444, ,          -1.8,      2.889493, ,          -1.8,      2.887748, ,          -1.8,      3.460631, ,          -1.8,      3.256235, ,          -1.8,      3.020972, , 
         -3.6,      3.392489, ,          -1.6,      2.895133, ,          -1.6,      3.722132, ,          -1.6,      2.873823, ,          -1.6,      2.865626, ,          -1.6,      2.857347, ,          -1.6,      2.854667, ,          -1.6,      2.853092, ,          -1.6,       3.42503, ,          -1.6,      3.222237, ,          -1.6,      2.987541, , 
         -3.4,      3.333183, ,          -1.4,      2.862288, ,          -1.4,      3.684635, ,          -1.4,      2.840776, ,          -1.4,      2.832527, ,          -1.4,      2.824309, ,          -1.4,      2.821698, ,          -1.4,      2.820313, ,          -1.4,      3.391672, ,          -1.4,      3.190325, ,          -1.4,      2.956062, , 
         -3.2,      3.277487, ,          -1.2,      2.831348, ,          -1.2,      3.649514, ,          -1.2,       2.80963, ,          -1.2,      2.801324, ,          -1.2,      2.793198, ,          -1.2,      2.790516, ,          -1.2,      2.789254, ,          -1.2,      3.360426, ,          -1.2,      3.160378, ,          -1.2,      2.926421, , 
           -3,      3.225129, ,            -1,       2.80221, ,            -1,       3.61675, ,            -1,      2.780278, ,            -1,       2.77191, ,            -1,      2.763868, ,            -1,      2.761155, ,            -1,      2.759887, ,            -1,      3.331276, ,            -1,      3.132347, ,            -1,      2.898524, , 
         -2.8,      3.175912, ,          -0.8,      2.774759, ,          -0.8,      3.586177, ,          -0.8,      2.752617, ,          -0.8,      2.744178, ,          -0.8,       2.73619, ,          -0.8,        2.7335, ,          -0.8,      2.732177, ,          -0.8,      3.304051, ,          -0.8,      3.106092, ,          -0.8,      2.872272, , 
         -2.6,       3.12962, ,          -0.6,      2.748913, ,          -0.6,      3.557631, ,          -0.6,      2.726554, ,          -0.6,      2.718037, ,          -0.6,      2.710078, ,          -0.6,      2.707426, ,          -0.6,      2.706101, ,          -0.6,      3.278637, ,          -0.6,      3.081521, ,          -0.6,      2.847591, , 
         -2.4,      3.086075, ,          -0.4,      2.724576, ,          -0.4,      3.531069, ,          -0.4,      2.701987, ,          -0.4,      2.693402, ,          -0.4,      2.685434, ,          -0.4,      2.682837, ,          -0.4,      2.681528, ,          -0.4,      3.254964, ,          -0.4,      3.058558, ,          -0.4,      2.824381, , 
         -2.2,      3.045092, ,          -0.2,      2.701649, ,          -0.2,      3.506413, ,          -0.2,      2.678833, ,          -0.2,      2.670171, ,          -0.2,      2.662174, ,          -0.2,      2.659621, ,          -0.2,      2.658327, ,          -0.2,      3.232952, ,          -0.2,      3.037124, ,          -0.2,      2.802565, , 
