Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -4,      5.924101, ,            -4,      5.782762, ,            -4,      8.288166, ,            -4,      5.712775, ,            -4,      5.686356, ,            -4,      5.662313, ,            -4,      5.655102, ,            -4,      5.651633, ,            -4,      7.434131, ,            -4,      6.816859, ,            -4,      6.097794, , 
         -3.8,      5.850127, ,          -3.8,      5.705625, ,          -3.8,      8.217333, ,          -3.8,      5.634243, ,          -3.8,      5.607309, ,          -3.8,      5.582715, ,          -3.8,      5.575359, ,          -3.8,      5.571815, ,          -3.8,      7.369361, ,          -3.8,      6.751864, ,          -3.8,      6.027238, , 
         -3.6,      5.781877, ,          -3.6,      5.634297, ,          -3.6,       8.15497, ,          -3.6,      5.561485, ,          -3.6,      5.534022, ,          -3.6,      5.508921, ,          -3.6,      5.501399, ,          -3.6,      5.497775, ,          -3.6,      7.311861, ,          -3.6,      6.693351, ,          -3.6,      5.962375, , 
         -3.4,      5.719074, ,          -3.4,      5.568434, ,          -3.4,      8.100669, ,          -3.4,      5.494182, ,          -3.4,      5.466208, ,          -3.4,      5.440538, ,          -3.4,      5.432825, ,          -3.4,       5.42911, ,          -3.4,      7.261249, ,          -3.4,      6.641036, ,          -3.4,      5.902981, , 
         -3.2,      5.661326, ,          -3.2,      5.507682, ,          -3.2,         8.054, ,          -3.2,      5.431952, ,          -3.2,      5.403443, ,          -3.2,       5.37722, ,          -3.2,      5.369327, ,          -3.2,       5.36551, ,          -3.2,      7.217172, ,          -3.2,      6.594609, ,          -3.2,      5.848709, , 
           -3,      5.608354, ,            -3,      5.451703, ,            -3,      8.014668, ,            -3,      5.374482, ,            -3,      5.345426, ,            -3,       5.31862, ,            -3,       5.31052, ,            -3,      5.306603, ,            -3,      7.179358, ,            -3,      6.553816, ,            -3,      5.799336, , 
         -2.8,      5.559903, ,          -2.8,      5.400189, ,          -2.8,      7.982578, ,          -2.8,      5.321498, ,          -2.8,      5.291828, ,          -2.8,      5.264404, ,          -2.8,      5.256105, ,          -2.8,       5.25208, ,          -2.8,      7.147664, ,          -2.8,      6.518482, ,          -2.8,      5.754647, , 
         -2.6,      5.515724, ,          -2.6,       5.35289, ,          -2.6,      7.957425, ,          -2.6,      5.272632, ,          -2.6,      5.242409, ,          -2.6,       5.21435, ,          -2.6,      5.205824, ,          -2.6,      5.201687, ,          -2.6,      7.121821, ,          -2.6,      6.488377, ,          -2.6,      5.714427, , 
         -2.4,      5.475678, ,          -2.4,      5.309546, ,          -2.4,       7.93903, ,          -2.4,      5.227667, ,          -2.4,      5.196848, ,          -2.4,      5.168152, ,          -2.4,      5.159409, ,          -2.4,      5.155163, ,          -2.4,      7.101666, ,          -2.4,       6.46336, ,          -2.4,      5.678558, , 
         -2.2,      5.439559, ,          -2.2,      5.269976, ,          -2.2,      7.927118, ,          -2.2,       5.18637, ,          -2.2,      5.154878, ,          -2.2,      5.125515, ,          -2.2,      5.116553, ,          -2.2,       5.11219, ,          -2.2,      7.086978, ,          -2.2,      6.443241, ,          -2.2,      5.646842, , 
