Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -4,      7.970241, ,            -4,      8.022949, ,            -4,       8.11159, ,            -4,      8.166356, ,            -4,      5.584901, ,            -4,      5.962553, ,            -4,      8.185252, ,            -4,      8.213442, ,            -4,       8.21831, ,            -4,      8.228053, ,            -4,      8.238931, ,            -4,       8.24647, ,            -4,      8.250198, ,            -4,      8.252549, ,            -4,      6.591834, ,            -4,       7.10934, ,            -4,      7.563299, ,            -4,      7.752235, ,            -4,      7.799332, , 
         -3.8,      8.060923, ,          -3.8,      8.116528, ,          -3.8,      8.209654, ,          -3.8,      8.266994, ,          -3.8,       5.63637, ,          -3.8,      6.016404, ,          -3.8,      8.286801, ,          -3.8,      8.316358, ,          -3.8,      8.321466, ,          -3.8,      8.331694, ,          -3.8,      8.343145, ,          -3.8,       8.35112, ,          -3.8,      8.354925, ,          -3.8,      8.357191, ,          -3.8,      6.649979, ,          -3.8,      7.175338, ,          -3.8,      7.638998, ,          -3.8,      7.832984, ,          -3.8,      7.881929, , 
         -3.6,      8.146275, ,          -3.6,      8.204717, ,          -3.6,      8.302276, ,          -3.6,       8.36218, ,          -3.6,      5.683964, ,          -3.6,      6.066078, ,          -3.6,      8.382854, ,          -3.6,      8.413757, ,          -3.6,      8.419108, ,          -3.6,      8.429822, ,          -3.6,      8.441838, ,          -3.6,       8.45022, ,          -3.6,      8.454231, ,          -3.6,      8.456559, ,          -3.6,       6.70347, ,          -3.6,      7.236406, ,          -3.6,      7.709712, ,          -3.6,      7.908692, ,          -3.6,      7.959435, , 
         -3.4,      8.226414, ,          -3.4,      8.287663, ,          -3.4,      8.389554, ,          -3.4,      8.451975, ,          -3.4,      5.727435, ,          -3.4,      6.111463, ,          -3.4,      8.473509, ,          -3.4,      8.505733, ,          -3.4,      8.511327, ,          -3.4,      8.522526, ,          -3.4,      8.535102, ,          -3.4,      8.543877, ,          -3.4,      8.548086, ,          -3.4,      8.550529, ,          -3.4,      6.752386, ,          -3.4,       7.29263, ,          -3.4,      7.775512, ,          -3.4,      7.979426, ,          -3.4,      8.031923, , 
         -3.2,      8.301334, ,          -3.2,        8.3653, ,          -3.2,      8.471542, ,          -3.2,      8.536444, ,          -3.2,      5.766951, ,          -3.2,      6.152638, ,          -3.2,      8.558835, ,          -3.2,      8.592327, ,          -3.2,      8.598154, ,          -3.2,      8.609825, ,          -3.2,      8.622959, ,          -3.2,      8.632128, ,          -3.2,      8.636532, ,          -3.2,      8.639091, ,          -3.2,      6.796711, ,          -3.2,      7.344034, ,          -3.2,      7.836438, ,          -3.2,      8.045232, ,          -3.2,      8.099435, , 
           -3,      8.371184, ,            -3,      8.437806, ,            -3,      8.548272, ,            -3,      8.615686, ,            -3,      5.802285, ,            -3,      6.189452, ,            -3,      8.638947, ,            -3,      8.673709, ,            -3,      8.679773, ,            -3,      8.691917, ,            -3,      8.705615, ,            -3,      8.715176, ,            -3,      8.719775, ,            -3,       8.72245, ,            -3,      6.836396, ,            -3,      7.390596, ,            -3,      7.892511, ,            -3,      8.106165, ,            -3,      8.162045, , 
         -2.8,       8.43601, ,          -2.8,      8.505224, ,          -2.8,      8.619878, ,          -2.8,      8.689773, ,          -2.8,      5.833426, ,          -2.8,      6.221916, ,          -2.8,      8.713894, ,          -2.8,      8.749923, ,          -2.8,      8.756228, ,          -2.8,      8.768856, ,          -2.8,      8.783091, ,          -2.8,      8.793026, ,          -2.8,      8.797825, ,          -2.8,      8.800637, ,          -2.8,       6.87151, ,          -2.8,      7.432407, ,          -2.8,      7.943795, ,          -2.8,      8.162283, ,          -2.8,       8.21981, , 
         -2.6,      8.495933, ,          -2.6,       8.56767, ,          -2.6,      8.686407, ,          -2.6,      8.758771, ,          -2.6,      5.860413, ,          -2.6,      6.250079, ,          -2.6,      8.783751, ,          -2.6,      8.821054, ,          -2.6,       8.82759, ,          -2.6,      8.840679, ,          -2.6,      8.855468, ,          -2.6,      8.865831, ,          -2.6,      8.870842, ,          -2.6,      8.873758, ,          -2.6,      6.902128, ,          -2.6,      7.469571, ,          -2.6,      7.990345, ,          -2.6,      8.213666, ,          -2.6,      8.272823, , 
         -2.4,      8.551035, ,          -2.4,      8.625257, ,          -2.4,      8.747978, ,          -2.4,      8.822809, ,          -2.4,      5.883524, ,          -2.4,       6.27421, ,          -2.4,      8.848673, ,          -2.4,      8.887186, ,          -2.4,      8.893952, ,          -2.4,      8.907509, ,          -2.4,      8.922839, ,          -2.4,      8.933677, ,          -2.4,      8.938928, ,          -2.4,      8.941984, ,          -2.4,      6.928476, ,          -2.4,       7.50219, ,          -2.4,      8.032218, ,          -2.4,      8.260362, ,          -2.4,      8.321133, , 
         -2.2,      8.601458, ,          -2.2,      8.678098, ,          -2.2,      8.804711, ,          -2.2,      8.881965, ,          -2.2,      5.902427, ,          -2.2,      6.294026, ,          -2.2,      8.908667, ,          -2.2,      8.948436, ,          -2.2,      8.955438, ,          -2.2,      8.969469, ,          -2.2,      8.985358, ,          -2.2,       8.99663, ,          -2.2,      9.002106, ,          -2.2,      9.005292, ,          -2.2,      6.950383, ,          -2.2,       7.53022, ,          -2.2,      8.069435, ,          -2.2,      8.302436, ,          -2.2,      8.364822, , 
           -2,      8.647297, ,            -2,      8.726329, ,            -2,      8.856759, ,            -2,      8.936353, ,            -2,      5.917476, ,            -2,      6.309864, ,            -2,        8.9639, ,            -2,      9.004987, ,            -2,      9.012236, ,            -2,      9.026758, ,            -2,      9.043188, ,            -2,       9.05487, ,            -2,      9.060558, ,            -2,      9.063866, ,            -2,      6.968138, ,            -2,      7.553896, ,            -2,      8.102161, ,            -2,      8.340032, ,            -2,      8.404023, , 
         -1.8,      8.688612, ,          -1.8,      8.770026, ,          -1.8,       8.90419, ,          -1.8,      8.986137, ,          -1.8,      5.928496, ,          -1.8,      6.321559, ,          -1.8,       9.01451, ,          -1.8,      9.056818, ,          -1.8,      9.064298, ,          -1.8,      9.079294, ,          -1.8,      9.096317, ,          -1.8,      9.108448, ,          -1.8,      9.114366, ,          -1.8,      9.117812, ,          -1.8,      6.981604, ,          -1.8,      7.573137, ,          -1.8,      8.130384, ,          -1.8,      8.373136, ,          -1.8,      8.438715, , 
         -1.6,      8.725572, ,          -1.6,      8.809354, ,          -1.6,      8.947168, ,          -1.6,      9.031479, ,          -1.6,      5.935546, ,          -1.6,      6.329204, ,          -1.6,      9.060681, ,          -1.6,      9.104185, ,          -1.6,      9.111894, ,          -1.6,      9.127356, ,          -1.6,      9.144941, ,          -1.6,      9.157503, ,          -1.6,      9.163626, ,          -1.6,        9.1672, ,          -1.6,      6.990933, ,          -1.6,      7.588072, ,          -1.6,      8.154206, ,          -1.6,      8.401873, ,          -1.6,      8.469042, , 
         -1.4,      8.758264, ,          -1.4,      8.844371, ,          -1.4,      8.985839, ,          -1.4,      9.072463, ,          -1.4,      5.939082, ,          -1.4,      6.333245, ,          -1.4,      9.102481, ,          -1.4,      9.147217, ,          -1.4,      9.155161, ,          -1.4,      9.171111, ,          -1.4,       9.18929, ,          -1.4,      9.202279, ,          -1.4,      9.208612, ,          -1.4,      9.212313, ,          -1.4,      6.996532, ,          -1.4,       7.59902, ,          -1.4,      8.173785, ,          -1.4,      8.426351, ,          -1.4,      8.495107, , 
         -1.2,      8.786684, ,          -1.2,      8.875153, ,          -1.2,      9.020284, ,          -1.2,      9.109234, ,          -1.2,      5.938824, ,          -1.2,      6.333399, ,          -1.2,      9.140075, ,          -1.2,      9.186078, ,          -1.2,      9.194258, ,          -1.2,      9.210682, ,          -1.2,      9.229419, ,          -1.2,       9.24283, ,          -1.2,      9.249382, ,          -1.2,      9.253215, ,          -1.2,       6.99812, ,          -1.2,      7.605784, ,          -1.2,      8.189118, ,          -1.2,      8.446555, ,          -1.2,       8.51687, , 
           -1,      8.811045, ,            -1,      8.901867, ,            -1,      9.050634, ,            -1,      9.141951, ,            -1,      5.935017, ,            -1,      6.329936, ,            -1,      9.173616, ,            -1,      9.220818, ,            -1,      9.229221, ,            -1,      9.246112, ,            -1,      9.265473, ,            -1,      9.279326, ,            -1,      9.286104, ,            -1,      9.290073, ,            -1,      6.996011, ,            -1,      7.608671, ,            -1,      8.200435, ,            -1,      8.462722, ,            -1,      8.534579, , 
         -0.8,       8.83137, ,          -0.8,      8.924572, ,          -0.8,      9.077003, ,          -0.8,      9.170664, ,          -0.8,      5.927754, ,          -0.8,      6.322933, ,          -0.8,      9.203157, ,          -0.8,      9.251543, ,          -0.8,      9.260164, ,          -0.8,      9.277506, ,          -0.8,      9.297407, ,          -0.8,      9.311654, ,          -0.8,      9.318635, ,          -0.8,      9.322725, ,          -0.8,      6.990249, ,          -0.8,      7.607716, ,          -0.8,      8.207727, ,          -0.8,      8.474817, ,          -0.8,      8.548207, , 
         -0.6,      8.847722, ,          -0.6,      8.943264, ,          -0.6,      9.099554, ,          -0.6,      9.195659, ,          -0.6,       5.91726, ,          -0.6,      6.312619, ,          -0.6,      9.228974, ,          -0.6,      9.278546, ,          -0.6,      9.287385, ,          -0.6,      9.305173, ,          -0.6,      9.325616, ,          -0.6,      9.340236, ,          -0.6,      9.347493, ,          -0.6,      9.351983, ,          -0.6,      6.981056, ,          -0.6,      7.603128, ,          -0.6,      8.211169, ,          -0.6,      8.482966, ,          -0.6,      8.557874, , 
         -0.4,      8.860281, ,          -0.4,      8.958156, ,          -0.4,      9.118278, ,          -0.4,      9.216975, ,          -0.4,      5.903517, ,          -0.4,      6.299008, ,          -0.4,      9.251174, ,          -0.4,      9.302009, ,          -0.4,      9.311076, ,          -0.4,      9.329327, ,          -0.4,      9.350321, ,          -0.4,      9.365385, ,          -0.4,       9.37448, ,          -0.4,      9.380591, ,          -0.4,      6.968519, ,          -0.4,      7.594992, ,          -0.4,      8.210844, ,          -0.4,      8.487286, ,          -0.4,      8.563699, , 
         -0.2,      8.869044, ,          -0.2,      8.969337, ,          -0.2,      9.133198, ,          -0.2,      9.234605, ,          -0.2,      5.886793, ,          -0.2,      6.282319, ,          -0.2,      9.269781, ,          -0.2,      9.322002, ,          -0.2,      9.331316, ,          -0.2,      9.350074, ,          -0.2,       9.37167, ,          -0.2,      9.389201, ,          -0.2,      9.399903, ,          -0.2,      9.406728, ,          -0.2,      6.952759, ,          -0.2,      7.583404, ,          -0.2,      8.206766, ,          -0.2,      8.487747, ,          -0.2,      8.565651, , 
            0,      8.874132, ,             0,      8.976899, ,             0,      9.144673, ,             0,      9.248754, ,             0,      5.867437, ,             0,      6.262955, ,             0,      9.284895, ,             0,      9.338567, ,             0,      9.348144, ,             0,      9.367431, ,             0,      9.389934, ,             0,      9.410793, ,             0,      9.423111, ,             0,      9.430527, ,             0,      6.934252, ,             0,      7.568744, ,             0,      8.199165, ,             0,      8.484532, ,             0,      8.563911, , 
          0.2,      8.875573, ,           0.2,      8.980696, ,           0.2,      9.152668, ,           0.2,      9.259713, ,           0.2,      5.846682, ,           0.2,      6.242166, ,           0.2,      9.296925, ,           0.2,      9.352203, ,           0.2,      9.362076, ,           0.2,      9.381965, ,           0.2,      9.407341, ,           0.2,      9.430387, ,           0.2,      9.443956, ,           0.2,       9.45239, ,           0.2,      6.914236, ,           0.2,      7.551939, ,           0.2,      8.188244, ,           0.2,      8.477588, ,           0.2,      8.558454, , 
          0.4,      8.873551, ,           0.4,      8.981006, ,           0.4,      9.157051, ,           0.4,      9.267328, ,           0.4,      5.822789, ,           0.4,      6.218154, ,           0.4,      9.305806, ,           0.4,      9.363126, ,           0.4,      9.373385, ,           0.4,      9.394072, ,           0.4,        9.4224, ,           0.4,      9.447745, ,           0.4,      9.462447, ,           0.4,      9.471225, ,           0.4,      6.890889, ,           0.4,      7.531689, ,           0.4,      8.173792, ,           0.4,      8.467081, ,           0.4,      8.549434, , 
          0.6,      8.868157, ,           0.6,       8.97797, ,           0.6,      9.158019, ,           0.6,      9.271543, ,           0.6,      5.796096, ,           0.6,       6.19124, ,           0.6,      9.311334, ,           0.6,      9.370888, ,           0.6,      9.381982, ,           0.6,      9.404592, ,           0.6,      9.435588, ,           0.6,      9.463072, ,           0.6,      9.478223, ,           0.6,      9.487301, ,           0.6,      6.864476, ,           0.6,        7.5082, ,           0.6,      8.155963, ,           0.6,       8.45315, ,           0.6,      8.536975, , 
          0.8,      8.859258, ,           0.8,      8.971494, ,           0.8,      9.155684, ,           0.8,      9.272498, ,           0.8,      5.767302, ,           0.8,      6.162139, ,           0.8,      9.313719, ,           0.8,      9.375887, ,           0.8,      9.387829, ,           0.8,      9.412612, ,           0.8,      9.446715, ,           0.8,      9.475684, ,           0.8,      9.491398, ,           0.8,      9.501028, ,           0.8,      6.835725, ,           0.8,      7.481999, ,           0.8,      8.134849, ,           0.8,      8.435719, ,           0.8,      8.520995, , 
            1,      8.847063, ,             1,      8.961726, ,             1,      9.150204, ,             1,      9.270322, ,             1,      5.736398, ,             1,      6.130852, ,             1,      9.313009, ,             1,      9.377992, ,             1,      9.390646, ,             1,      9.417263, ,             1,      9.454261, ,             1,      9.484558, ,             1,      9.501453, ,             1,      9.511694, ,             1,      6.804644, ,             1,       7.45311, ,             1,      8.110517, ,             1,      8.414879, ,             1,       8.50161, , 
          1.2,      8.831596, ,           1.2,      8.948572, ,           1.2,       9.14142, ,           1.2,       9.26486, ,           1.2,      5.703765, ,           1.2,      6.097758, ,           1.2,      9.309102, ,           1.2,      9.377272, ,           1.2,      9.390544, ,           1.2,      9.418727, ,           1.2,       9.45741, ,           1.2,      9.488815, ,           1.2,      9.505672, ,           1.2,      9.515722, ,           1.2,      6.771604, ,           1.2,      7.421873, ,           1.2,       8.08321, ,           1.2,      8.390816, ,           1.2,      8.478992, , 
          1.4,      8.812962, ,           1.4,      8.932249, ,           1.4,      9.129175, ,           1.4,      9.255869, ,           1.4,      5.669259, ,           1.4,      6.062666, ,           1.4,      9.301704, ,           1.4,      9.373433, ,           1.4,      9.387287, ,           1.4,      9.416674, ,           1.4,      9.456266, ,           1.4,       9.48946, ,           1.4,      9.507153, ,           1.4,      9.517692, ,           1.4,      6.736329, ,           1.4,      7.387973, ,           1.4,      8.052593, ,           1.4,      8.363247, ,           1.4,      8.452902, , 
          1.6,      8.791309, ,           1.6,      8.912934, ,           1.6,      9.113703, ,           1.6,       9.24323, ,           1.6,        5.6334, ,           1.6,      6.026076, ,           1.6,      9.290462, ,           1.6,      9.365405, ,           1.6,      9.380001, ,           1.6,      9.410787, ,           1.6,      9.452157, ,           1.6,      9.485797, ,           1.6,      9.503514, ,           1.6,      9.514097, ,           1.6,      6.699251, ,           1.6,      7.351724, ,           1.6,      8.018861, ,           1.6,      8.332333, ,           1.6,      8.423496, , 
          1.8,      8.766525, ,           1.8,      8.890532, ,           1.8,       9.09514, ,           1.8,      9.227038, ,           1.8,      5.596369, ,           1.8,      5.988154, ,           1.8,      9.275376, ,           1.8,      9.352657, ,           1.8,      9.367013, ,           1.8,       9.39677, ,           1.8,      9.437781, ,           1.8,      9.471043, ,           1.8,      9.487702, ,           1.8,      9.497941, ,           1.8,      6.660477, ,           1.8,      7.313089, ,           1.8,      7.981791, ,           1.8,      8.297816, ,           1.8,      8.390545, , 
            2,      8.738876, ,             2,      8.865264, ,             2,      9.073563, ,             2,      9.207525, ,             2,      5.558596, ,             2,      5.949215, ,             2,      9.256734, ,             2,      9.335431, ,             2,      9.350736, ,             2,      9.382922, ,             2,      9.422179, ,             2,      9.454266, ,             2,      9.471119, ,             2,      9.481043, ,             2,      6.620036, ,             2,      7.271928, ,             2,      7.941497, ,             2,      8.259889, ,             2,      8.354255, , 
          2.2,      8.708397, ,           2.2,      8.837242, ,           2.2,      9.049115, ,           2.2,      9.184903, ,           2.2,      5.519926, ,           2.2,      5.909171, ,           2.2,      9.234838, ,           2.2,       9.31465, ,           2.2,      9.329988, ,           2.2,      9.362295, ,           2.2,      9.404641, ,           2.2,      9.437106, ,           2.2,       9.45155, ,           2.2,      9.461464, ,           2.2,      6.578041, ,           2.2,      7.228479, ,           2.2,      7.897797, ,           2.2,      8.218282, ,           2.2,      8.314396, , 
