Alpha,T1-15.8 m/s-VLM2, , 
           -4,     0.7989811, , 
         -3.8,     0.8149634, , 
         -3.6,     0.8309293, , 
         -3.4,     0.8468784, , 
         -3.2,     0.8628102, , 
           -3,     0.8787244, , 
         -2.8,     0.8946206, , 
         -2.6,     0.9104982, , 
         -2.4,      0.926357, , 
         -2.2,     0.9421965, , 
           -2,     0.9580163, , 
         -1.8,      0.973816, , 
         -1.6,     0.9895951, , 
         -1.4,      1.005353, , 
         -1.2,       1.02109, , 
           -1,      1.036805, , 
         -0.8,      1.052499, , 
         -0.6,      1.068169, , 
         -0.4,      1.083817, , 
         -0.2,      1.099441, , 
            0,      1.115042, , 
          0.2,      1.130618, , 
          0.4,       1.14617, , 
          0.6,      1.161697, , 
          0.8,      1.177199, , 
            1,      1.192675, , 
          1.2,      1.208125, , 
          1.4,      1.223548, , 
          1.6,      1.238945, , 
          1.8,      1.254314, , 
            2,      1.269656, , 
          2.2,       1.28497, , 
          2.4,      1.300256, , 
          2.6,      1.315513, , 
          2.8,       1.33074, , 
            3,      1.345939, , 
          3.2,      1.361107, , 
          3.4,      1.376245, , 
          3.6,      1.391353, , 
          3.8,      1.406429, , 
            4,      1.421475, , 
          4.2,      1.436488, , 

