Alpha,T1-15.8 m/s-VLM2, , 
           -2,      36.80952, , 
         -1.8,      20.33961, , 
         -1.6,      13.37353, , 
         -1.4,      9.686489, , 
         -1.2,      7.466532, , 
           -1,      6.012269, , 
         -0.8,      5.001052, , 
         -0.6,      4.271413, , 
         -0.4,      3.746096, , 
         -0.2,      3.376589, , 
            0,      3.119011, , 
          0.2,      2.925323, , 
          0.4,      2.779146, , 
          0.6,      2.670143, , 
          0.8,      2.580483, , 
            1,      2.495784, , 
          1.2,      2.435995, , 
          1.4,      2.372791, , 
          1.6,      2.321148, , 
          1.8,      2.281423, , 
            2,       2.24966, , 
          2.2,      2.221813, , 
          2.4,      2.200468, , 
          2.6,      2.183812, , 
          2.8,      2.171279, , 
            3,      2.162306, , 
          3.2,      2.156671, , 
          3.4,      2.154003, , 
          3.6,      2.153753, , 
          3.8,      2.155863, , 
            4,      2.159992, , 
          4.2,      2.165987, , 
          4.4,      2.173824, , 
          4.6,      2.183201, , 
          4.8,      2.192852, , 
            5,      2.203936, , 
          5.2,      2.248168, , 
          5.4,      2.253351, , 
          5.6,      2.270562, , 
          5.8,      2.299529, , 
            6,      2.318876, , 
          6.2,      2.341364, , 
          6.4,       2.40121, , 
          6.6,      2.412737, , 

