Alpha,T1-15.8 m/s-VLM2, , 
           -1,      1.049069, , 
         -0.8,      1.008992, , 
         -0.6,      0.974126, , 
         -0.4,     0.9433541, , 
         -0.2,     0.9160079, , 
            0,     0.8916421, , 
          0.2,     0.8699034, , 
          0.4,     0.8504727, , 
          0.6,     0.8330925, , 
          0.8,     0.8175388, , 
            1,     0.8036019, , 
          1.2,     0.7911059, , 
          1.4,     0.7799043, , 
          1.6,     0.7698712, , 
          1.8,     0.7608908, , 
            2,     0.7528707, , 
          2.2,     0.7457315, , 
          2.4,     0.7394058, , 
          2.6,     0.7338201, , 
          2.8,     0.7289362, , 
            3,     0.7247084, , 
          3.2,     0.7211237, , 
          3.4,     0.7182038, , 
          3.6,     0.7160128, , 
          3.8,     0.7146809, , 
            4,     0.7143353, , 
          4.2,     0.7149604, , 
          4.4,     0.7167013, , 
          4.6,     0.7197445, , 

