Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,      3.400886, ,            -1,      3.174607, ,            -1,      3.119065, ,            -1,      4.468796, ,            -1,      3.969828, , 
         -0.8,      3.363665, ,          -0.8,       3.14312, ,          -0.8,      3.090075, ,          -0.8,      4.401955, ,          -0.8,      3.918017, , 
         -0.6,      3.333532, ,          -0.6,      3.119131, ,          -0.6,      3.068166, ,          -0.6,       4.34383, ,          -0.6,      3.873746, , 
         -0.4,       3.30922, ,          -0.4,      3.100474, ,          -0.4,      3.050846, ,          -0.4,      4.293486, ,          -0.4,        3.8362, , 
         -0.2,       3.29014, ,          -0.2,      3.086629, ,          -0.2,      3.037829, ,          -0.2,       4.25008, ,          -0.2,      3.804607, , 
            0,      3.276115, ,             0,      3.076859, ,             0,      3.028885, ,             0,      4.212976, ,             0,      3.778461, , 
          0.2,      3.266403, ,           0.2,      3.071017, ,           0.2,      3.023884, ,           0.2,      4.181645, ,           0.2,      3.757301, , 
          0.4,      3.260295, ,           0.4,      3.069136, ,           0.4,      3.023018, ,           0.4,      4.155508, ,           0.4,      3.740544, , 
          0.6,      3.257405, ,           0.6,       3.07064, ,           0.6,      3.025839, ,           0.6,      4.134081, ,           0.6,       3.72778, , 
          0.8,      3.257452, ,           0.8,      3.074773, ,           0.8,      3.031305, ,           0.8,      4.116992, ,           0.8,       3.71871, , 
            1,      3.260234, ,             1,       3.08157, ,             1,      3.039212, ,             1,      4.103835, ,             1,      3.713022, , 
          1.2,      3.265623, ,           1.2,      3.090353, ,           1.2,      3.049266, ,           1.2,      4.094319, ,           1.2,      3.710453, , 
          1.4,      3.273351, ,           1.4,      3.101188, ,           1.4,      3.061241, ,           1.4,      4.088179, ,           1.4,      3.710705, , 
          1.6,      3.283176, ,           1.6,      3.114157, ,           1.6,      3.075099, ,           1.6,      4.085201, ,           1.6,      3.713614, , 
          1.8,      3.294872, ,           1.8,      3.128801, ,           1.8,      3.090581, ,           1.8,      4.085105, ,           1.8,      3.718882, , 
            2,      3.308325, ,             2,      3.144978, ,             2,      3.107511, ,             2,      4.087697, ,             2,      3.726339, , 
          2.2,      3.323484, ,           2.2,      3.162616, ,           2.2,      3.125796, ,           2.2,      4.092897, ,           2.2,      3.735853, , 
          2.4,      3.340253, ,           2.4,      3.181561, ,           2.4,      3.145304, ,           2.4,      4.100487, ,           2.4,      3.747276, , 
          2.6,      3.358468, ,           2.6,      3.201766, ,           2.6,      3.165962, ,           2.6,      4.110287, ,           2.6,      3.760476, , 
          2.8,      3.377994, ,           2.8,      3.223249, ,           2.8,      3.187784, ,           2.8,      4.122176, ,           2.8,      3.775363, , 
            3,      3.398774, ,             3,      3.245981, ,             3,      3.210814, ,             3,      4.136135, ,             3,      3.791921, , 
          3.2,      3.420699, ,           3.2,      3.269641, ,           3.2,       3.23487, ,           3.2,      4.152009, ,           3.2,      3.810035, , 
          3.4,      3.443715, ,           3.4,      3.294204, ,           3.4,       3.25985, ,           3.4,      4.169748, ,           3.4,      3.829634, , 
          3.6,      3.467756, ,           3.6,      3.319668, ,           3.6,      3.285718, ,           3.6,      4.189242, ,           3.6,      3.850622, , 
          3.8,      3.492765, ,           3.8,      3.346002, ,           3.8,      3.312424, ,           3.8,      4.210515, ,           3.8,      3.872926, , 
            4,      3.518696, ,             4,      3.373068, ,             4,       3.33981, ,             4,      4.233506, ,             4,      3.896488, , 
          4.2,      3.545506, ,           4.2,      3.400802, ,           4.2,      3.367819, ,           4.2,      4.258152, ,           4.2,      3.921271, , 
          4.4,       3.57321, ,           4.4,      3.429316, ,           4.4,      3.396541, ,           4.4,      4.284468, ,           4.4,      3.947251, , 
          4.6,        3.6018, ,           4.6,      3.458529, ,           4.6,      3.425935, ,           4.6,      4.312472, ,           4.6,      3.974407, , 
          4.8,      3.631236, ,           4.8,      3.488406, ,           4.8,      3.455962, ,           4.8,      4.342138, ,           4.8,       4.00271, , 
            5,      3.661527, ,             5,      3.518965, ,             5,      3.486606, ,             5,      4.373491, ,             5,      4.032187, , 
          5.2,       3.69264, ,           5.2,      3.550271, ,           5.2,      3.517928, ,           5.2,      4.406591, ,           5.2,      4.062849, , 
          5.4,      3.724566, ,           5.4,      3.582293, ,           5.4,      3.549928, ,           5.4,      4.441461, ,           5.4,      4.094713, , 

