Alpha,T1-15.8 m/s-VLM2, , 
            0,     0.7700751, , 
          0.2,     0.7636467, , 
          0.4,     0.7579631, , 
          0.6,     0.7529503, , 
          0.8,     0.7485327, , 
            1,     0.7446592, , 
          1.2,     0.7412746, , 
          1.4,     0.7383256, , 
          1.6,     0.7357677, , 
          1.8,     0.7335802, , 
            2,     0.7317364, , 
          2.2,     0.7302146, , 
          2.4,      0.728979, , 
          2.6,     0.7280054, , 
          2.8,     0.7272684, , 
            3,     0.7267491, , 
          3.2,     0.7264389, , 
          3.4,     0.7263147, , 
          3.6,     0.7263637, , 
          3.8,     0.7265816, , 
            4,     0.7269562, , 
          4.2,      0.727479, , 
          4.4,     0.7281465, , 
          4.6,     0.7328561, , 
          4.8,     0.7337465, , 
            5,     0.7391136, , 
          5.2,     0.7402039, , 
          5.4,     0.7428153, , 
          5.6,     0.7441052, , 

