Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
            0,      2.290105, ,             0,      2.229755, ,             0,      2.571619, ,             0,      2.165982, ,             0,      2.111215, ,             0,      2.102857, ,             0,      2.051353, ,             0,      2.018327, ,             0,      2.009338, ,             0,      2.511949, ,             0,      2.434522, ,             0,      2.342533, ,             0,      2.331702, , 
          0.2,      2.247388, ,           0.2,      2.183588, ,           0.2,      2.531061, ,           0.2,      2.118375, ,           0.2,      2.063124, ,           0.2,      2.054886, ,           0.2,      2.003297, ,           0.2,      1.970281, ,           0.2,       1.96119, ,           0.2,      2.471584, ,           0.2,      2.394015, ,           0.2,      2.300718, ,           0.2,      2.289583, , 
          0.4,      2.205729, ,           0.4,      2.140059, ,           0.4,      2.493801, ,           0.4,      2.074056, ,           0.4,       2.01855, ,           0.4,      2.010465, ,           0.4,      1.960131, ,           0.4,      1.928174, ,           0.4,      1.919673, ,           0.4,      2.434403, ,           0.4,      2.356402, ,           0.4,      2.261421, ,           0.4,      2.249912, , 
          0.6,      2.164215, ,           0.6,      2.098425, ,           0.6,      2.459111, ,           0.6,      2.032466, ,           0.6,      1.976812, ,           0.6,      1.968913, ,           0.6,       1.92338, ,           0.6,      1.894081, ,           0.6,      1.893912, ,           0.6,      2.399826, ,           0.6,       2.32142, ,           0.6,      2.224428, ,           0.6,      2.212471, , 
          0.8,      2.124612, ,           0.8,      2.059077, ,           0.8,      2.426829, ,           0.8,      1.993269, ,           0.8,      1.938755, ,           0.8,      1.931658, ,           0.8,      1.889505, ,           0.8,       1.86142, ,           0.8,      1.861319, ,           0.8,      2.367703, ,           0.8,      2.288907, ,           0.8,      2.189723, ,           0.8,      2.177172, , 
            1,      2.087509, ,             1,      2.021872, ,             1,      2.396776, ,             1,      1.955443, ,             1,      1.903818, ,             1,      1.897956, ,             1,      1.858238, ,             1,      1.834889, ,             1,      1.832351, ,             1,      2.337874, ,             1,       2.25877, ,             1,      2.157318, ,             1,      2.144098, , 
          1.2,      2.052311, ,           1.2,      1.987528, ,           1.2,      2.368804, ,           1.2,      1.922042, ,           1.2,      1.876523, ,           1.2,      1.870919, ,           1.2,      1.833997, ,           1.2,       1.81248, ,           1.2,      1.810163, ,           1.2,      2.310179, ,           1.2,      2.230889, ,           1.2,      2.127231, ,           1.2,      2.113283, , 
          1.4,      2.021054, ,           1.4,      1.956885, ,           1.4,      2.342782, ,           1.4,      1.891687, ,           1.4,      1.852151, ,           1.4,      1.847383, ,           1.4,      1.813478, ,           1.4,      1.798071, ,           1.4,      1.793595, ,           1.4,      2.284473, ,           1.4,       2.20512, ,           1.4,      2.099285, ,           1.4,       2.08467, , 
          1.6,      1.993145, ,           1.6,      1.927657, ,           1.6,      2.318563, ,           1.6,      1.866202, ,           1.6,      1.830794, ,           1.6,      1.826487, ,           1.6,      1.795143, ,           1.6,      1.780375, ,           1.6,      1.775858, ,           1.6,        2.2606, ,           1.6,      2.181306, ,           1.6,      2.073392, ,           1.6,      2.058093, , 
          1.8,      1.967547, ,           1.8,      1.900677, ,           1.8,      2.295904, ,           1.8,      1.844208, ,           1.8,      1.808746, ,           1.8,      1.804184, ,           1.8,      1.775895, ,           1.8,      1.760951, ,           1.8,      1.758485, ,           1.8,      2.238443, ,           1.8,      2.159317, ,           1.8,       2.04969, ,           1.8,      2.033754, , 
